song,link,album,year,artist
Cinta Takkan Kemana-mana,../lyrics/petrasihombing/cintatakkankemanamana.html,Petra Sihombing,2009,"SIHOMBING, PETRA"
Kesempatan Lagi,../lyrics/petrasihombing/kesempatanlagi.html,Petra Sihombing,2009,"SIHOMBING, PETRA"
Di Hatiku,../lyrics/petrasihombing/dihatiku.html,Petra Sihombing,2009,"SIHOMBING, PETRA"
Satu-Satunya,../lyrics/petrasihombing/satusatunya.html,Petra Sihombing,2009,"SIHOMBING, PETRA"
,,Petra Sihombing,2009,"SIHOMBING, PETRA"
Pilih Saja Aku,../lyrics/petrasihombing/pilihsajaaku.html,Pilih Saja Aku,2012,"SIHOMBING, PETRA"
Inilah Cintaku,../lyrics/petrasihombing/inilahcintaku.html,Pilih Saja Aku,2012,"SIHOMBING, PETRA"
Jangan Terlalu Rindu,../lyrics/petrasihombing/janganterlalurindu.html,Pilih Saja Aku,2012,"SIHOMBING, PETRA"
Sinar Mentari Pagi,../lyrics/petrasihombing/sinarmentaripagi.html,Pilih Saja Aku,2012,"SIHOMBING, PETRA"
Bersinar,../lyrics/petrasihombing/bersinar.html,Pilih Saja Aku,2012,"SIHOMBING, PETRA"
Surgaku,../lyrics/petrasihombing/surgaku.html,Pilih Saja Aku,2012,"SIHOMBING, PETRA"
Katakanlah,../lyrics/petrasihombing/katakanlah.html,Pilih Saja Aku,2012,"SIHOMBING, PETRA"
Istimewa,../lyrics/petrasihombing/istimewa.html,Pilih Saja Aku,2012,"SIHOMBING, PETRA"
Mine,../lyrics/petrasihombing/mine.html,Pilih Saja Aku,2012,"SIHOMBING, PETRA"
