song,link,album,year,artist
Depths,../lyrics/silentplanet/depths.html,"Come Wind, Come Weather",2012,SILENT PLANET
Everything That Rises Must Converge,../lyrics/silentplanet/everythingthatrisesmustconverge.html,"Come Wind, Come Weather",2012,SILENT PLANET
A Flood Strong Enough To Consume The House,../lyrics/silentplanet/afloodstrongenoughtoconsumethehouse.html,"Come Wind, Come Weather",2012,SILENT PLANET
Emerge,../lyrics/silentplanet/emerge.html,"Come Wind, Come Weather",2012,SILENT PLANET
The Deluge,../lyrics/silentplanet/thedeluge.html,"Come Wind, Come Weather",2012,SILENT PLANET
,,"Come Wind, Come Weather",2012,SILENT PLANET
The Well,../lyrics/silentplanet/thewell.html,The Night God Slept,2014,SILENT PLANET
XX (City Grave),../lyrics/silentplanet/xxcitygrave.html,The Night God Slept,2014,SILENT PLANET
Native Blood,../lyrics/silentplanet/nativeblood.html,The Night God Slept,2014,SILENT PLANET
Tiny Hands (Au Revoir),../lyrics/silentplanet/tinyhandsaurevoir.html,The Night God Slept,2014,SILENT PLANET
Firstwake,../lyrics/silentplanet/firstwake.html,The Night God Slept,2014,SILENT PLANET
Darkstrand (Hibakusha),../lyrics/silentplanet/darkstrandhibakusha.html,The Night God Slept,2014,SILENT PLANET
First Mother (Lilith),../lyrics/silentplanet/firstmotherlilith.html,The Night God Slept,2014,SILENT PLANET
Wasteland (Vechnost),../lyrics/silentplanet/wastelandvechnost.html,The Night God Slept,2014,SILENT PLANET
Depths II,../lyrics/silentplanet/depthsii.html,The Night God Slept,2014,SILENT PLANET
,,The Night God Slept,2014,SILENT PLANET
Inherit The Earth,../lyrics/silentplanet/inherittheearth.html,Everything Was Sound,2016,SILENT PLANET
Psychescape,../lyrics/silentplanet/psychescape.html,Everything Was Sound,2016,SILENT PLANET
Dying In Circles,../lyrics/silentplanet/dyingincircles.html,Everything Was Sound,2016,SILENT PLANET
Understanding Love As Loss,../lyrics/silentplanet/understandingloveasloss.html,Everything Was Sound,2016,SILENT PLANET
Panic Room,../lyrics/silentplanet/panicroom.html,Everything Was Sound,2016,SILENT PLANET
REDIVIDEÐ¯,../lyrics/silentplanet/redivide.html,Everything Was Sound,2016,SILENT PLANET
Nervosa,../lyrics/silentplanet/nervosa.html,Everything Was Sound,2016,SILENT PLANET
Orphan,../lyrics/silentplanet/orphan.html,Everything Was Sound,2016,SILENT PLANET
No Place To Breathe,../lyrics/silentplanet/noplacetobreathe.html,Everything Was Sound,2016,SILENT PLANET
First Father,../lyrics/silentplanet/firstfather.html,Everything Was Sound,2016,SILENT PLANET
Inhabit The Wound,../lyrics/silentplanet/inhabitthewound.html,Everything Was Sound,2016,SILENT PLANET
