song,link,album,year,artist
Talagang Ganyan,../lyrics/silentsanctuary/talagangganyan.html,Ellipsis Of The Mind,2004,SILENT SANCTUARY
Sleep To Dream,../lyrics/silentsanctuary/sleeptodream.html,Ellipsis Of The Mind,2004,SILENT SANCTUARY
,,Ellipsis Of The Mind,2004,SILENT SANCTUARY
Rebound,../lyrics/silentsanctuary/rebound.html,Fuchsiang Pag-Ibig,2007,SILENT SANCTUARY
Sandali Lang,../lyrics/silentsanctuary/sandalilang.html,Fuchsiang Pag-Ibig,2007,SILENT SANCTUARY
Ikaw Lamang,../lyrics/silentsanctuary/ikawlamang.html,Fuchsiang Pag-Ibig,2007,SILENT SANCTUARY
Kundiman,../lyrics/silentsanctuary/kundiman.html,Fuchsiang Pag-Ibig,2007,SILENT SANCTUARY
Ingat Ka,../lyrics/silentsanctuary/ingatka.html,Fuchsiang Pag-Ibig,2007,SILENT SANCTUARY
Pink 5ive,../lyrics/silentsanctuary/pink5ive.html,Fuchsiang Pag-Ibig,2007,SILENT SANCTUARY
For Tonight,../lyrics/silentsanctuary/fortonight.html,Fuchsiang Pag-Ibig,2007,SILENT SANCTUARY
Parol,../lyrics/silentsanctuary/parol.html,Fuchsiang Pag-Ibig,2007,SILENT SANCTUARY
Kismet,../lyrics/silentsanctuary/kismet.html,Fuchsiang Pag-Ibig,2007,SILENT SANCTUARY
Nagtahan,../lyrics/silentsanctuary/nagtahan.html,Fuchsiang Pag-Ibig,2007,SILENT SANCTUARY
Summer Song,../lyrics/silentsanctuary/summersong.html,Fuchsiang Pag-Ibig,2007,SILENT SANCTUARY
14,../lyrics/silentsanctuary/14.html,Fuchsiang Pag-Ibig,2007,SILENT SANCTUARY
,,Fuchsiang Pag-Ibig,2007,SILENT SANCTUARY
Amakakeru Ryu No Hirameki,../lyrics/silentsanctuary/amakakeruryunohirameki.html,Mistaken For Granted,2009,SILENT SANCTUARY
Hiling,../lyrics/silentsanctuary/hiling.html,Mistaken For Granted,2009,SILENT SANCTUARY
Sa Buhay Na'to,../lyrics/silentsanctuary/sabuhaynato.html,Mistaken For Granted,2009,SILENT SANCTUARY
Hinga Ng Malalim,../lyrics/silentsanctuary/hingangmalalim.html,Mistaken For Granted,2009,SILENT SANCTUARY
The Saddest V. 2,../lyrics/silentsanctuary/thesaddestv2.html,Mistaken For Granted,2009,SILENT SANCTUARY
Hay Naku,../lyrics/silentsanctuary/haynaku.html,Mistaken For Granted,2009,SILENT SANCTUARY
Lalayo,../lyrics/silentsanctuary/lalayo.html,Mistaken For Granted,2009,SILENT SANCTUARY
Patunayan,../lyrics/silentsanctuary/patunayan.html,Mistaken For Granted,2009,SILENT SANCTUARY
Dekada 90,../lyrics/silentsanctuary/dekada90.html,Mistaken For Granted,2009,SILENT SANCTUARY
,,Mistaken For Granted,2009,SILENT SANCTUARY
Sa'yo,../lyrics/silentsanctuary/sayo.html,Monodramatic,2013,SILENT SANCTUARY
Meron Nang Iba,../lyrics/silentsanctuary/meronnangiba.html,Monodramatic,2013,SILENT SANCTUARY
Masanay Ka Muna,../lyrics/silentsanctuary/masanaykamuna.html,Monodramatic,2013,SILENT SANCTUARY
Abot Langit,../lyrics/silentsanctuary/abotlangit.html,Monodramatic,2013,SILENT SANCTUARY
Bumalik Ka Na Sakin,../lyrics/silentsanctuary/bumalikkanasakin.html,Monodramatic,2013,SILENT SANCTUARY
Sama-Sama,../lyrics/silentsanctuary/samasama.html,Monodramatic,2013,SILENT SANCTUARY
,,Monodramatic,2013,SILENT SANCTUARY
Baka Sakali,../lyrics/silentsanctuary/bakasakali.html,Langit. Luha.,2015,SILENT SANCTUARY
Pasensya Ka Na,../lyrics/silentsanctuary/pasensyakana.html,Langit. Luha.,2015,SILENT SANCTUARY
Di Na Kita Mahal,../lyrics/silentsanctuary/dinakitamahal.html,Langit. Luha.,2015,SILENT SANCTUARY
Sa Piling Mo,../lyrics/silentsanctuary/sapilingmo.html,Langit. Luha.,2015,SILENT SANCTUARY
Lambing,../lyrics/silentsanctuary/lambing.html,Langit. Luha.,2015,SILENT SANCTUARY
Balang Araw,../lyrics/silentsanctuary/balangaraw.html,Langit. Luha.,2015,SILENT SANCTUARY
Huli Na Ang Lahat,../lyrics/silentsanctuary/hulinaanglahat.html,Langit. Luha.,2015,SILENT SANCTUARY
Mawala Ka,../lyrics/silentsanctuary/mawalaka.html,Langit. Luha.,2015,SILENT SANCTUARY
Maalala Mo Sana,../lyrics/silentsanctuary/maalalamosana.html,,,SILENT SANCTUARY
The Saddest,../lyrics/silentsanctuary/thesaddest.html,,,SILENT SANCTUARY
