song,link,album,year,artist
All Or Nothing,../lyrics/julietsimms/allornothing.html,All Or Nothing,2015,"SIMMS, JULIET"
Mystified,../lyrics/julietsimms/mystified.html,All Or Nothing,2015,"SIMMS, JULIET"
Evangeline,../lyrics/julietsimms/evangeline.html,All Or Nothing,2015,"SIMMS, JULIET"
End Of The World,../lyrics/julietsimms/endoftheworld.html,All Or Nothing,2015,"SIMMS, JULIET"
Not Broken Yet,../lyrics/julietsimms/notbrokenyet.html,All Or Nothing,2015,"SIMMS, JULIET"
Before It Rains,../lyrics/julietsimms/beforeitrains.html,All Or Nothing,2015,"SIMMS, JULIET"
,,All Or Nothing,2015,"SIMMS, JULIET"
Get Ready,../lyrics/julietsimms/getready.html,From The Grave,2016,"SIMMS, JULIET"
Say Hello,../lyrics/julietsimms/sayhello.html,From The Grave,2016,"SIMMS, JULIET"
Tidal Wave,../lyrics/julietsimms/tidalwave.html,From The Grave,2016,"SIMMS, JULIET"
My Last Whiskey Tears,../lyrics/julietsimms/mylastwhiskeytears.html,From The Grave,2016,"SIMMS, JULIET"
Trouble Finds You,../lyrics/julietsimms/troublefindsyou.html,From The Grave,2016,"SIMMS, JULIET"
Frances,../lyrics/julietsimms/frances.html,From The Grave,2016,"SIMMS, JULIET"
Phoenix,../lyrics/julietsimms/phoenix.html,From The Grave,2016,"SIMMS, JULIET"
Found Missing,../lyrics/julietsimms/foundmissing.html,From The Grave,2016,"SIMMS, JULIET"
A Heart Doesn't Beat On Its Own,../lyrics/julietsimms/aheartdoesntbeatonitsown.html,,,"SIMMS, JULIET"
All American,../lyrics/julietsimms/allamerican.html,,,"SIMMS, JULIET"
Burn With Me,../lyrics/julietsimms/burnwithme.html,,,"SIMMS, JULIET"
Free Bird,../lyrics/julietsimms/freebird.html,,,"SIMMS, JULIET"
Hallelujah,../lyrics/julietsimms/hallelujah.html,,,"SIMMS, JULIET"
Hush,../lyrics/julietsimms/hush.html,,,"SIMMS, JULIET"
Old Movie,../lyrics/julietsimms/oldmovie.html,,,"SIMMS, JULIET"
The House Of The Rising Sun,../lyrics/julietsimms/thehouseoftherisingsun.html,,,"SIMMS, JULIET"
To Love Is To Die,../lyrics/julietsimms/toloveistodie.html,,,"SIMMS, JULIET"
Torn,../lyrics/julietsimms/torn.html,,,"SIMMS, JULIET"
Voices Carry,../lyrics/julietsimms/voicescarry.html,,,"SIMMS, JULIET"
Wild Child,../lyrics/julietsimms/wildchild.html,,,"SIMMS, JULIET"
Wild Heart,../lyrics/julietsimms/wildheart.html,,,"SIMMS, JULIET"
