song,link,album,year,artist
The June Haverly,../lyrics/troyesivan/thejunehaverly.html,The June Haverly,2012,"SIVAN, TROYE"
She's 22,../lyrics/troyesivan/shes22.html,The June Haverly,2012,"SIVAN, TROYE"
Make You Love Me,../lyrics/troyesivan/makeyouloveme.html,The June Haverly,2012,"SIVAN, TROYE"
,,The June Haverly,2012,"SIVAN, TROYE"
Happy Little Pill,../lyrics/troyesivan/happylittlepill.html,TRXYE,2014,"SIVAN, TROYE"
Touch,../lyrics/troyesivan/touch.html,TRXYE,2014,"SIVAN, TROYE"
Fun,../lyrics/troyesivan/fun.html,TRXYE,2014,"SIVAN, TROYE"
Gasoline,../lyrics/troyesivan/gasoline.html,TRXYE,2014,"SIVAN, TROYE"
The Fault In Our Stars (MMXIV),../lyrics/troyesivan/thefaultinourstarsmmxiv.html,TRXYE,2014,"SIVAN, TROYE"
,,TRXYE,2014,"SIVAN, TROYE"
WILD,../lyrics/troyesivan/wild.html,WILD,2015,"SIVAN, TROYE"
BITE,../lyrics/troyesivan/bite.html,WILD,2015,"SIVAN, TROYE"
FOOLS,../lyrics/troyesivan/fools.html,WILD,2015,"SIVAN, TROYE"
EASE,../lyrics/troyesivan/ease.html,WILD,2015,"SIVAN, TROYE"
THE QUIET,../lyrics/troyesivan/thequiet.html,WILD,2015,"SIVAN, TROYE"
DKLA,../lyrics/troyesivan/dkla.html,WILD,2015,"SIVAN, TROYE"
,,WILD,2015,"SIVAN, TROYE"
WILD,../lyrics/troyesivan/wild.html,Blue Neighbourhood,2015,"SIVAN, TROYE"
BITE,../lyrics/troyesivan/bite.html,Blue Neighbourhood,2015,"SIVAN, TROYE"
FOOLS,../lyrics/troyesivan/fools.html,Blue Neighbourhood,2015,"SIVAN, TROYE"
EASE,../lyrics/troyesivan/ease.html,Blue Neighbourhood,2015,"SIVAN, TROYE"
THE QUIET,../lyrics/troyesivan/thequiet.html,Blue Neighbourhood,2015,"SIVAN, TROYE"
DKLA,../lyrics/troyesivan/dkla.html,Blue Neighbourhood,2015,"SIVAN, TROYE"
TALK ME DOWN,../lyrics/troyesivan/talkmedown.html,Blue Neighbourhood,2015,"SIVAN, TROYE"
COOL,../lyrics/troyesivan/cool.html,Blue Neighbourhood,2015,"SIVAN, TROYE"
HEAVEN,../lyrics/troyesivan/heaven.html,Blue Neighbourhood,2015,"SIVAN, TROYE"
YOUTH,../lyrics/troyesivan/youth.html,Blue Neighbourhood,2015,"SIVAN, TROYE"
LOST BOY,../lyrics/troyesivan/lostboy.html,Blue Neighbourhood,2015,"SIVAN, TROYE"
For Him.,../lyrics/troyesivan/forhim.html,Blue Neighbourhood,2015,"SIVAN, TROYE"
SUBURBIA,../lyrics/troyesivan/suburbia.html,Blue Neighbourhood,2015,"SIVAN, TROYE"
TOO GOOD,../lyrics/troyesivan/toogood.html,Blue Neighbourhood,2015,"SIVAN, TROYE"
BLUE,../lyrics/troyesivan/blue.html,Blue Neighbourhood,2015,"SIVAN, TROYE"
WILD (XXYYXX Remix),../lyrics/troyesivan/wildxxyyxxremix.html,Blue Neighbourhood,2015,"SIVAN, TROYE"
SWIMMING POOLS,../lyrics/troyesivan/swimmingpools.html,Blue Neighbourhood,2015,"SIVAN, TROYE"
,,Blue Neighbourhood,2015,"SIVAN, TROYE"
Ease (Vallis Alps Remix),../lyrics/troyesivan/easevallisalpsremix.html,Blue Neighbourhood (The Remixes),2016,"SIVAN, TROYE"
Wild (XXYYXX Remix),../lyrics/troyesivan/wildxxyyxxremix.html,Blue Neighbourhood (The Remixes),2016,"SIVAN, TROYE"
Youth (Gryffin Remix),../lyrics/troyesivan/youthgryffinremix.html,Blue Neighbourhood (The Remixes),2016,"SIVAN, TROYE"
Blue Moon,../lyrics/troyesivan/bluemoon.html,,,"SIVAN, TROYE"
For Them,../lyrics/troyesivan/forthem.html,,,"SIVAN, TROYE"
Hands To Myself / Sorry Medley,../lyrics/troyesivan/handstomyselfsorrymedley.html,,,"SIVAN, TROYE"
Happy Little Pill (Casper Zazz Remix),../lyrics/troyesivan/happylittlepillcasperzazzremix.html,,,"SIVAN, TROYE"
My Babe,../lyrics/troyesivan/mybabe.html,,,"SIVAN, TROYE"
Sea Of Love,../lyrics/troyesivan/seaoflove.html,,,"SIVAN, TROYE"
The 2012 Song,../lyrics/troyesivan/the2012song.html,,,"SIVAN, TROYE"
The 2013 Song,../lyrics/troyesivan/the2013song.html,,,"SIVAN, TROYE"
The Fault In Our Stars,../lyrics/troyesivan/thefaultinourstars.html,,,"SIVAN, TROYE"
We're My OTP,../lyrics/troyesivan/weremyotp.html,,,"SIVAN, TROYE"
WILD (Remix),../lyrics/troyesivan/wildremix.html,,,"SIVAN, TROYE"
