song,link,album,year,artist
Captains Of The Sky,../lyrics/skysailing/captainsofthesky.html,An Airplane Carried Me To Bed,2010,SKY SAILING
Brielle,../lyrics/skysailing/brielle.html,An Airplane Carried Me To Bed,2010,SKY SAILING
Steady As She Goes,../lyrics/skysailing/steadyasshegoes.html,An Airplane Carried Me To Bed,2010,SKY SAILING
Explorers,../lyrics/skysailing/explorers.html,An Airplane Carried Me To Bed,2010,SKY SAILING
A Little Opera Goes A Long Way,../lyrics/skysailing/alittleoperagoesalongway.html,An Airplane Carried Me To Bed,2010,SKY SAILING
Tennis Elbow,../lyrics/skysailing/tenniselbow.html,An Airplane Carried Me To Bed,2010,SKY SAILING
Blue And Red,../lyrics/skysailing/blueandred.html,An Airplane Carried Me To Bed,2010,SKY SAILING
Alaska,../lyrics/skysailing/alaska.html,An Airplane Carried Me To Bed,2010,SKY SAILING
I Live Alone,../lyrics/skysailing/ilivealone.html,An Airplane Carried Me To Bed,2010,SKY SAILING
Take Me Somewhere Nice,../lyrics/skysailing/takemesomewherenice.html,An Airplane Carried Me To Bed,2010,SKY SAILING
Sailboats,../lyrics/skysailing/sailboats.html,An Airplane Carried Me To Bed,2010,SKY SAILING
Flowers Of The Field,../lyrics/skysailing/flowersofthefield.html,An Airplane Carried Me To Bed,2010,SKY SAILING
