song,link,album,year,artist
American Love,../lyrics/smallpools/americanlove.html,LOVETAP!,2015,SMALLPOOLS
Killer Whales,../lyrics/smallpools/killerwhales.html,LOVETAP!,2015,SMALLPOOLS
Dreaming,../lyrics/smallpools/dreaming.html,LOVETAP!,2015,SMALLPOOLS
Karaoke,../lyrics/smallpools/karaoke.html,LOVETAP!,2015,SMALLPOOLS
Street Fight,../lyrics/smallpools/brucelee.html,LOVETAP!,2015,SMALLPOOLS
Mason Jar,../lyrics/smallpools/masonjar.html,LOVETAP!,2015,SMALLPOOLS
Over & Over,../lyrics/smallpools/overover.html,LOVETAP!,2015,SMALLPOOLS
Lovetap!,../lyrics/smallpools/lovetap.html,LOVETAP!,2015,SMALLPOOLS
What's A Picture Of?,../lyrics/smallpools/whatsapictureof.html,LOVETAP!,2015,SMALLPOOLS
Dyin' To Live,../lyrics/smallpools/dyintolive.html,LOVETAP!,2015,SMALLPOOLS
Admission To Your Party,../lyrics/smallpools/admissiontoyourparty.html,LOVETAP!,2015,SMALLPOOLS
9 To 5,../lyrics/smallpools/9to5.html,LOVETAP!,2015,SMALLPOOLS
No Story Time,../lyrics/smallpools/nostorytime.html,LOVETAP!,2015,SMALLPOOLS
Submarine,../lyrics/smallpools/submarine.html,LOVETAP!,2015,SMALLPOOLS
A Real Hero,../lyrics/smallpools/arealhero.html,,,SMALLPOOLS
Run With The Bulls,../lyrics/smallpools/runwiththebulls.html,,,SMALLPOOLS
