song,link,album,year,artist
Colder,../lyrics/smashintopieces/colder.html,Unbreakable,2013,SMASH INTO PIECES
Heroes (As We Are),../lyrics/smashintopieces/heroesasweare.html,Unbreakable,2013,SMASH INTO PIECES
A Friend Like You,../lyrics/smashintopieces/afriendlikeyou.html,Unbreakable,2013,SMASH INTO PIECES
Crash And Burn,../lyrics/smashintopieces/crashandburn.html,Unbreakable,2013,SMASH INTO PIECES
Here To Stay,../lyrics/smashintopieces/heretostay.html,Unbreakable,2013,SMASH INTO PIECES
Unbreakable,../lyrics/smashintopieces/unbreakable.html,Unbreakable,2013,SMASH INTO PIECES
Rockstar,../lyrics/smashintopieces/rockstar.html,Unbreakable,2013,SMASH INTO PIECES
Come Along,../lyrics/smashintopieces/comealong.html,Unbreakable,2013,SMASH INTO PIECES
I Want You To Know,../lyrics/smashintopieces/iwantyoutoknow.html,Unbreakable,2013,SMASH INTO PIECES
My Enemy,../lyrics/smashintopieces/myenemy.html,Unbreakable,2013,SMASH INTO PIECES
Fading,../lyrics/smashintopieces/fading.html,Unbreakable,2013,SMASH INTO PIECES
,,Unbreakable,2013,SMASH INTO PIECES
Stronger,../lyrics/smashintopieces/stronger.html,The Apocalypse DJ,2015,SMASH INTO PIECES
My Cocaine,../lyrics/smashintopieces/mycocaine.html,The Apocalypse DJ,2015,SMASH INTO PIECES
Disaster Highway,../lyrics/smashintopieces/disasterhighway.html,The Apocalypse DJ,2015,SMASH INTO PIECES
Checkmate,../lyrics/smashintopieces/checkmate.html,The Apocalypse DJ,2015,SMASH INTO PIECES
Don't Wake Me Up,../lyrics/smashintopieces/dontwakemeup.html,The Apocalypse DJ,2015,SMASH INTO PIECES
Another Day On The Battlefield,../lyrics/smashintopieces/anotherdayonthebattlefield.html,The Apocalypse DJ,2015,SMASH INTO PIECES
Reaching Out,../lyrics/smashintopieces/reachingout.html,The Apocalypse DJ,2015,SMASH INTO PIECES
Color Of Your Eyes,../lyrics/smashintopieces/colorofyoureyes.html,The Apocalypse DJ,2015,SMASH INTO PIECES
Bullets,../lyrics/smashintopieces/bullets.html,The Apocalypse DJ,2015,SMASH INTO PIECES
Burn,../lyrics/smashintopieces/burn.html,The Apocalypse DJ,2015,SMASH INTO PIECES
Rock 'n' Roll (The Apocalypse Tribute),../lyrics/smashintopieces/rocknrolltheapocalypsetribute.html,The Apocalypse DJ,2015,SMASH INTO PIECES
,,The Apocalypse DJ,2015,SMASH INTO PIECES
Turn It Down,../lyrics/smashintopieces/turnitdown.html,Rise And Shine,2017,SMASH INTO PIECES
Let Me Be Your Superhero,../lyrics/smashintopieces/letmebeyoursuperhero.html,Rise And Shine,2017,SMASH INTO PIECES
Merry Go Round,../lyrics/smashintopieces/merrygoround.html,Rise And Shine,2017,SMASH INTO PIECES
Higher,../lyrics/smashintopieces/higher.html,Rise And Shine,2017,SMASH INTO PIECES
Animal,../lyrics/smashintopieces/animal.html,Rise And Shine,2017,SMASH INTO PIECES
Stay,../lyrics/smashintopieces/stay.html,Rise And Shine,2017,SMASH INTO PIECES
Yolo,../lyrics/smashintopieces/yolo.html,Rise And Shine,2017,SMASH INTO PIECES
Save It For The Living,../lyrics/smashintopieces/saveitfortheliving.html,Rise And Shine,2017,SMASH INTO PIECES
In Love With Love,../lyrics/smashintopieces/inlovewithlove.html,Rise And Shine,2017,SMASH INTO PIECES
Rise And Shine,../lyrics/smashintopieces/riseandshine.html,Rise And Shine,2017,SMASH INTO PIECES
