song,link,album,year,artist
All About You,../lyrics/smokienorful/allaboutyou.html,I Need You Now,2002,SMOKIE NORFUL
I Need You Now,../lyrics/smokienorful/ineedyounow.html,I Need You Now,2002,SMOKIE NORFUL
Life's Not Promised,../lyrics/smokienorful/lifesnotpromised.html,I Need You Now,2002,SMOKIE NORFUL
Still Say Thank You,../lyrics/smokienorful/stillsaythankyou.html,I Need You Now,2002,SMOKIE NORFUL
Praise Him,../lyrics/smokienorful/praisehim.html,I Need You Now,2002,SMOKIE NORFUL
The Least I Can Do,../lyrics/smokienorful/theleasticando.html,I Need You Now,2002,SMOKIE NORFUL
"Somethin', Somethin'",../lyrics/smokienorful/somethinsomethin.html,I Need You Now,2002,SMOKIE NORFUL
Same Sad Song,../lyrics/smokienorful/samesadsong.html,I Need You Now,2002,SMOKIE NORFUL
Just Can't Stop,../lyrics/smokienorful/justcantstop.html,I Need You Now,2002,SMOKIE NORFUL
Psalm 64,../lyrics/smokienorful/psalm64.html,I Need You Now,2002,SMOKIE NORFUL
,,I Need You Now,2002,SMOKIE NORFUL
Power,../lyrics/smokienorful/power.html,Nothing Without You,2004,SMOKIE NORFUL
Worthy,../lyrics/smokienorful/worthy.html,Nothing Without You,2004,SMOKIE NORFUL
God Is Able,../lyrics/smokienorful/godisable.html,Nothing Without You,2004,SMOKIE NORFUL
I Understand,../lyrics/smokienorful/iunderstand.html,Nothing Without You,2004,SMOKIE NORFUL
I Know The Lord Will Make A Way,../lyrics/smokienorful/iknowthelordwillmakeaway.html,Nothing Without You,2004,SMOKIE NORFUL
In The Middle,../lyrics/smokienorful/inthemiddle.html,Nothing Without You,2004,SMOKIE NORFUL
Can't Nobody,../lyrics/smokienorful/cantnobody.html,Nothing Without You,2004,SMOKIE NORFUL
Nothing Without You,../lyrics/smokienorful/nothingwithoutyou.html,Nothing Without You,2004,SMOKIE NORFUL
Continuous Grace,../lyrics/smokienorful/continuousgrace.html,Nothing Without You,2004,SMOKIE NORFUL
I Know Too Much About Him,../lyrics/smokienorful/iknowtoomuchabouthim.html,Nothing Without You,2004,SMOKIE NORFUL
Healing In His Tears,../lyrics/smokienorful/healinginhistears.html,Nothing Without You,2004,SMOKIE NORFUL
,,Nothing Without You,2004,SMOKIE NORFUL
Celebrate,../lyrics/smokienorful/celebrate.html,Life Changing,2006,SMOKIE NORFUL
Um Good,../lyrics/smokienorful/umgood.html,Life Changing,2006,SMOKIE NORFUL
Great & Mighty,../lyrics/smokienorful/greatmighty.html,Life Changing,2006,SMOKIE NORFUL
Run Til I Finish,../lyrics/smokienorful/runtilifinish.html,Life Changing,2006,SMOKIE NORFUL
More Than Anything,../lyrics/smokienorful/morethananything.html,Life Changing,2006,SMOKIE NORFUL
Where Would I Be?,../lyrics/smokienorful/wherewouldibe.html,Life Changing,2006,SMOKIE NORFUL
Put Your Hands Together,../lyrics/smokienorful/putyourhandstogether.html,Life Changing,2006,SMOKIE NORFUL
Right Now,../lyrics/smokienorful/rightnow.html,Life Changing,2006,SMOKIE NORFUL
Run To You,../lyrics/smokienorful/runtoyou.html,Life Changing,2006,SMOKIE NORFUL
,,Life Changing,2006,SMOKIE NORFUL
He's Gonna Come Through,../lyrics/smokienorful/hesgonnacomethrough.html,Live,2009,SMOKIE NORFUL
I Will Bless The Lord,../lyrics/smokienorful/iwillblessthelord.html,Live,2009,SMOKIE NORFUL
Justified,../lyrics/smokienorful/justified.html,Live,2009,SMOKIE NORFUL
Mighty God,../lyrics/smokienorful/mightygod.html,Live,2009,SMOKIE NORFUL
In The Presence Of The King,../lyrics/smokienorful/inthepresenceoftheking.html,Live,2009,SMOKIE NORFUL
Dear God,../lyrics/smokienorful/deargod.html,Live,2009,SMOKIE NORFUL
No One Else,../lyrics/smokienorful/nooneelse.html,Live,2009,SMOKIE NORFUL
Jesus Is Love,../lyrics/smokienorful/jesusislove.html,Live,2009,SMOKIE NORFUL
Don't Quit,../lyrics/smokienorful/dontquit.html,Live,2009,SMOKIE NORFUL
I've Been Delivered,../lyrics/smokienorful/ivebeendelivered.html,Live,2009,SMOKIE NORFUL
,,Live,2009,SMOKIE NORFUL
Mighty God,../lyrics/smokienorful/mightygod.html,Forever Yours,2014,SMOKIE NORFUL
No Greater Love,../lyrics/smokienorful/nogreaterlove.html,Forever Yours,2014,SMOKIE NORFUL
I Need A Word,../lyrics/smokienorful/ineedaword.html,Forever Yours,2014,SMOKIE NORFUL
Imperfect Me,../lyrics/smokienorful/imperfectme.html,Forever Yours,2014,SMOKIE NORFUL
Forever Yours,../lyrics/smokienorful/foreveryours.html,Forever Yours,2014,SMOKIE NORFUL
In The Meantime,../lyrics/smokienorful/inthemeantime.html,Forever Yours,2014,SMOKIE NORFUL
Run Run,../lyrics/smokienorful/runrun.html,Forever Yours,2014,SMOKIE NORFUL
He Loves Me,../lyrics/smokienorful/helovesme.html,Forever Yours,2014,SMOKIE NORFUL
Say So,../lyrics/smokienorful/sayso.html,Forever Yours,2014,SMOKIE NORFUL
He's All I Need,../lyrics/smokienorful/hesallineed.html,,,SMOKIE NORFUL
I'm Still Here,../lyrics/smokienorful/imstillhere.html,,,SMOKIE NORFUL
Once In A Lifetime,../lyrics/smokienorful/onceinalifetime.html,,,SMOKIE NORFUL
