song,link,album,year,artist
"Forever, Pt. II",../lyrics/snakehips/foreverptii.html,"Forever, Pt. II",2015,SNAKEHIPS
Gone,../lyrics/snakehips/gone.html,"Forever, Pt. II",2015,SNAKEHIPS
Overtime,../lyrics/snakehips/overtime.html,"Forever, Pt. II",2015,SNAKEHIPS
Poison,../lyrics/snakehips/poison.html,"Forever, Pt. II",2015,SNAKEHIPS
All My Friends,../lyrics/snakehips/allmyfriends.html,,,SNAKEHIPS
Burn Break Crash,../lyrics/snakehips/burnbreakcrash.html,,,SNAKEHIPS
Cruel,../lyrics/snakehips/cruel.html,,,SNAKEHIPS
Days With You,../lyrics/snakehips/dayswithyou.html,,,SNAKEHIPS
Don't Leave,../lyrics/snakehips/dontleave.html,,,SNAKEHIPS
Don't Leave (Gryffin Remix),../lyrics/snakehips/dontleavegryffinremix.html,,,SNAKEHIPS
Falling,../lyrics/snakehips/falling.html,,,SNAKEHIPS
Money On Me,../lyrics/snakehips/moneyonme.html,,,SNAKEHIPS
