song,link,album,year,artist
Intro,../lyrics/sosolidcrew/intro.html,They Don't Know,2001,SO SOLID CREW
Haters,../lyrics/sosolidcrew/haters.html,They Don't Know,2001,SO SOLID CREW
Oh No!,../lyrics/sosolidcrew/ohno.html,They Don't Know,2001,SO SOLID CREW
They Don't Know,../lyrics/sosolidcrew/theydontknow.html,They Don't Know,2001,SO SOLID CREW
Envy,../lyrics/sosolidcrew/envy.html,They Don't Know,2001,SO SOLID CREW
If It Was Me,../lyrics/sosolidcrew/ifitwasme.html,They Don't Know,2001,SO SOLID CREW
Friend Of Mine,../lyrics/sosolidcrew/friendofmine.html,They Don't Know,2001,SO SOLID CREW
Deeper,../lyrics/sosolidcrew/deeper.html,They Don't Know,2001,SO SOLID CREW
Woah,../lyrics/sosolidcrew/woah.html,They Don't Know,2001,SO SOLID CREW
Ride Wid Us,../lyrics/sosolidcrew/ridewidus.html,They Don't Know,2001,SO SOLID CREW
Fuck Wid Us,../lyrics/sosolidcrew/fuckwidus.html,They Don't Know,2001,SO SOLID CREW
21 Seconds,../lyrics/sosolidcrew/21seconds.html,They Don't Know,2001,SO SOLID CREW
Outro,../lyrics/sosolidcrew/outro.html,They Don't Know,2001,SO SOLID CREW
Best Of Your Love,../lyrics/sosolidcrew/bestofyourlove.html,,,SO SOLID CREW
Broken Silence,../lyrics/sosolidcrew/brokensilence.html,,,SO SOLID CREW
Dilemma,../lyrics/sosolidcrew/dilemma.html,,,SO SOLID CREW
Nasty,../lyrics/sosolidcrew/nasty.html,,,SO SOLID CREW
Why,../lyrics/sosolidcrew/why.html,,,SO SOLID CREW
