song,link,album,year,artist
Be Brave,../lyrics/socialrepose/bebrave.html,Reckless Closure,2013,SOCIAL REPOSE
Beautiful Disaster,../lyrics/socialrepose/beautifuldisaster.html,Reckless Closure,2013,SOCIAL REPOSE
Raise Your Fist,../lyrics/socialrepose/raiseyourfist.html,Reckless Closure,2013,SOCIAL REPOSE
I Remember When,../lyrics/socialrepose/irememberwhen.html,Reckless Closure,2013,SOCIAL REPOSE
New World,../lyrics/socialrepose/newworld.html,Reckless Closure,2013,SOCIAL REPOSE
Cannonball,../lyrics/socialrepose/cannonball.html,Reckless Closure,2013,SOCIAL REPOSE
The Architect,../lyrics/socialrepose/thearchitect.html,Reckless Closure,2013,SOCIAL REPOSE
,,Reckless Closure,2013,SOCIAL REPOSE
Stand Tall,../lyrics/socialrepose/standtall.html,Yalta,2015,SOCIAL REPOSE
Arctic Eyes,../lyrics/socialrepose/arcticeyes.html,Yalta,2015,SOCIAL REPOSE
Island Of Yours,../lyrics/socialrepose/islandofyours.html,Yalta,2015,SOCIAL REPOSE
Bipolar Love,../lyrics/socialrepose/bipolarlove.html,Yalta,2015,SOCIAL REPOSE
Tail Lights,../lyrics/socialrepose/taillights.html,Yalta,2015,SOCIAL REPOSE
Echo Fades,../lyrics/socialrepose/echofades.html,Yalta,2015,SOCIAL REPOSE
Demons,../lyrics/socialrepose/demons.html,Yalta,2015,SOCIAL REPOSE
The Maw,../lyrics/socialrepose/themaw.html,Yalta,2015,SOCIAL REPOSE
Crazy Manic Love,../lyrics/socialrepose/crazymaniclove.html,,,SOCIAL REPOSE
Filthy Pride,../lyrics/socialrepose/filthypride.html,,,SOCIAL REPOSE
I Can't Sleep,../lyrics/socialrepose/icantsleep.html,,,SOCIAL REPOSE
"If You're Thinking Of Leaving, You Should.",../lyrics/socialrepose/ifyourethinkingofleavingyoushould.html,,,SOCIAL REPOSE
"If You're Thinking Of Leaving, You Shouldn't",../lyrics/socialrepose/ifyourethinkingofleavingyoushouldnt.html,,,SOCIAL REPOSE
Wither,../lyrics/socialrepose/wither.html,,,SOCIAL REPOSE
