song,link,album,year,artist
Â¿Por QuÃ© No Puedo Ser Del Jet-Set?,../lyrics/sodastereo/porqunopuedoserdeljetset.html,Soda Stereo,1984,SODA STEREO
Sobredosis De TV,../lyrics/sodastereo/sobredosisdetv.html,Soda Stereo,1984,SODA STEREO
Te Hacen Falta Vitaminas,../lyrics/sodastereo/tehacenfaltavitaminas.html,Soda Stereo,1984,SODA STEREO
TrÃ¡tame Suavemente,../lyrics/sodastereo/trtamesuavemente.html,Soda Stereo,1984,SODA STEREO
DietÃ©tico,../lyrics/sodastereo/diettico.html,Soda Stereo,1984,SODA STEREO
Tele-Ka,../lyrics/sodastereo/teleka.html,Soda Stereo,1984,SODA STEREO
Ni Un Segundo,../lyrics/sodastereo/niunsegundo.html,Soda Stereo,1984,SODA STEREO
Un Misil En Mi Placard,../lyrics/sodastereo/unmisilenmiplacard.html,Soda Stereo,1984,SODA STEREO
El Tiempo Es Dinero,../lyrics/sodastereo/eltiempoesdinero.html,Soda Stereo,1984,SODA STEREO
AfrodisÃ­acos,../lyrics/sodastereo/afrodisacos.html,Soda Stereo,1984,SODA STEREO
Mi Novia Tiene BÃ­ceps,../lyrics/sodastereo/minoviatienebceps.html,Soda Stereo,1984,SODA STEREO
,,Soda Stereo,1984,SODA STEREO
Nada Personal,../lyrics/sodastereo/nadapersonal.html,Nada Personal,1985,SODA STEREO
Si No Fuera Por...,../lyrics/sodastereo/sinofuerapor.html,Nada Personal,1985,SODA STEREO
Cuando Pase El Temblor,../lyrics/sodastereo/cuandopaseeltemblor.html,Nada Personal,1985,SODA STEREO
Danza Rota,../lyrics/sodastereo/danzarota.html,Nada Personal,1985,SODA STEREO
El Cuerpo Del Delito,../lyrics/sodastereo/elcuerpodeldelito.html,Nada Personal,1985,SODA STEREO
Juego De SeducciÃ³n,../lyrics/sodastereo/juegodeseduccin.html,Nada Personal,1985,SODA STEREO
Estoy Azulado,../lyrics/sodastereo/estoyazulado.html,Nada Personal,1985,SODA STEREO
ObservÃ¡ndonos (SatÃ©lites),../lyrics/sodastereo/observndonossatlites.html,Nada Personal,1985,SODA STEREO
ImÃ¡genes Retro,../lyrics/sodastereo/imgenesretro.html,Nada Personal,1985,SODA STEREO
Ecos,../lyrics/sodastereo/ecos.html,Nada Personal,1985,SODA STEREO
,,Nada Personal,1985,SODA STEREO
Sin Sobresaltos,../lyrics/sodastereo/sinsobresaltos.html,Signos,1986,SODA STEREO
El Rito,../lyrics/sodastereo/elrito.html,Signos,1986,SODA STEREO
PrÃ³fugos,../lyrics/sodastereo/prfugos.html,Signos,1986,SODA STEREO
No Existes,../lyrics/sodastereo/noexistes.html,Signos,1986,SODA STEREO
Persiana Americana,../lyrics/sodastereo/persianaamericana.html,Signos,1986,SODA STEREO
En Camino,../lyrics/sodastereo/encamino.html,Signos,1986,SODA STEREO
Signos,../lyrics/sodastereo/signos.html,Signos,1986,SODA STEREO
Final Caja Negra,../lyrics/sodastereo/finalcajanegra.html,Signos,1986,SODA STEREO
,,Signos,1986,SODA STEREO
Picnic En El 4Âº B,../lyrics/sodastereo/picnicenel4b.html,Doble Vida,1988,SODA STEREO
En La Ciudad De La Furia,../lyrics/sodastereo/enlaciudaddelafuria.html,Doble Vida,1988,SODA STEREO
