song,link,album,year,artist
Victory,../lyrics/sonreal/victory.html,The Stroll,2009,SONREAL
,,The Stroll,2009,SONREAL
Already There,../lyrics/sonreal/alreadythere.html,The Lightyear Mixtape,2010,SONREAL
I Tried,../lyrics/sonreal/itried.html,The Lightyear Mixtape,2010,SONREAL
Victim Teen,../lyrics/sonreal/victimteen.html,The Lightyear Mixtape,2010,SONREAL
,,The Lightyear Mixtape,2010,SONREAL
I Don't Give A Shit,../lyrics/sonreal/idontgiveashit.html,Good News,2012,SONREAL
Alright Okay,../lyrics/sonreal/alrightokay.html,Good News,2012,SONREAL
,,Good News,2012,SONREAL
Confession,../lyrics/sonreal/confession.html,One Long Day,2014,SONREAL
Epic,../lyrics/sonreal/epic.html,One Long Day,2014,SONREAL
Luck,../lyrics/sonreal/luck.html,One Long Day,2014,SONREAL
Monday Night,../lyrics/sonreal/mondaynight.html,One Long Day,2014,SONREAL
L.A.,../lyrics/sonreal/la.html,One Long Day,2014,SONREAL
Nothing Interlude,../lyrics/sonreal/nothinginterlude.html,One Long Day,2014,SONREAL
Honor Roll,../lyrics/sonreal/honorroll.html,One Long Day,2014,SONREAL
Believe,../lyrics/sonreal/believe.html,One Long Day,2014,SONREAL
Let Me,../lyrics/sonreal/letme.html,One Long Day,2014,SONREAL
All,../lyrics/sonreal/all.html,One Long Day,2014,SONREAL
,,One Long Day,2014,SONREAL
Home,../lyrics/sonreal/home.html,For The Town,2015,SONREAL
Preach,../lyrics/sonreal/preach.html,For The Town,2015,SONREAL
"Shit's Epic, Pt. II",../lyrics/sonreal/shitsepicptii.html,For The Town,2015,SONREAL
Try,../lyrics/sonreal/try.html,For The Town,2015,SONREAL
Whoa Nilly,../lyrics/sonreal/whoanilly.html,For The Town,2015,SONREAL
For the Town,../lyrics/sonreal/forthetown.html,For The Town,2015,SONREAL
,,For The Town,2015,SONREAL
Can I Get A Witness,../lyrics/sonreal/canigetawitness.html,The Name,2016,SONREAL
No Warm Up,../lyrics/sonreal/nowarmup.html,The Name,2016,SONREAL
All I Got,../lyrics/sonreal/alligot.html,The Name,2016,SONREAL
Hot Air Balloon,../lyrics/sonreal/hotairballoon.html,The Name,2016,SONREAL
Soho,../lyrics/sonreal/soho.html,The Name,2016,SONREAL
Everywhere We Go,../lyrics/sonreal/everywherewego.html,,,SONREAL
