song,link,album,year,artist
Jet Black Crow,../lyrics/sonsofthesea/jetblackcrow.html,Sons Of The Sea,2013,SONS OF THE SEA
Space And Time,../lyrics/sonsofthesea/spaceandtime.html,Sons Of The Sea,2013,SONS OF THE SEA
Untethered,../lyrics/sonsofthesea/untethered.html,Sons Of The Sea,2013,SONS OF THE SEA
Plus Minus,../lyrics/sonsofthesea/plusminus.html,Sons Of The Sea,2013,SONS OF THE SEA
Great Escape,../lyrics/sonsofthesea/greatescape.html,Sons Of The Sea,2013,SONS OF THE SEA
Come Together,../lyrics/sonsofthesea/cometogether.html,Sons Of The Sea,2013,SONS OF THE SEA
Where All The Songs Come From,../lyrics/sonsofthesea/whereallthesongscomefrom.html,Sons Of The Sea,2013,SONS OF THE SEA
Avalanche,../lyrics/sonsofthesea/avalanche.html,Sons Of The Sea,2013,SONS OF THE SEA
Lady Black,../lyrics/sonsofthesea/ladyblack.html,Sons Of The Sea,2013,SONS OF THE SEA
"Hey, That's No Way To Say Goodbye",../lyrics/sonsofthesea/heythatsnowaytosaygoodbye.html,Sons Of The Sea,2013,SONS OF THE SEA
