song,link,album,year,artist
When We Were Five,../lyrics/charlenesoraia/whenwewerefive.html,Moonchild,2011,"SORAIA, CHARLENE"
Daffodils,../lyrics/charlenesoraia/daffodils.html,Moonchild,2011,"SORAIA, CHARLENE"
Lightyears,../lyrics/charlenesoraia/lightyears.html,Moonchild,2011,"SORAIA, CHARLENE"
Meadow Child,../lyrics/charlenesoraia/meadowchild.html,Moonchild,2011,"SORAIA, CHARLENE"
Bipolar,../lyrics/charlenesoraia/bipolar.html,Moonchild,2011,"SORAIA, CHARLENE"
Postcards From Io,../lyrics/charlenesoraia/postcardsfromio.html,Moonchild,2011,"SORAIA, CHARLENE"
Bike,../lyrics/charlenesoraia/bike.html,Moonchild,2011,"SORAIA, CHARLENE"
Wherever You Will Go,../lyrics/charlenesoraia/whereveryouwillgo.html,Moonchild,2011,"SORAIA, CHARLENE"
,,Moonchild,2011,"SORAIA, CHARLENE"
I'll Be There,../lyrics/charlenesoraia/illbethere.html,Love Is The Law,2015,"SORAIA, CHARLENE"
Caged,../lyrics/charlenesoraia/caged.html,Love Is The Law,2015,"SORAIA, CHARLENE"
Innocent,../lyrics/charlenesoraia/innocent.html,Love Is The Law,2015,"SORAIA, CHARLENE"
Treasure,../lyrics/charlenesoraia/treasure.html,Love Is The Law,2015,"SORAIA, CHARLENE"
Love Is The Law,../lyrics/charlenesoraia/loveisthelaw.html,Love Is The Law,2015,"SORAIA, CHARLENE"
Ghost,../lyrics/charlenesoraia/ghost.html,Love Is The Law,2015,"SORAIA, CHARLENE"
Jekyll & Hyde,../lyrics/charlenesoraia/jekyllhyde.html,Love Is The Law,2015,"SORAIA, CHARLENE"
Without Your Love,../lyrics/charlenesoraia/withoutyourlove.html,Love Is The Law,2015,"SORAIA, CHARLENE"
The Space Between Us,../lyrics/charlenesoraia/thespacebetweenus.html,Love Is The Law,2015,"SORAIA, CHARLENE"
Broken,../lyrics/charlenesoraia/broken.html,Love Is The Law,2015,"SORAIA, CHARLENE"
Standing Stone,../lyrics/charlenesoraia/standingstone.html,Love Is The Law,2015,"SORAIA, CHARLENE"
Wherever You Will Go,../lyrics/charlenesoraia/whereveryouwillgo.html,Love Is The Law,2015,"SORAIA, CHARLENE"
