song,link,album,year,artist
22,../lyrics/spongecola/22.html,Palabas,2004,SPONGE COLA
Partisan,../lyrics/spongecola/partisan.html,Palabas,2004,SPONGE COLA
KLSP,../lyrics/spongecola/klsp.html,Palabas,2004,SPONGE COLA
Neon,../lyrics/spongecola/neon.html,Palabas,2004,SPONGE COLA
On The Floor,../lyrics/spongecola/onthefloor.html,Palabas,2004,SPONGE COLA
Stone's Throw,../lyrics/spongecola/stonesthrow.html,Palabas,2004,SPONGE COLA
Jillian,../lyrics/spongecola/jillian.html,Palabas,2004,SPONGE COLA
Lunes,../lyrics/spongecola/lunes.html,Palabas,2004,SPONGE COLA
To The Sly And Cunning,../lyrics/spongecola/totheslyandcunning.html,Palabas,2004,SPONGE COLA
Una,../lyrics/spongecola/una.html,Palabas,2004,SPONGE COLA
Dragonfly,../lyrics/spongecola/dragonfly.html,Palabas,2004,SPONGE COLA
Gemini,../lyrics/spongecola/gemini.html,Palabas,2004,SPONGE COLA
Jeepney,../lyrics/spongecola/jeepney.html,Palabas,2004,SPONGE COLA
Closure,../lyrics/spongecola/closure.html,Palabas,2004,SPONGE COLA
,,Palabas,2004,SPONGE COLA
Bitiw,../lyrics/spongecola/bitiw.html,Transit,2006,SPONGE COLA
Tuliro,../lyrics/spongecola/tuliro.html,Transit,2006,SPONGE COLA
Movie,../lyrics/spongecola/movie.html,Transit,2006,SPONGE COLA
The Wandering,../lyrics/spongecola/thewandering.html,Transit,2006,SPONGE COLA
Gunita,../lyrics/spongecola/gunita.html,Transit,2006,SPONGE COLA
Do You Know The Feeling,../lyrics/spongecola/doyouknowthefeeling.html,Transit,2006,SPONGE COLA
Sa Bingit Ng Isang Paalam,../lyrics/spongecola/sabingitngisangpaalam.html,Transit,2006,SPONGE COLA
Myself In You,../lyrics/spongecola/myselfinyou.html,Transit,2006,SPONGE COLA
All We Need,../lyrics/spongecola/allweneed.html,Transit,2006,SPONGE COLA
Nocturne,../lyrics/spongecola/nocturne.html,Transit,2006,SPONGE COLA
Pasubali,../lyrics/spongecola/pasubali.html,Transit,2006,SPONGE COLA
Harapin,../lyrics/spongecola/harapin.html,Transit,2006,SPONGE COLA
,,Transit,2006,SPONGE COLA
Ayt,../lyrics/spongecola/ayt.html,Sponge Cola,2008,SPONGE COLA
Puso,../lyrics/spongecola/puso.html,Sponge Cola,2008,SPONGE COLA
Step Back,../lyrics/spongecola/stepback.html,Sponge Cola,2008,SPONGE COLA
Di Na Mababawi,../lyrics/spongecola/dinamababawi.html,Sponge Cola,2008,SPONGE COLA
In Another Life,../lyrics/spongecola/inanotherlife.html,Sponge Cola,2008,SPONGE COLA
