song,link,album,year,artist
Filled With Your Glory,../lyrics/starfield/filledwithyourglory.html,Starfield,2004,STARFIELD
Love Break Me,../lyrics/starfield/lovebreakme.html,Starfield,2004,STARFIELD
Revolution,../lyrics/starfield/revolution.html,Starfield,2004,STARFIELD
Alive In This Moment,../lyrics/starfield/aliveinthismoment.html,Starfield,2004,STARFIELD
Tumbling After,../lyrics/starfield/tumblingafter.html,Starfield,2004,STARFIELD
Outstretched Hands,../lyrics/starfield/outstretchedhands.html,Starfield,2004,STARFIELD
Ordinary Life,../lyrics/starfield/ordinarylife.html,Starfield,2004,STARFIELD
Over My Head,../lyrics/starfield/overmyhead.html,Starfield,2004,STARFIELD
Can I Stay Here Forever,../lyrics/starfield/canistayhereforever.html,Starfield,2004,STARFIELD
All For You,../lyrics/starfield/allforyou.html,Starfield,2004,STARFIELD
Cry In My Heart,../lyrics/starfield/cryinmyheart.html,Starfield,2004,STARFIELD
,,Starfield,2004,STARFIELD
My Generation,../lyrics/starfield/mygeneration.html,Beauty In The Broken,2006,STARFIELD
The Hand That Holds The World,../lyrics/starfield/thehandthatholdstheworld.html,Beauty In The Broken,2006,STARFIELD
Son Of God,../lyrics/starfield/sonofgod.html,Beauty In The Broken,2006,STARFIELD
Everything Is Beautiful,../lyrics/starfield/everythingisbeautiful.html,Beauty In The Broken,2006,STARFIELD
Captivate,../lyrics/starfield/captivate.html,Beauty In The Broken,2006,STARFIELD
Great Is The Lord,../lyrics/starfield/greatisthelord.html,Beauty In The Broken,2006,STARFIELD
Unashamed,../lyrics/starfield/unashamed.html,Beauty In The Broken,2006,STARFIELD
Love Is The Reversal,../lyrics/starfield/loveisthereversal.html,Beauty In The Broken,2006,STARFIELD
Obsession,../lyrics/starfield/obsession.html,Beauty In The Broken,2006,STARFIELD
Glorious One,../lyrics/starfield/gloriousone.html,Beauty In The Broken,2006,STARFIELD
Shipwreck,../lyrics/starfield/shipwreck.html,Beauty In The Broken,2006,STARFIELD
,,Beauty In The Broken,2006,STARFIELD
From The Corners Of The Earth,../lyrics/starfield/fromthecornersoftheearth.html,I Will Go,2008,STARFIELD
Hosanna,../lyrics/starfield/hosanna.html,I Will Go,2008,STARFIELD
Reign In Us,../lyrics/starfield/reigninus.html,I Will Go,2008,STARFIELD
Holy Is Our God,../lyrics/starfield/holyisourgod.html,I Will Go,2008,STARFIELD
I Will Go,../lyrics/starfield/iwillgo.html,I Will Go,2008,STARFIELD
Remain,../lyrics/starfield/remain.html,I Will Go,2008,STARFIELD
All We Need,../lyrics/starfield/allweneed.html,I Will Go,2008,STARFIELD
Great In All The Earth,../lyrics/starfield/greatinalltheearth.html,I Will Go,2008,STARFIELD
The Loveliest Sound,../lyrics/starfield/theloveliestsound.html,I Will Go,2008,STARFIELD
Hiding Place,../lyrics/starfield/hidingplace.html,I Will Go,2008,STARFIELD
,,I Will Go,2008,STARFIELD
The Saving One,../lyrics/starfield/thesavingone.html,The Saving One,2010,STARFIELD
Rediscover You,../lyrics/starfield/rediscoveryou.html,The Saving One,2010,STARFIELD
Declaration,../lyrics/starfield/declaration.html,The Saving One,2010,STARFIELD
No Other Savior,../lyrics/starfield/noothersavior.html,The Saving One,2010,STARFIELD
Something To Say,../lyrics/starfield/somethingtosay.html,The Saving One,2010,STARFIELD
Absolutely,../lyrics/starfield/absolutely.html,The Saving One,2010,STARFIELD
Overwhelm,../lyrics/starfield/overwhelm.html,The Saving One,2010,STARFIELD
Top Of My Lungs,../lyrics/starfield/topofmylungs.html,The Saving One,2010,STARFIELD
Glory Is Rising,../lyrics/starfield/gloryisrising.html,The Saving One,2010,STARFIELD
I Need A Father,../lyrics/starfield/ineedafather.html,The Saving One,2010,STARFIELD
,,The Saving One,2010,STARFIELD
Natural Disaster,../lyrics/starfield/naturaldisaster.html,The Kingdom,2012,STARFIELD
Burn For You,../lyrics/starfield/burnforyou.html,The Kingdom,2012,STARFIELD
The Kingdom,../lyrics/starfield/thekingdom.html,The Kingdom,2012,STARFIELD
Just Surrender,../lyrics/starfield/justsurrender.html,The Kingdom,2012,STARFIELD
Heart And Flesh,../lyrics/starfield/heartandflesh.html,The Kingdom,2012,STARFIELD
I Have Decided,../lyrics/starfield/ihavedecided.html,The Kingdom,2012,STARFIELD
All I Want Is You,../lyrics/starfield/alliwantisyou.html,The Kingdom,2012,STARFIELD
Innocence And Other Things Lost,../lyrics/starfield/innocenceandotherthingslost.html,The Kingdom,2012,STARFIELD
Speak Now Jesus,../lyrics/starfield/speaknowjesus.html,The Kingdom,2012,STARFIELD
Light Of The World,../lyrics/starfield/lightoftheworld.html,The Kingdom,2012,STARFIELD
