song,link,album,year,artist
People To People,../lyrics/stateradio/peopletopeople.html,Us Against The Crown,2006,STATE RADIO
Mr. Larkin,../lyrics/stateradio/mrlarkin.html,Us Against The Crown,2006,STATE RADIO
Camilo,../lyrics/stateradio/camilo.html,Us Against The Crown,2006,STATE RADIO
Right Me Up,../lyrics/stateradio/rightmeup.html,Us Against The Crown,2006,STATE RADIO
Black Cab Motorcade,../lyrics/stateradio/blackcabmotorcade.html,Us Against The Crown,2006,STATE RADIO
Riddle In Londontown,../lyrics/stateradio/riddleinlondontown.html,Us Against The Crown,2006,STATE RADIO
Man In The Hall,../lyrics/stateradio/maninthehall.html,Us Against The Crown,2006,STATE RADIO
Waitress,../lyrics/stateradio/waitress.html,Us Against The Crown,2006,STATE RADIO
The Diner Song,../lyrics/stateradio/thedinersong.html,Us Against The Crown,2006,STATE RADIO
Gunship Politico,../lyrics/stateradio/gunshippolitico.html,Us Against The Crown,2006,STATE RADIO
Rushian,../lyrics/stateradio/rushian.html,Us Against The Crown,2006,STATE RADIO
Calvado's Chopper,../lyrics/stateradio/calvadoschopper.html,Us Against The Crown,2006,STATE RADIO
,,Us Against The Crown,2006,STATE RADIO
Guantanamo,../lyrics/stateradio/guantanamo.html,Year Of The Crow,2007,STATE RADIO
Unfortunates,../lyrics/stateradio/unfortunates.html,Year Of The Crow,2007,STATE RADIO
The Story Of Benjamin Darling Part 1,../lyrics/stateradio/thestoryofbenjamindarlingpart1.html,Year Of The Crow,2007,STATE RADIO
CIA,../lyrics/stateradio/cia.html,Year Of The Crow,2007,STATE RADIO
Gang Of Thieves,../lyrics/stateradio/gangofthieves.html,Year Of The Crow,2007,STATE RADIO
Fight No More,../lyrics/stateradio/fightnomore.html,Year Of The Crow,2007,STATE RADIO
Barn Storming,../lyrics/stateradio/barnstorming.html,Year Of The Crow,2007,STATE RADIO
Rash Of Robberies,../lyrics/stateradio/rashofrobberies.html,Year Of The Crow,2007,STATE RADIO
Omar Bay,../lyrics/stateradio/omarbay.html,Year Of The Crow,2007,STATE RADIO
As With Gladness,../lyrics/stateradio/aswithgladness.html,Year Of The Crow,2007,STATE RADIO
Wicker Plane,../lyrics/stateradio/wickerplane.html,Year Of The Crow,2007,STATE RADIO
Sudan,../lyrics/stateradio/sudan.html,Year Of The Crow,2007,STATE RADIO
Fall Of The American Empire,../lyrics/stateradio/falloftheamericanempire.html,Year Of The Crow,2007,STATE RADIO
,,Year Of The Crow,2007,STATE RADIO
Sybil III,../lyrics/stateradio/sybiliii.html,Let It Go,2009,STATE RADIO
Mansin Humanity,../lyrics/stateradio/mansinhumanity.html,Let It Go,2009,STATE RADIO
Calling All Crows,../lyrics/stateradio/callingallcrows.html,Let It Go,2009,STATE RADIO
Doctor Ron The Actor,../lyrics/stateradio/doctorrontheactor.html,Let It Go,2009,STATE RADIO
Arsenic & Clover,../lyrics/stateradio/arsenicclover.html,Let It Go,2009,STATE RADIO
Bohemian Grove,../lyrics/stateradio/bohemiangrove.html,Let It Go,2009,STATE RADIO
Knights Of Bostonia,../lyrics/stateradio/knightsofbostonia.html,Let It Go,2009,STATE RADIO
Let It Go,../lyrics/stateradio/letitgo.html,Let It Go,2009,STATE RADIO
Evolution,../lyrics/stateradio/evolution.html,Let It Go,2009,STATE RADIO
Held Up By The Wires,../lyrics/stateradio/heldupbythewires.html,Let It Go,2009,STATE RADIO
Blood Escaping Man,../lyrics/stateradio/bloodescapingman.html,Let It Go,2009,STATE RADIO
Still & Silent,../lyrics/stateradio/stillsilent.html,Let It Go,2009,STATE RADIO
Indian Moon,../lyrics/stateradio/indianmoon.html,Let It Go,2009,STATE RADIO
,,Let It Go,2009,STATE RADIO
H.A.C.K.I.N. (Yeah Man),../lyrics/stateradio/hackinyeahman.html,Rabbit Inn Rebellion,2012,STATE RADIO
Freckled Mary,../lyrics/stateradio/freckledmary.html,Rabbit Inn Rebellion,2012,STATE RADIO
Roadway Broken,../lyrics/stateradio/roadwaybroken.html,Rabbit Inn Rebellion,2012,STATE RADIO
Big Man,../lyrics/stateradio/bigman.html,Rabbit Inn Rebellion,2012,STATE RADIO
Take Cover,../lyrics/stateradio/takecover.html,Rabbit Inn Rebellion,2012,STATE RADIO
Adelaide,../lyrics/stateradio/adelaide.html,Rabbit Inn Rebellion,2012,STATE RADIO
Desert Queen,../lyrics/stateradio/desertqueen.html,Rabbit Inn Rebellion,2012,STATE RADIO
Sugarbeet Wine,../lyrics/stateradio/sugarbeetwine.html,Rabbit Inn Rebellion,2012,STATE RADIO
The Bridge Is Burning,../lyrics/stateradio/thebridgeisburning.html,Rabbit Inn Rebellion,2012,STATE RADIO
State Of Georgia,../lyrics/stateradio/stateofgeorgia.html,Rabbit Inn Rebellion,2012,STATE RADIO
Black Welsh Mountain,../lyrics/stateradio/blackwelshmountain.html,Rabbit Inn Rebellion,2012,STATE RADIO
