song,link,album,year,artist
"Oh, Sherrie",../lyrics/steveperry/ohsherrie.html,Street Talk,1984,STEVE PERRY
I Believe,../lyrics/steveperry/ibelieve.html,Street Talk,1984,STEVE PERRY
Go Away,../lyrics/steveperry/goaway.html,Street Talk,1984,STEVE PERRY
Foolish Heart,../lyrics/steveperry/foolishheart.html,Street Talk,1984,STEVE PERRY
It's Only Love,../lyrics/steveperry/itsonlylove.html,Street Talk,1984,STEVE PERRY
She's Mine,../lyrics/steveperry/shesmine.html,Street Talk,1984,STEVE PERRY
You Should Be Happy,../lyrics/steveperry/youshouldbehappy.html,Street Talk,1984,STEVE PERRY
Running Alone,../lyrics/steveperry/runningalone.html,Street Talk,1984,STEVE PERRY
Captured By The Moment,../lyrics/steveperry/capturedbythemoment.html,Street Talk,1984,STEVE PERRY
Strung Out,../lyrics/steveperry/strungout.html,Street Talk,1984,STEVE PERRY
,,Street Talk,1984,STEVE PERRY
You Better Wait,../lyrics/steveperry/youbetterwait.html,For The Love Of Strange Medicine,1994,STEVE PERRY
Young Hearts Forever,../lyrics/steveperry/youngheartsforever.html,For The Love Of Strange Medicine,1994,STEVE PERRY
I Am,../lyrics/steveperry/iam.html,For The Love Of Strange Medicine,1994,STEVE PERRY
Stand Up (Before It's Too Late),../lyrics/steveperry/standupbeforeitstoolate.html,For The Love Of Strange Medicine,1994,STEVE PERRY
For The Love Of Strange Medicine,../lyrics/steveperry/fortheloveofstrangemedicine.html,For The Love Of Strange Medicine,1994,STEVE PERRY
Donna Please,../lyrics/steveperry/donnaplease.html,For The Love Of Strange Medicine,1994,STEVE PERRY
Listen To Your Heart,../lyrics/steveperry/listentoyourheart.html,For The Love Of Strange Medicine,1994,STEVE PERRY
Tuesday Heartache,../lyrics/steveperry/tuesdayheartache.html,For The Love Of Strange Medicine,1994,STEVE PERRY
Missing You,../lyrics/steveperry/missingyou.html,For The Love Of Strange Medicine,1994,STEVE PERRY
Somewhere There's Hope,../lyrics/steveperry/somewherethereshope.html,For The Love Of Strange Medicine,1994,STEVE PERRY
Anyway,../lyrics/steveperry/anyway.html,For The Love Of Strange Medicine,1994,STEVE PERRY
,,For The Love Of Strange Medicine,1994,STEVE PERRY
"Oh, Sherrie",../lyrics/steveperry/ohsherrie.html,Greatest Hits + Five Unreleased,1998,STEVE PERRY
Foolish Heart,../lyrics/steveperry/foolishheart.html,Greatest Hits + Five Unreleased,1998,STEVE PERRY
She's Mine,../lyrics/steveperry/shesmine.html,Greatest Hits + Five Unreleased,1998,STEVE PERRY
Strung Out,../lyrics/steveperry/strungout.html,Greatest Hits + Five Unreleased,1998,STEVE PERRY
Go Away,../lyrics/steveperry/goaway.html,Greatest Hits + Five Unreleased,1998,STEVE PERRY
When You're In Love (For The First Time),../lyrics/steveperry/whenyoureinloveforthefirsttime.html,Greatest Hits + Five Unreleased,1998,STEVE PERRY
Against The Wall,../lyrics/steveperry/againstthewall.html,Greatest Hits + Five Unreleased,1998,STEVE PERRY
Forever Right Or Wrong (Love's Like A River),../lyrics/steveperry/foreverrightorwrongloveslikeariver.html,Greatest Hits + Five Unreleased,1998,STEVE PERRY
Summer Of Luv,../lyrics/steveperry/summerofluv.html,Greatest Hits + Five Unreleased,1998,STEVE PERRY
Melody,../lyrics/steveperry/melody.html,Greatest Hits + Five Unreleased,1998,STEVE PERRY
"Once In A Lifetime, Girl",../lyrics/steveperry/onceinalifetimegirl.html,Greatest Hits + Five Unreleased,1998,STEVE PERRY
What Was,../lyrics/steveperry/whatwas.html,Greatest Hits + Five Unreleased,1998,STEVE PERRY
You Better Wait,../lyrics/steveperry/youbetterwait.html,Greatest Hits + Five Unreleased,1998,STEVE PERRY
Missing You,../lyrics/steveperry/missingyou.html,Greatest Hits + Five Unreleased,1998,STEVE PERRY
I Stand Alone,../lyrics/steveperry/istandalone.html,Greatest Hits + Five Unreleased,1998,STEVE PERRY
It Won't Be You,../lyrics/steveperry/itwontbeyou.html,Greatest Hits + Five Unreleased,1998,STEVE PERRY
"If You Need Me, Call Me",../lyrics/steveperry/ifyouneedmecallme.html,Greatest Hits + Five Unreleased,1998,STEVE PERRY
