song,link,album,year,artist
If U Be My Baby,../lyrics/steviebrock/ifubemybaby.html,Stevie Brock,2003,STEVIE BROCK
Shut Me Down,../lyrics/steviebrock/shutmedown.html,Stevie Brock,2003,STEVIE BROCK
Never Wanna Give You Up,../lyrics/steviebrock/neverwannagiveyouup.html,Stevie Brock,2003,STEVIE BROCK
I Found You,../lyrics/steviebrock/ifoundyou.html,Stevie Brock,2003,STEVIE BROCK
All For Love,../lyrics/steviebrock/allforlove.html,Stevie Brock,2003,STEVIE BROCK
You're The Inspiration,../lyrics/steviebrock/youretheinspiration.html,Stevie Brock,2003,STEVIE BROCK
Girl You Know It's True,../lyrics/steviebrock/girlyouknowitstrue.html,Stevie Brock,2003,STEVIE BROCK
Flying,../lyrics/steviebrock/flying.html,Stevie Brock,2003,STEVIE BROCK
Santa Claus Is Coming To Town,../lyrics/steviebrock/santaclausiscomingtotown.html,,,STEVIE BROCK
Three Is A Magic Number,../lyrics/steviebrock/threeisamagicnumber.html,,,STEVIE BROCK
Worst Case Scenario,../lyrics/steviebrock/worstcasescenario.html,,,STEVIE BROCK
Zip-A-Dee-Doo-Dah,../lyrics/steviebrock/zipadeedoodah.html,,,STEVIE BROCK
