song,link,album,year,artist
Walk Of Life,../lyrics/stickfigure/walkoflife.html,The Sound Of My Addiction,2006,STICK FIGURE
Bring Down,../lyrics/stickfigure/bringdown.html,The Sound Of My Addiction,2006,STICK FIGURE
I'll Tell My Friends,../lyrics/stickfigure/illtellmyfriends.html,The Sound Of My Addiction,2006,STICK FIGURE
Feelin' In The Mood,../lyrics/stickfigure/feelininthemood.html,The Sound Of My Addiction,2006,STICK FIGURE
Ring The Alarm,../lyrics/stickfigure/ringthealarm.html,The Sound Of My Addiction,2006,STICK FIGURE
In The World,../lyrics/stickfigure/intheworld.html,The Sound Of My Addiction,2006,STICK FIGURE
Let The Music Play,../lyrics/stickfigure/letthemusicplay.html,The Sound Of My Addiction,2006,STICK FIGURE
Pass Me The Sensi,../lyrics/stickfigure/passmethesensi.html,The Sound Of My Addiction,2006,STICK FIGURE
Long Lost Way,../lyrics/stickfigure/longlostway.html,The Sound Of My Addiction,2006,STICK FIGURE
Legalize It (Medly),../lyrics/stickfigure/legalizeitmedly.html,The Sound Of My Addiction,2006,STICK FIGURE
The Lazy River,../lyrics/stickfigure/thelazyriver.html,The Sound Of My Addiction,2006,STICK FIGURE
,,The Sound Of My Addiction,2006,STICK FIGURE
White Fire,../lyrics/stickfigure/whitefire.html,Burnin' Ocean,2008,STICK FIGURE
We Get High,../lyrics/stickfigure/wegethigh.html,Burnin' Ocean,2008,STICK FIGURE
Trouble Up There,../lyrics/stickfigure/troubleupthere.html,Burnin' Ocean,2008,STICK FIGURE
Dead End Street,../lyrics/stickfigure/deadendstreet.html,Burnin' Ocean,2008,STICK FIGURE
Running Wild,../lyrics/stickfigure/runningwild.html,Burnin' Ocean,2008,STICK FIGURE
The World Is Waiting,../lyrics/stickfigure/theworldiswaiting.html,Burnin' Ocean,2008,STICK FIGURE
Burnin' Ocean,../lyrics/stickfigure/burninocean.html,Burnin' Ocean,2008,STICK FIGURE
So Good,../lyrics/stickfigure/sogood.html,Burnin' Ocean,2008,STICK FIGURE
Come With Me,../lyrics/stickfigure/comewithme.html,Burnin' Ocean,2008,STICK FIGURE
Rise Above,../lyrics/stickfigure/riseabove.html,Burnin' Ocean,2008,STICK FIGURE
Wonderful World,../lyrics/stickfigure/wonderfulworld.html,Burnin' Ocean,2008,STICK FIGURE
Love Found,../lyrics/stickfigure/lovefound.html,Burnin' Ocean,2008,STICK FIGURE
Songs Of Yesterday,../lyrics/stickfigure/songsofyesterday.html,Burnin' Ocean,2008,STICK FIGURE
,,Burnin' Ocean,2008,STICK FIGURE
Vibes Alive,../lyrics/stickfigure/vibesalive.html,Smoke Stack,2009,STICK FIGURE
Hawaii Song,../lyrics/stickfigure/hawaiisong.html,Smoke Stack,2009,STICK FIGURE
Smoke Stack,../lyrics/stickfigure/smokestack.html,Smoke Stack,2009,STICK FIGURE
Livin' It,../lyrics/stickfigure/livinit.html,Smoke Stack,2009,STICK FIGURE
Thick & Thin,../lyrics/stickfigure/thickthin.html,Smoke Stack,2009,STICK FIGURE
Eazy Dub,../lyrics/stickfigure/eazydub.html,Smoke Stack,2009,STICK FIGURE
Alright With Me,../lyrics/stickfigure/alrightwithme.html,Smoke Stack,2009,STICK FIGURE
Break Of Day,../lyrics/stickfigure/breakofday.html,Smoke Stack,2009,STICK FIGURE
On 2Nite,../lyrics/stickfigure/on2nite.html,Smoke Stack,2009,STICK FIGURE
Fallen Down,../lyrics/stickfigure/fallendown.html,Smoke Stack,2009,STICK FIGURE
Longtime,../lyrics/stickfigure/longtime.html,Smoke Stack,2009,STICK FIGURE
Folsom Prison Dub,../lyrics/stickfigure/folsomprisondub.html,Smoke Stack,2009,STICK FIGURE
Fight The Feeling,../lyrics/stickfigure/fightthefeeling.html,Smoke Stack,2009,STICK FIGURE
Hawaii Song (Acoustic),../lyrics/stickfigure/hawaiisongacoustic.html,Smoke Stack,2009,STICK FIGURE
,,Smoke Stack,2009,STICK FIGURE
Your Way,../lyrics/stickfigure/yourway.html,The Reprise Sessions,2010,STICK FIGURE
White Fire,../lyrics/stickfigure/whitefire.html,The Reprise Sessions,2010,STICK FIGURE
We Get High,../lyrics/stickfigure/wegethigh.html,The Reprise Sessions,2010,STICK FIGURE
Long Lost Way,../lyrics/stickfigure/longlostway.html,The Reprise Sessions,2010,STICK FIGURE
Dead End Street,../lyrics/stickfigure/deadendstreet.html,The Reprise Sessions,2010,STICK FIGURE
Let The Music Play,../lyrics/stickfigure/letthemusicplay.html,The Reprise Sessions,2010,STICK FIGURE
Feelin' In The Mood,../lyrics/stickfigure/feelininthemood.html,The Reprise Sessions,2010,STICK FIGURE
,,The Reprise Sessions,2010,STICK FIGURE
Breathe,../lyrics/stickfigure/breathe.html,Burial Ground,2012,STICK FIGURE
Golden Hour,../lyrics/stickfigure/goldenhour.html,Burial Ground,2012,STICK FIGURE
Burial Ground,../lyrics/stickfigure/burialground.html,Burial Ground,2012,STICK FIGURE
Women Of The Night,../lyrics/stickfigure/womenofthenight.html,Burial Ground,2012,STICK FIGURE
Hard Drugs,../lyrics/stickfigure/harddrugs.html,Burial Ground,2012,STICK FIGURE
Weight Of Sound,../lyrics/stickfigure/weightofsound.html,Burial Ground,2012,STICK FIGURE
Shelter,../lyrics/stickfigure/shelter.html,Burial Ground,2012,STICK FIGURE
Rocky Road,../lyrics/stickfigure/rockyroad.html,Burial Ground,2012,STICK FIGURE
Heartland,../lyrics/stickfigure/heartland.html,Burial Ground,2012,STICK FIGURE
Barrels,../lyrics/stickfigure/barrels.html,Burial Ground,2012,STICK FIGURE
Same Old Story,../lyrics/stickfigure/sameoldstory.html,Burial Ground,2012,STICK FIGURE
Just Another Dream,../lyrics/stickfigure/justanotherdream.html,Burial Ground,2012,STICK FIGURE
Coming Home,../lyrics/stickfigure/cominghome.html,Burial Ground,2012,STICK FIGURE
,,Burial Ground,2012,STICK FIGURE
Fire On The Horizon,../lyrics/stickfigure/fireonthehorizon.html,Set In Stone,2015,STICK FIGURE
In This Love,../lyrics/stickfigure/inthislove.html,Set In Stone,2015,STICK FIGURE
Sound Of The Sea,../lyrics/stickfigure/soundofthesea.html,Set In Stone,2015,STICK FIGURE
Choice Is Yours,../lyrics/stickfigure/choiceisyours.html,Set In Stone,2015,STICK FIGURE
Mind Block,../lyrics/stickfigure/mindblock.html,Set In Stone,2015,STICK FIGURE
Sentenced,../lyrics/stickfigure/sentenced.html,Set In Stone,2015,STICK FIGURE
Out The Door,../lyrics/stickfigure/outthedoor.html,Set In Stone,2015,STICK FIGURE
Weary Eyes,../lyrics/stickfigure/wearyeyes.html,Set In Stone,2015,STICK FIGURE
Smokin' Love,../lyrics/stickfigure/smokinlove.html,Set In Stone,2015,STICK FIGURE
Shadow,../lyrics/stickfigure/shadow.html,Set In Stone,2015,STICK FIGURE
One Of Those Days,../lyrics/stickfigure/oneofthosedays.html,Set In Stone,2015,STICK FIGURE
All My Love,../lyrics/stickfigure/allmylove.html,Set In Stone,2015,STICK FIGURE
Sunshine And Rain,../lyrics/stickfigure/sunshineandrain.html,Set In Stone,2015,STICK FIGURE
Smiles On Faces,../lyrics/stickfigure/smilesonfaces.html,Set In Stone,2015,STICK FIGURE
