song,link,album,year,artist
Shatter Me,../lyrics/lindseystirling/shatterme.html,Shatter Me,2014,"STIRLING, LINDSEY"
We Are Giants,../lyrics/lindseystirling/wearegiants.html,Shatter Me,2014,"STIRLING, LINDSEY"
,,Shatter Me,2014,"STIRLING, LINDSEY"
Brave Enough,../lyrics/lindseystirling/braveenough.html,Brave Enough,2016,"STIRLING, LINDSEY"
Where Do We Go,../lyrics/lindseystirling/wheredowego.html,Brave Enough,2016,"STIRLING, LINDSEY"
Those Days,../lyrics/lindseystirling/thosedays.html,Brave Enough,2016,"STIRLING, LINDSEY"
Hold My Heart,../lyrics/lindseystirling/holdmyheart.html,Brave Enough,2016,"STIRLING, LINDSEY"
Don't Let This Feeling Fade,../lyrics/lindseystirling/dontletthisfeelingfade.html,Brave Enough,2016,"STIRLING, LINDSEY"
Love's Just A Feeling,../lyrics/lindseystirling/lovesjustafeeling.html,Brave Enough,2016,"STIRLING, LINDSEY"
Something Wild,../lyrics/lindseystirling/somethingwild.html,Brave Enough,2016,"STIRLING, LINDSEY"
Come With Us,../lyrics/lindseystirling/comewithus.html,,,"STIRLING, LINDSEY"
Firefly,../lyrics/lindseystirling/firefly.html,,,"STIRLING, LINDSEY"
Radioactive,../lyrics/lindseystirling/radioactive.html,,,"STIRLING, LINDSEY"
