song,link,album,year,artist
Get Inside,../lyrics/stonesour/getinside.html,Stone Sour,2003,STONE SOUR
Orchids,../lyrics/stonesour/orchids.html,Stone Sour,2003,STONE SOUR
Cold Reader,../lyrics/stonesour/coldreader.html,Stone Sour,2003,STONE SOUR
Blotter,../lyrics/stonesour/blotter.html,Stone Sour,2003,STONE SOUR
Choose,../lyrics/stonesour/choose.html,Stone Sour,2003,STONE SOUR
Monolith,../lyrics/stonesour/monolith.html,Stone Sour,2003,STONE SOUR
Inhale,../lyrics/stonesour/inhale.html,Stone Sour,2003,STONE SOUR
Bother,../lyrics/stonesour/bother.html,Stone Sour,2003,STONE SOUR
Blue Study,../lyrics/stonesour/bluestudy.html,Stone Sour,2003,STONE SOUR
Take A Number,../lyrics/stonesour/takeanumber.html,Stone Sour,2003,STONE SOUR
Idle Hands,../lyrics/stonesour/idlehands.html,Stone Sour,2003,STONE SOUR
Tumult,../lyrics/stonesour/tumult.html,Stone Sour,2003,STONE SOUR
Omega,../lyrics/stonesour/omega.html,Stone Sour,2003,STONE SOUR
Rules Of Evidence,../lyrics/stonesour/rulesofevidence.html,Stone Sour,2003,STONE SOUR
The Wicked,../lyrics/stonesour/thewicked.html,Stone Sour,2003,STONE SOUR
Inside The Cynic,../lyrics/stonesour/insidethecynic.html,Stone Sour,2003,STONE SOUR
Kill Everybody,../lyrics/stonesour/killeverybody.html,Stone Sour,2003,STONE SOUR
Road Hogs,../lyrics/stonesour/roadhogs.html,Stone Sour,2003,STONE SOUR
,,Stone Sour,2003,STONE SOUR
30/30-150,../lyrics/stonesour/3030150.html,Come What(ever) May,2006,STONE SOUR
Come What(ever) May,../lyrics/stonesour/comewhatevermay.html,Come What(ever) May,2006,STONE SOUR
Hell & Consequences,../lyrics/stonesour/hellconsequences.html,Come What(ever) May,2006,STONE SOUR
Sillyworld,../lyrics/stonesour/sillyworld.html,Come What(ever) May,2006,STONE SOUR
Made Of Scars,../lyrics/stonesour/madeofscars.html,Come What(ever) May,2006,STONE SOUR
Reborn,../lyrics/stonesour/reborn.html,Come What(ever) May,2006,STONE SOUR
Your God,../lyrics/stonesour/yourgod.html,Come What(ever) May,2006,STONE SOUR
Through Glass,../lyrics/stonesour/throughglass.html,Come What(ever) May,2006,STONE SOUR
Socio,../lyrics/stonesour/socio.html,Come What(ever) May,2006,STONE SOUR
1st Person,../lyrics/stonesour/1stperson.html,Come What(ever) May,2006,STONE SOUR
Cardiff,../lyrics/stonesour/cardiff.html,Come What(ever) May,2006,STONE SOUR
Zzyzx Rd.,../lyrics/stonesour/zzyzxrd.html,Come What(ever) May,2006,STONE SOUR
Suffer,../lyrics/stonesour/suffer.html,Come What(ever) May,2006,STONE SOUR
Fruitcake,../lyrics/stonesour/fruitcake.html,Come What(ever) May,2006,STONE SOUR
The Day I Let Go,../lyrics/stonesour/thedayiletgo.html,Come What(ever) May,2006,STONE SOUR
