song,link,album,year,artist
Memories Of Tomorrow,../lyrics/suicidaltendencies/memoriesoftomorrow.html,Suicidal Tendencies,1983,SUICIDAL TENDENCIES
Possessed,../lyrics/suicidaltendencies/possessed.html,Suicidal Tendencies,1983,SUICIDAL TENDENCIES
I Saw Your Mommy,../lyrics/suicidaltendencies/isawyourmommy.html,Suicidal Tendencies,1983,SUICIDAL TENDENCIES
Fascist Pig,../lyrics/suicidaltendencies/fascistpig.html,Suicidal Tendencies,1983,SUICIDAL TENDENCIES
I Want More,../lyrics/suicidaltendencies/iwantmore.html,Suicidal Tendencies,1983,SUICIDAL TENDENCIES
Suicidal Failure,../lyrics/suicidaltendencies/suicidalfailure.html,Suicidal Tendencies,1983,SUICIDAL TENDENCIES
Suicide's An Alternative,../lyrics/suicidaltendencies/suicidesanalternative.html,Suicidal Tendencies,1983,SUICIDAL TENDENCIES
Two-Sided Politics,../lyrics/suicidaltendencies/twosidedpolitics.html,Suicidal Tendencies,1983,SUICIDAL TENDENCIES
I Shot Reagan,../lyrics/suicidaltendencies/ishotreagan.html,Suicidal Tendencies,1983,SUICIDAL TENDENCIES
Subliminal,../lyrics/suicidaltendencies/subliminal.html,Suicidal Tendencies,1983,SUICIDAL TENDENCIES
Won't Fall In Love Today,../lyrics/suicidaltendencies/wontfallinlovetoday.html,Suicidal Tendencies,1983,SUICIDAL TENDENCIES
Institutionalized,../lyrics/suicidaltendencies/institutionalized.html,Suicidal Tendencies,1983,SUICIDAL TENDENCIES
,,Suicidal Tendencies,1983,SUICIDAL TENDENCIES
Suicidal Maniac,../lyrics/suicidaltendencies/suicidalmaniac.html,Join The Army,1987,SUICIDAL TENDENCIES
Join The Army,../lyrics/suicidaltendencies/jointhearmy.html,Join The Army,1987,SUICIDAL TENDENCIES
"You Got, I Want",../lyrics/suicidaltendencies/yougotiwant.html,Join The Army,1987,SUICIDAL TENDENCIES
A Little Each Day,../lyrics/suicidaltendencies/alittleeachday.html,Join The Army,1987,SUICIDAL TENDENCIES
The Prisoner,../lyrics/suicidaltendencies/theprisoner.html,Join The Army,1987,SUICIDAL TENDENCIES
War Inside My Head,../lyrics/suicidaltendencies/warinsidemyhead.html,Join The Army,1987,SUICIDAL TENDENCIES
I Feel Your Pain And I Survive,../lyrics/suicidaltendencies/ifeelyourpainandisurvive.html,Join The Army,1987,SUICIDAL TENDENCIES
Possessed To Skate,../lyrics/suicidaltendencies/possessedtoskate.html,Join The Army,1987,SUICIDAL TENDENCIES
"No Name, No Words",../lyrics/suicidaltendencies/nonamenowords.html,Join The Army,1987,SUICIDAL TENDENCIES
