song,link,album,year,artist
SuperHeavy,../lyrics/superheavy/superheavy.html,SuperHeavy,2011,SUPERHEAVY
Unbelievable,../lyrics/superheavy/unbelievable.html,SuperHeavy,2011,SUPERHEAVY
Miracle Worker,../lyrics/superheavy/miracleworker.html,SuperHeavy,2011,SUPERHEAVY
Energy,../lyrics/superheavy/energy.html,SuperHeavy,2011,SUPERHEAVY
Satyameva Jayathe,../lyrics/superheavy/satyamevajayathe.html,SuperHeavy,2011,SUPERHEAVY
One Day One Night,../lyrics/superheavy/onedayonenight.html,SuperHeavy,2011,SUPERHEAVY
Never Gonna Change,../lyrics/superheavy/nevergonnachange.html,SuperHeavy,2011,SUPERHEAVY
Beautiful People,../lyrics/superheavy/beautifulpeople.html,SuperHeavy,2011,SUPERHEAVY
Rock Me Gently,../lyrics/superheavy/rockmegently.html,SuperHeavy,2011,SUPERHEAVY
I Can't Take It No More,../lyrics/superheavy/icanttakeitnomore.html,SuperHeavy,2011,SUPERHEAVY
I Don't Mind,../lyrics/superheavy/idontmind.html,SuperHeavy,2011,SUPERHEAVY
World Keeps Turning,../lyrics/superheavy/worldkeepsturning.html,SuperHeavy,2011,SUPERHEAVY
Common Ground,../lyrics/superheavy/commonground.html,SuperHeavy,2011,SUPERHEAVY
