song,link,album,year,artist
Hey Y'all,../lyrics/coleswindell/heyyall.html,Cole Swindell,2014,"SWINDELL, COLE"
Chillin' It,../lyrics/coleswindell/chillinit.html,Cole Swindell,2014,"SWINDELL, COLE"
Swayin',../lyrics/coleswindell/swayin.html,Cole Swindell,2014,"SWINDELL, COLE"
Hope You Get Lonely Tonight,../lyrics/coleswindell/hopeyougetlonelytonight.html,Cole Swindell,2014,"SWINDELL, COLE"
Let Me See Ya Girl,../lyrics/coleswindell/letmeseeyagirl.html,Cole Swindell,2014,"SWINDELL, COLE"
Ain't Worth The Whiskey,../lyrics/coleswindell/aintworththewhiskey.html,Cole Swindell,2014,"SWINDELL, COLE"
Brought To You By Beer,../lyrics/coleswindell/broughttoyoubybeer.html,Cole Swindell,2014,"SWINDELL, COLE"
I Just Want You,../lyrics/coleswindell/ijustwantyou.html,Cole Swindell,2014,"SWINDELL, COLE"
Get Up,../lyrics/coleswindell/getup.html,Cole Swindell,2014,"SWINDELL, COLE"
A Dozen Roses And A Six-Pack,../lyrics/coleswindell/adozenrosesandasixpack.html,Cole Swindell,2014,"SWINDELL, COLE"
Down Home Boys,../lyrics/coleswindell/downhomeboys.html,Cole Swindell,2014,"SWINDELL, COLE"
The Back Roads And The Back Row,../lyrics/coleswindell/thebackroadsandthebackrow.html,Cole Swindell,2014,"SWINDELL, COLE"
,,Cole Swindell,2014,"SWINDELL, COLE"
Ready,../lyrics/coleswindell/ready.html,Down Home Sessions,2014,"SWINDELL, COLE"
The Way You're Lovin' Me Now,../lyrics/coleswindell/thewayyourelovinmenow.html,Down Home Sessions,2014,"SWINDELL, COLE"
Kiss,../lyrics/coleswindell/kiss.html,Down Home Sessions,2014,"SWINDELL, COLE"
Workin' On Me,../lyrics/coleswindell/workinonme.html,Down Home Sessions,2014,"SWINDELL, COLE"
Boomerang,../lyrics/coleswindell/boomerang.html,Down Home Sessions,2014,"SWINDELL, COLE"
,,Down Home Sessions,2014,"SWINDELL, COLE"
Dangerous After Dark,../lyrics/coleswindell/dangerousafterdark.html,Down Home Sessions II,2015,"SWINDELL, COLE"
My First Radio,../lyrics/coleswindell/myfirstradio.html,Down Home Sessions II,2015,"SWINDELL, COLE"
Should've Ran After You,../lyrics/coleswindell/shouldveranafteryou.html,Down Home Sessions II,2015,"SWINDELL, COLE"
Shuttin' It Down,../lyrics/coleswindell/shuttinitdown.html,Down Home Sessions II,2015,"SWINDELL, COLE"
Blue Lights,../lyrics/coleswindell/bluelights.html,Down Home Sessions II,2015,"SWINDELL, COLE"
,,Down Home Sessions II,2015,"SWINDELL, COLE"
Flatliner,../lyrics/coleswindell/flatliner.html,You Should Be Here,2016,"SWINDELL, COLE"
Middle Of A Memory,../lyrics/coleswindell/middleofamemory.html,You Should Be Here,2016,"SWINDELL, COLE"
Broke Down,../lyrics/coleswindell/brokedown.html,You Should Be Here,2016,"SWINDELL, COLE"
Home Game,../lyrics/coleswindell/homegame.html,You Should Be Here,2016,"SWINDELL, COLE"
Up,../lyrics/coleswindell/up.html,You Should Be Here,2016,"SWINDELL, COLE"
Party Wasn't Over,../lyrics/coleswindell/partywasntover.html,You Should Be Here,2016,"SWINDELL, COLE"
Stay Downtown,../lyrics/coleswindell/staydowntown.html,You Should Be Here,2016,"SWINDELL, COLE"
You Should Be Here,../lyrics/coleswindell/youshouldbehere.html,You Should Be Here,2016,"SWINDELL, COLE"
Stars,../lyrics/coleswindell/stars.html,You Should Be Here,2016,"SWINDELL, COLE"
Making My Way To You,../lyrics/coleswindell/makingmywaytoyou.html,You Should Be Here,2016,"SWINDELL, COLE"
No Can Left Behind,../lyrics/coleswindell/nocanleftbehind.html,You Should Be Here,2016,"SWINDELL, COLE"
Remember Boys,../lyrics/coleswindell/rememberboys.html,You Should Be Here,2016,"SWINDELL, COLE"
Hoppin',../lyrics/coleswindell/hoppin.html,You Should Be Here,2016,"SWINDELL, COLE"
Gettin' Forgotten,../lyrics/coleswindell/gettinforgotten.html,You Should Be Here,2016,"SWINDELL, COLE"
Chevrolet DJ,../lyrics/coleswindell/chevroletdj.html,,,"SWINDELL, COLE"
Kissed You While I Could,../lyrics/coleswindell/kissedyouwhileicould.html,,,"SWINDELL, COLE"
Night With Your Name On It,../lyrics/coleswindell/nightwithyournameonit.html,,,"SWINDELL, COLE"
She's Ready,../lyrics/coleswindell/shesready.html,,,"SWINDELL, COLE"
Show Me Yours,../lyrics/coleswindell/showmeyours.html,,,"SWINDELL, COLE"
