song,link,album,year,artist
What I'm Thinking About,../lyrics/swonbrothers/whatimthinkingabout.html,The Swon Brothers,2014,"SWON BROTHERS, THE"
Later On,../lyrics/swonbrothers/lateron.html,The Swon Brothers,2014,"SWON BROTHERS, THE"
Chasing You Around,../lyrics/swonbrothers/chasingyouaround.html,The Swon Brothers,2014,"SWON BROTHERS, THE"
Songs That Said It All,../lyrics/swonbrothers/songsthatsaiditall.html,The Swon Brothers,2014,"SWON BROTHERS, THE"
Pray For You,../lyrics/swonbrothers/prayforyou.html,The Swon Brothers,2014,"SWON BROTHERS, THE"
Breaking,../lyrics/swonbrothers/breaking.html,The Swon Brothers,2014,"SWON BROTHERS, THE"
95,../lyrics/swonbrothers/95.html,The Swon Brothers,2014,"SWON BROTHERS, THE"
Pretty Beautiful,../lyrics/swonbrothers/prettybeautiful.html,The Swon Brothers,2014,"SWON BROTHERS, THE"
Colder,../lyrics/swonbrothers/colder.html,The Swon Brothers,2014,"SWON BROTHERS, THE"
Same Old Highway,../lyrics/swonbrothers/sameoldhighway.html,The Swon Brothers,2014,"SWON BROTHERS, THE"
This Side Of Heaven,../lyrics/swonbrothers/thissideofheaven.html,The Swon Brothers,2014,"SWON BROTHERS, THE"
,,The Swon Brothers,2014,"SWON BROTHERS, THE"
Just Another Girl,../lyrics/swonbrothers/justanothergirl.html,Timeless,2016,"SWON BROTHERS, THE"
Nobody,../lyrics/swonbrothers/nobody.html,Timeless,2016,"SWON BROTHERS, THE"
Throwback,../lyrics/swonbrothers/throwback.html,Timeless,2016,"SWON BROTHERS, THE"
Timeless,../lyrics/swonbrothers/timeless.html,Timeless,2016,"SWON BROTHERS, THE"
Killing Me,../lyrics/swonbrothers/killingme.html,Timeless,2016,"SWON BROTHERS, THE"
You Got Somebody,../lyrics/swonbrothers/yougotsomebody.html,Timeless,2016,"SWON BROTHERS, THE"
