song,link,album,year,artist
Not Gonna Get Us,../lyrics/tatu/notgonnagetus.html,200 Km/H In The Wrong Lane,2002,T.A.T.U.
All The Things She Said,../lyrics/tatu/allthethingsshesaid.html,200 Km/H In The Wrong Lane,2002,T.A.T.U.
Show Me love,../lyrics/tatu/showmelove.html,200 Km/H In The Wrong Lane,2002,T.A.T.U.
30 Minutes,../lyrics/tatu/30minutes.html,200 Km/H In The Wrong Lane,2002,T.A.T.U.
How Soon Is Now?,../lyrics/tatu/howsoonisnow.html,200 Km/H In The Wrong Lane,2002,T.A.T.U.
Clowns,../lyrics/tatu/clowns.html,200 Km/H In The Wrong Lane,2002,T.A.T.U.
Malchik Gay,../lyrics/tatu/malchikgay.html,200 Km/H In The Wrong Lane,2002,T.A.T.U.
Stars,../lyrics/tatu/stars.html,200 Km/H In The Wrong Lane,2002,T.A.T.U.
Ya Soshla S Uma,../lyrics/tatu/yasoshlasuma.html,200 Km/H In The Wrong Lane,2002,T.A.T.U.
Nas Ne Dogonyat,../lyrics/tatu/nasnedogonyat.html,200 Km/H In The Wrong Lane,2002,T.A.T.U.
A Simple Motion,../lyrics/tatu/asimplemotion.html,200 Km/H In The Wrong Lane,2002,T.A.T.U.
,,200 Km/H In The Wrong Lane,2002,T.A.T.U.
Klouny (Clowns),../lyrics/tatu/klounyclowns.html,200 Po Vstriechnoj,2003,T.A.T.U.
30 Minut (30 Minutes),../lyrics/tatu/30minut30minutes.html,200 Po Vstriechnoj,2003,T.A.T.U.
Doschitai Do Sta (Count Up To 100),../lyrics/tatu/doschitaidostacountupto100.html,200 Po Vstriechnoj,2003,T.A.T.U.
Zachem Ya (Why Am I),../lyrics/tatu/zachemyawhyami.html,200 Po Vstriechnoj,2003,T.A.T.U.
Nas Ne Dogoniat (They're Not Gonna Get Us),../lyrics/tatu/nasnedogoniattheyrenotgonnagetus.html,200 Po Vstriechnoj,2003,T.A.T.U.
Ya Tvoya Ne Pervaja (I Am Not Your First),../lyrics/tatu/yatvoyanepervajaiamnotyourfirst.html,200 Po Vstriechnoj,2003,T.A.T.U.
Robot,../lyrics/tatu/robot.html,200 Po Vstriechnoj,2003,T.A.T.U.
Malchik Gay (Gay Boy),../lyrics/tatu/malchikgaygayboy.html,200 Po Vstriechnoj,2003,T.A.T.U.
Ya Tvoi Vrag (I Am Your Enemy),../lyrics/tatu/yatvoivragiamyourenemy.html,200 Po Vstriechnoj,2003,T.A.T.U.
Ya Soshla S Uma (I've Lost My Mind),../lyrics/tatu/yasoshlasumaivelostmymind.html,200 Po Vstriechnoj,2003,T.A.T.U.
,,200 Po Vstriechnoj,2003,T.A.T.U.
All About Us,../lyrics/tatu/allaboutus.html,Dangerous And Moving,2005,T.A.T.U.
Cosmos (Outer Space),../lyrics/tatu/cosmosouterspace.html,Dangerous And Moving,2005,T.A.T.U.
Loves Me Not,../lyrics/tatu/lovesmenot.html,Dangerous And Moving,2005,T.A.T.U.
Friend Or Foe,../lyrics/tatu/friendorfoe.html,Dangerous And Moving,2005,T.A.T.U.
Gomennasai,../lyrics/tatu/gomennasai.html,Dangerous And Moving,2005,T.A.T.U.
Craving (I Only Want What I Can't Have),../lyrics/tatu/cravingionlywantwhaticanthave.html,Dangerous And Moving,2005,T.A.T.U.
Sacrifice,../lyrics/tatu/sacrifice.html,Dangerous And Moving,2005,T.A.T.U.
We Shout,../lyrics/tatu/weshout.html,Dangerous And Moving,2005,T.A.T.U.
Perfect Enemy,../lyrics/tatu/perfectenemy.html,Dangerous And Moving,2005,T.A.T.U.
Obezyanka Nol,../lyrics/tatu/obezyankanol.html,Dangerous And Moving,2005,T.A.T.U.
Dangerous And Moving,../lyrics/tatu/dangerousandmoving.html,Dangerous And Moving,2005,T.A.T.U.
,,Dangerous And Moving,2005,T.A.T.U.
Novaya Model',../lyrics/tatu/novayamodel.html,Lyudi Invalidy,2005,T.A.T.U.
Obezyanka Nol,../lyrics/tatu/obezyankanol.html,Lyudi Invalidy,2005,T.A.T.U.
Loves Me Not,../lyrics/tatu/lovesmenot.html,Lyudi Invalidy,2005,T.A.T.U.
Kosmos,../lyrics/tatu/kosmos.html,Lyudi Invalidy,2005,T.A.T.U.
Ty Soglasna?,../lyrics/tatu/tysoglasna.html,Lyudi Invalidy,2005,T.A.T.U.
Nich'ya,../lyrics/tatu/nichya.html,Lyudi Invalidy,2005,T.A.T.U.
Vsya Moya Lyubov',../lyrics/tatu/vsyamoyalyubov.html,Lyudi Invalidy,2005,T.A.T.U.
All About Us,../lyrics/tatu/allaboutus.html,Lyudi Invalidy,2005,T.A.T.U.
Chto Ne Hvatayet,../lyrics/tatu/chtonehvatayet.html,Lyudi Invalidy,2005,T.A.T.U.
Lyudi Invalidy,../lyrics/tatu/lyudiinvalidy.html,Lyudi Invalidy,2005,T.A.T.U.
,,Lyudi Invalidy,2005,T.A.T.U.
