song,link,album,year,artist
Rush,../lyrics/talibkweli/rush.html,Quality,2002,TALIB KWELI
Get By,../lyrics/talibkweli/getby.html,Quality,2002,TALIB KWELI
Shock Body,../lyrics/talibkweli/shockbody.html,Quality,2002,TALIB KWELI
Gun Music,../lyrics/talibkweli/gunmusic.html,Quality,2002,TALIB KWELI
Waitin' For The DJ,../lyrics/talibkweli/waitinforthedj.html,Quality,2002,TALIB KWELI
Joy,../lyrics/talibkweli/joy.html,Quality,2002,TALIB KWELI
Talk To You (Lil' Darlin'),../lyrics/talibkweli/talktoyoulildarlin.html,Quality,2002,TALIB KWELI
Guerilla Monsoon Rap,../lyrics/talibkweli/guerillamonsoonrap.html,Quality,2002,TALIB KWELI
Put It In The Air,../lyrics/talibkweli/putitintheair.html,Quality,2002,TALIB KWELI
The Proud,../lyrics/talibkweli/theproud.html,Quality,2002,TALIB KWELI
Where Do We Go,../lyrics/talibkweli/wheredowego.html,Quality,2002,TALIB KWELI
Stand To The Side,../lyrics/talibkweli/standtotheside.html,Quality,2002,TALIB KWELI
Good To You,../lyrics/talibkweli/goodtoyou.html,Quality,2002,TALIB KWELI
Won't You Stay,../lyrics/talibkweli/wontyoustay.html,Quality,2002,TALIB KWELI
,,Quality,2002,TALIB KWELI
Going Hard,../lyrics/talibkweli/goinghard.html,Beautiful Struggle,2004,TALIB KWELI
Back Up Offa Me,../lyrics/talibkweli/backupoffame.html,Beautiful Struggle,2004,TALIB KWELI
Broken Glass,../lyrics/talibkweli/brokenglass.html,Beautiful Struggle,2004,TALIB KWELI
We Know,../lyrics/talibkweli/weknow.html,Beautiful Struggle,2004,TALIB KWELI
A Game,../lyrics/talibkweli/agame.html,Beautiful Struggle,2004,TALIB KWELI
I Try,../lyrics/talibkweli/itry.html,Beautiful Struggle,2004,TALIB KWELI
Around My Way,../lyrics/talibkweli/aroundmyway.html,Beautiful Struggle,2004,TALIB KWELI
We Got The Beat,../lyrics/talibkweli/wegotthebeat.html,Beautiful Struggle,2004,TALIB KWELI
Work It Out,../lyrics/talibkweli/workitout.html,Beautiful Struggle,2004,TALIB KWELI
Ghetto Snow,../lyrics/talibkweli/ghettosnow.html,Beautiful Struggle,2004,TALIB KWELI
Black Girl Pain,../lyrics/talibkweli/blackgirlpain.html,Beautiful Struggle,2004,TALIB KWELI
Never Been In Love,../lyrics/talibkweli/neverbeeninlove.html,Beautiful Struggle,2004,TALIB KWELI
Beautiful Struggle,../lyrics/talibkweli/beautifulstruggle.html,Beautiful Struggle,2004,TALIB KWELI
,,Beautiful Struggle,2004,TALIB KWELI
Right About Now,../lyrics/talibkweli/rightaboutnow.html,Right About Now: The Official Sucka Free Mix CD,2005,TALIB KWELI
"Drugs, Basketball & Rap",../lyrics/talibkweli/drugsbasketballrap.html,Right About Now: The Official Sucka Free Mix CD,2005,TALIB KWELI
Who Got It,../lyrics/talibkweli/whogotit.html,Right About Now: The Official Sucka Free Mix CD,2005,TALIB KWELI
Fly That Knot,../lyrics/talibkweli/flythatknot.html,Right About Now: The Official Sucka Free Mix CD,2005,TALIB KWELI
Ms. Hill,../lyrics/talibkweli/mshill.html,Right About Now: The Official Sucka Free Mix CD,2005,TALIB KWELI
Flash Gordon,../lyrics/talibkweli/flashgordon.html,Right About Now: The Official Sucka Free Mix CD,2005,TALIB KWELI
Supreme Supreme,../lyrics/talibkweli/supremesupreme.html,Right About Now: The Official Sucka Free Mix CD,2005,TALIB KWELI
The Beast,../lyrics/talibkweli/thebeast.html,Right About Now: The Official Sucka Free Mix CD,2005,TALIB KWELI
Roll Off Me,../lyrics/talibkweli/rolloffme.html,Right About Now: The Official Sucka Free Mix CD,2005,TALIB KWELI
Rock On,../lyrics/talibkweli/rockon.html,Right About Now: The Official Sucka Free Mix CD,2005,TALIB KWELI
Where Ya Gonna Run,../lyrics/talibkweli/whereyagonnarun.html,Right About Now: The Official Sucka Free Mix CD,2005,TALIB KWELI
Two & Two,../lyrics/talibkweli/twotwo.html,Right About Now: The Official Sucka Free Mix CD,2005,TALIB KWELI
So Good,../lyrics/talibkweli/sogood.html,Right About Now: The Official Sucka Free Mix CD,2005,TALIB KWELI
7:30,../lyrics/talibkweli/730.html,Right About Now: The Official Sucka Free Mix CD,2005,TALIB KWELI
,,Right About Now: The Official Sucka Free Mix CD,2005,TALIB KWELI
Everything Man,../lyrics/talibkweli/everythingman.html,Eardrum,2007,TALIB KWELI
NY Weather Report,../lyrics/talibkweli/nyweatherreport.html,Eardrum,2007,TALIB KWELI
"Hostile Gospel, Pt. 1 (Deliver Us)",../lyrics/talibkweli/hostilegospelpt1deliverus.html,Eardrum,2007,TALIB KWELI
Say Something,../lyrics/talibkweli/saysomething.html,Eardrum,2007,TALIB KWELI
Country Cousins,../lyrics/talibkweli/countrycousins.html,Eardrum,2007,TALIB KWELI
Holy Moly,../lyrics/talibkweli/holymoly.html,Eardrum,2007,TALIB KWELI
Eat To Live,../lyrics/talibkweli/eattolive.html,Eardrum,2007,TALIB KWELI
In The Mood,../lyrics/talibkweli/inthemood.html,Eardrum,2007,TALIB KWELI
Soon The New Day,../lyrics/talibkweli/soonthenewday.html,Eardrum,2007,TALIB KWELI
Give 'Em Hell,../lyrics/talibkweli/giveemhell.html,Eardrum,2007,TALIB KWELI
More Or Less,../lyrics/talibkweli/moreorless.html,Eardrum,2007,TALIB KWELI
Stay Around,../lyrics/talibkweli/stayaround.html,Eardrum,2007,TALIB KWELI
Hot Thing,../lyrics/talibkweli/hotthing.html,Eardrum,2007,TALIB KWELI
Space Fruit (Interlude),../lyrics/talibkweli/spacefruitinterlude.html,Eardrum,2007,TALIB KWELI
The Perfect Beat,../lyrics/talibkweli/theperfectbeat.html,Eardrum,2007,TALIB KWELI
Oh My Stars,../lyrics/talibkweli/ohmystars.html,Eardrum,2007,TALIB KWELI
Listen!!!,../lyrics/talibkweli/listen.html,Eardrum,2007,TALIB KWELI
Go With Us,../lyrics/talibkweli/gowithus.html,Eardrum,2007,TALIB KWELI
The Nature,../lyrics/talibkweli/thenature.html,Eardrum,2007,TALIB KWELI
,,Eardrum,2007,TALIB KWELI
The Show,../lyrics/talibkweli/theshow.html,,,TALIB KWELI
Funny Money,../lyrics/talibkweli/funnymoney.html,,,TALIB KWELI
Time Is Right,../lyrics/talibkweli/timeisright.html,,,TALIB KWELI
Engine Running,../lyrics/talibkweli/enginerunning.html,,,TALIB KWELI
Over The Counter,../lyrics/talibkweli/overthecounter.html,,,TALIB KWELI
The Function,../lyrics/talibkweli/thefunction.html,,,TALIB KWELI
Happy Home,../lyrics/talibkweli/happyhome.html,,,TALIB KWELI
Soul Music,../lyrics/talibkweli/soulmusic.html,,,TALIB KWELI
What Can I Do,../lyrics/talibkweli/whatcanido.html,,,TALIB KWELI
,,,,TALIB KWELI
After The Rain,../lyrics/talibkweli/aftertherain.html,Gutter Rainbows,2011,TALIB KWELI
Gutter Rainbows,../lyrics/talibkweli/gutterrainbows.html,Gutter Rainbows,2011,TALIB KWELI
So Low,../lyrics/talibkweli/solow.html,Gutter Rainbows,2011,TALIB KWELI
Palookas,../lyrics/talibkweli/palookas.html,Gutter Rainbows,2011,TALIB KWELI
Mr. International,../lyrics/talibkweli/mrinternational.html,Gutter Rainbows,2011,TALIB KWELI
I'm On One,../lyrics/talibkweli/imonone.html,Gutter Rainbows,2011,TALIB KWELI
Wait For You,../lyrics/talibkweli/waitforyou.html,Gutter Rainbows,2011,TALIB KWELI
Ain't Waiting,../lyrics/talibkweli/aintwaiting.html,Gutter Rainbows,2011,TALIB KWELI
Cold Rain,../lyrics/talibkweli/coldrain.html,Gutter Rainbows,2011,TALIB KWELI
Friends & Family,../lyrics/talibkweli/friendsfamily.html,Gutter Rainbows,2011,TALIB KWELI
Tater Tot,../lyrics/talibkweli/tatertot.html,Gutter Rainbows,2011,TALIB KWELI
How You Love Me,../lyrics/talibkweli/howyouloveme.html,Gutter Rainbows,2011,TALIB KWELI
Uh Oh,../lyrics/talibkweli/uhoh.html,Gutter Rainbows,2011,TALIB KWELI
Self Savior,../lyrics/talibkweli/selfsavior.html,Gutter Rainbows,2011,TALIB KWELI
,,Gutter Rainbows,2011,TALIB KWELI
Attack The Block!!!,../lyrics/talibkweli/attacktheblock.html,Attack The Block,2012,TALIB KWELI
Letter From The Government,../lyrics/talibkweli/letterfromthegovernment.html,Attack The Block,2012,TALIB KWELI
Numerology,../lyrics/talibkweli/numerology.html,Attack The Block,2012,TALIB KWELI
Congregation,../lyrics/talibkweli/congregation.html,Attack The Block,2012,TALIB KWELI
Outstanding,../lyrics/talibkweli/outstanding.html,Attack The Block,2012,TALIB KWELI
NY Shining,../lyrics/talibkweli/nyshining.html,Attack The Block,2012,TALIB KWELI
Make It Classy,../lyrics/talibkweli/makeitclassy.html,Attack The Block,2012,TALIB KWELI
So Fresh,../lyrics/talibkweli/sofresh.html,Attack The Block,2012,TALIB KWELI
To The Music,../lyrics/talibkweli/tothemusic.html,Attack The Block,2012,TALIB KWELI
Fly Away,../lyrics/talibkweli/flyaway.html,Attack The Block,2012,TALIB KWELI
,,Attack The Block,2012,TALIB KWELI
Intro,../lyrics/talibkweli/intro.html,Prisoner Of Conscious,2013,TALIB KWELI
Human Mic,../lyrics/talibkweli/humanmic.html,Prisoner Of Conscious,2013,TALIB KWELI
Turnt Up,../lyrics/talibkweli/turntup.html,Prisoner Of Conscious,2013,TALIB KWELI
Come Here,../lyrics/talibkweli/comehere.html,Prisoner Of Conscious,2013,TALIB KWELI
High Life,../lyrics/talibkweli/highlife.html,Prisoner Of Conscious,2013,TALIB KWELI
Ready Set Go,../lyrics/talibkweli/readysetgo.html,Prisoner Of Conscious,2013,TALIB KWELI
Hold It Now,../lyrics/talibkweli/holditnow.html,Prisoner Of Conscious,2013,TALIB KWELI
Push Thru,../lyrics/talibkweli/pushthru.html,Prisoner Of Conscious,2013,TALIB KWELI
Hamster Wheel,../lyrics/talibkweli/hamsterwheel.html,Prisoner Of Conscious,2013,TALIB KWELI
Delicate Flowers,../lyrics/talibkweli/delicateflowers.html,Prisoner Of Conscious,2013,TALIB KWELI
Rocket Ships,../lyrics/talibkweli/rocketships.html,Prisoner Of Conscious,2013,TALIB KWELI
Before He Walked,../lyrics/talibkweli/beforehewalked.html,Prisoner Of Conscious,2013,TALIB KWELI
Upper Echelon,../lyrics/talibkweli/upperechelon.html,Prisoner Of Conscious,2013,TALIB KWELI
Favela Love,../lyrics/talibkweli/favelalove.html,Prisoner Of Conscious,2013,TALIB KWELI
It Only Gets Better,../lyrics/talibkweli/itonlygetsbetter.html,Prisoner Of Conscious,2013,TALIB KWELI
,,Prisoner Of Conscious,2013,TALIB KWELI
Inner Monologue,../lyrics/talibkweli/innermonologue.html,Gravitas,2014,TALIB KWELI
Demonology,../lyrics/talibkweli/demonology.html,Gravitas,2014,TALIB KWELI
State Of Grace,../lyrics/talibkweli/stateofgrace.html,Gravitas,2014,TALIB KWELI
Violations,../lyrics/talibkweli/violations.html,Gravitas,2014,TALIB KWELI
