song,link,album,year,artist
In For Life,../lyrics/terrorsquad/inforlife.html,The Album,1999,TERROR SQUAD
Pass The Glock,../lyrics/terrorsquad/passtheglock.html,The Album,1999,TERROR SQUAD
'99 Live,../lyrics/terrorsquad/99live.html,The Album,1999,TERROR SQUAD
Whatcha Gonna Do?,../lyrics/terrorsquad/whatchagonnado.html,The Album,1999,TERROR SQUAD
Triple Threat,../lyrics/terrorsquad/triplethreat.html,The Album,1999,TERROR SQUAD
War,../lyrics/terrorsquad/war.html,The Album,1999,TERROR SQUAD
Bring It On,../lyrics/terrorsquad/bringiton.html,The Album,1999,TERROR SQUAD
As The World Turns,../lyrics/terrorsquad/astheworldturns.html,The Album,1999,TERROR SQUAD
Gimme Dat,../lyrics/terrorsquad/gimmedat.html,The Album,1999,TERROR SQUAD
Feelin' This,../lyrics/terrorsquad/feelinthis.html,The Album,1999,TERROR SQUAD
All Around The World,../lyrics/terrorsquad/allaroundtheworld.html,The Album,1999,TERROR SQUAD
Tell Me What U Want,../lyrics/terrorsquad/tellmewhatuwant.html,The Album,1999,TERROR SQUAD
Rudeboy Salute,../lyrics/terrorsquad/rudeboysalute.html,The Album,1999,TERROR SQUAD
My Kinds Girls,../lyrics/terrorsquad/mykindsgirls.html,The Album,1999,TERROR SQUAD
Payin' Dues,../lyrics/terrorsquad/payindues.html,The Album,1999,TERROR SQUAD
www.thatsmysh-t.com,../lyrics/terrorsquad/wwwthatsmyshtcom.html,The Album,1999,TERROR SQUAD
,,The Album,1999,TERROR SQUAD
Nothing's Gonna Stop Me,../lyrics/terrorsquad/nothingsgonnastopme.html,True Story,2004,TERROR SQUAD
Yeah Yeah Yeah,../lyrics/terrorsquad/yeahyeahyeah.html,True Story,2004,TERROR SQUAD
Hum Drum,../lyrics/terrorsquad/humdrum.html,True Story,2004,TERROR SQUAD
Lean Back,../lyrics/terrorsquad/leanback.html,True Story,2004,TERROR SQUAD
Take Me Home,../lyrics/terrorsquad/takemehome.html,True Story,2004,TERROR SQUAD
Streets Of NY,../lyrics/terrorsquad/streetsofny.html,True Story,2004,TERROR SQUAD
Bring 'Em Back,../lyrics/terrorsquad/bringemback.html,True Story,2004,TERROR SQUAD
Yes Dem To Def,../lyrics/terrorsquad/yesdemtodef.html,True Story,2004,TERROR SQUAD
Pass Away,../lyrics/terrorsquad/passaway.html,True Story,2004,TERROR SQUAD
Let Them Things Go,../lyrics/terrorsquad/letthemthingsgo.html,True Story,2004,TERROR SQUAD
Thunder In The Air,../lyrics/terrorsquad/thunderintheair.html,True Story,2004,TERROR SQUAD
Terror Era,../lyrics/terrorsquad/terrorera.html,True Story,2004,TERROR SQUAD
Lean Back (Hispanic Remix),../lyrics/terrorsquad/leanbackhispanicremix.html,,,TERROR SQUAD
Lean Back (Remix),../lyrics/terrorsquad/leanbackremix.html,,,TERROR SQUAD
