song,link,album,year,artist
Ez Come Ez Go,../lyrics/tesla/ezcomeezgo.html,Mechanical Resonance,1986,TESLA
Cumin' Atcha Live,../lyrics/tesla/cuminatchalive.html,Mechanical Resonance,1986,TESLA
Gettin' Better,../lyrics/tesla/gettinbetter.html,Mechanical Resonance,1986,TESLA
2 Late 4 Love,../lyrics/tesla/2late4love.html,Mechanical Resonance,1986,TESLA
Rock Me To The Top,../lyrics/tesla/rockmetothetop.html,Mechanical Resonance,1986,TESLA
We're No Good Together,../lyrics/tesla/werenogoodtogether.html,Mechanical Resonance,1986,TESLA
Modern Day Cowboy,../lyrics/tesla/moderndaycowboy.html,Mechanical Resonance,1986,TESLA
Changes,../lyrics/tesla/changes.html,Mechanical Resonance,1986,TESLA
Little Suzi,../lyrics/tesla/littlesuzi.html,Mechanical Resonance,1986,TESLA
Love Me,../lyrics/tesla/loveme.html,Mechanical Resonance,1986,TESLA
Cover Queen,../lyrics/tesla/coverqueen.html,Mechanical Resonance,1986,TESLA
Before My Eyes,../lyrics/tesla/beforemyeyes.html,Mechanical Resonance,1986,TESLA
,,Mechanical Resonance,1986,TESLA
Hang Tough,../lyrics/tesla/hangtough.html,The Great Radio Controversy,1989,TESLA
Lady Luck,../lyrics/tesla/ladyluck.html,The Great Radio Controversy,1989,TESLA
Heaven's Trail (No Way Out),../lyrics/tesla/heavenstrailnowayout.html,The Great Radio Controversy,1989,TESLA
Be A Man,../lyrics/tesla/beaman.html,The Great Radio Controversy,1989,TESLA
Crazy Nights,../lyrics/tesla/crazynights.html,The Great Radio Controversy,1989,TESLA
Did It For The Money,../lyrics/tesla/diditforthemoney.html,The Great Radio Controversy,1989,TESLA
Yesterdaze Gone,../lyrics/tesla/yesterdazegone.html,The Great Radio Controversy,1989,TESLA
Makin' Magic,../lyrics/tesla/makinmagic.html,The Great Radio Controversy,1989,TESLA
The Way It Is,../lyrics/tesla/thewayitis.html,The Great Radio Controversy,1989,TESLA
Flight To Nowhere,../lyrics/tesla/flighttonowhere.html,The Great Radio Controversy,1989,TESLA
Love Song,../lyrics/tesla/lovesong.html,The Great Radio Controversy,1989,TESLA
Paradise,../lyrics/tesla/paradise.html,The Great Radio Controversy,1989,TESLA
Party's Over,../lyrics/tesla/partysover.html,The Great Radio Controversy,1989,TESLA
,,The Great Radio Controversy,1989,TESLA
Cumin' Atcha Live / Truckin',../lyrics/tesla/cuminatchalivetruckin.html,Five Man Acoustical Jam,1990,TESLA
Heaven's Trail (No Way Out),../lyrics/tesla/heavenstrailnowayout.html,Five Man Acoustical Jam,1990,TESLA
The Way It Is,../lyrics/tesla/thewayitis.html,Five Man Acoustical Jam,1990,TESLA
We Can Work It Out,../lyrics/tesla/wecanworkitout.html,Five Man Acoustical Jam,1990,TESLA
Signs,../lyrics/tesla/signs.html,Five Man Acoustical Jam,1990,TESLA
Gettin' Better,../lyrics/tesla/gettinbetter.html,Five Man Acoustical Jam,1990,TESLA
Before My Eyes,../lyrics/tesla/beforemyeyes.html,Five Man Acoustical Jam,1990,TESLA
Paradise,../lyrics/tesla/paradise.html,Five Man Acoustical Jam,1990,TESLA
Lodi,../lyrics/tesla/lodi.html,Five Man Acoustical Jam,1990,TESLA
Mother's Little Helper,../lyrics/tesla/motherslittlehelper.html,Five Man Acoustical Jam,1990,TESLA
Modern Day Cowboy,../lyrics/tesla/moderndaycowboy.html,Five Man Acoustical Jam,1990,TESLA
Love Song,../lyrics/tesla/lovesong.html,Five Man Acoustical Jam,1990,TESLA
Tommy's Down Home,../lyrics/tesla/tommysdownhome.html,Five Man Acoustical Jam,1990,TESLA
Down Fo' Boogie,../lyrics/tesla/downfoboogie.html,Five Man Acoustical Jam,1990,TESLA
,,Five Man Acoustical Jam,1990,TESLA
Change In The Weather,../lyrics/tesla/changeintheweather.html,Psychotic Supper,1992,TESLA
Edison's Medicine,../lyrics/tesla/edisonsmedicine.html,Psychotic Supper,1992,TESLA
Don't De-Rock Me,../lyrics/tesla/dontderockme.html,Psychotic Supper,1992,TESLA
Call It What You Want,../lyrics/tesla/callitwhatyouwant.html,Psychotic Supper,1992,TESLA
Song And Emotion,../lyrics/tesla/songandemotion.html,Psychotic Supper,1992,TESLA
Time,../lyrics/tesla/time.html,Psychotic Supper,1992,TESLA
Government Personnel,../lyrics/tesla/governmentpersonnel.html,Psychotic Supper,1992,TESLA
Freedom Slaves,../lyrics/tesla/freedomslaves.html,Psychotic Supper,1992,TESLA
Had Enough,../lyrics/tesla/hadenough.html,Psychotic Supper,1992,TESLA
What You Give,../lyrics/tesla/whatyougive.html,Psychotic Supper,1992,TESLA
Stir It Up,../lyrics/tesla/stiritup.html,Psychotic Supper,1992,TESLA
Can't Stop,../lyrics/tesla/cantstop.html,Psychotic Supper,1992,TESLA
Toke About It,../lyrics/tesla/tokeaboutit.html,Psychotic Supper,1992,TESLA
,,Psychotic Supper,1992,TESLA
The Gate,../lyrics/tesla/thegate.html,Bust A Nut,1994,TESLA
Solution,../lyrics/tesla/solution.html,Bust A Nut,1994,TESLA
Shine Away,../lyrics/tesla/shineaway.html,Bust A Nut,1994,TESLA
Try So Hard,../lyrics/tesla/trysohard.html,Bust A Nut,1994,TESLA
She Want She Want,../lyrics/tesla/shewantshewant.html,Bust A Nut,1994,TESLA
Need Your Lovin',../lyrics/tesla/needyourlovin.html,Bust A Nut,1994,TESLA
Action Talks,../lyrics/tesla/actiontalks.html,Bust A Nut,1994,TESLA
Mama's Fool,../lyrics/tesla/mamasfool.html,Bust A Nut,1994,TESLA
Cry,../lyrics/tesla/cry.html,Bust A Nut,1994,TESLA
Earthmover,../lyrics/tesla/earthmover.html,Bust A Nut,1994,TESLA
Alot To Lose,../lyrics/tesla/alottolose.html,Bust A Nut,1994,TESLA
Rubberband,../lyrics/tesla/rubberband.html,Bust A Nut,1994,TESLA
Wonderful World,../lyrics/tesla/wonderfulworld.html,Bust A Nut,1994,TESLA
Games People Play,../lyrics/tesla/gamespeopleplay.html,Bust A Nut,1994,TESLA
,,Bust A Nut,1994,TESLA
Into The Now,../lyrics/tesla/intothenow.html,Into The Now,2004,TESLA
Look @ Me,../lyrics/tesla/lookme.html,Into The Now,2004,TESLA
What A Shame,../lyrics/tesla/whatashame.html,Into The Now,2004,TESLA
Heaven Nine Eleven,../lyrics/tesla/heavennineeleven.html,Into The Now,2004,TESLA
Words Can't Explain,../lyrics/tesla/wordscantexplain.html,Into The Now,2004,TESLA
Caught In A Dream,../lyrics/tesla/caughtinadream.html,Into The Now,2004,TESLA
Miles Away,../lyrics/tesla/milesaway.html,Into The Now,2004,TESLA
