song,link,album,year,artist
Black Books,../lyrics/tessannechin/blackbooks.html,In Between Words,2010,TESSANNE CHIN
Hideaway,../lyrics/tessannechin/hideaway.html,In Between Words,2010,TESSANNE CHIN
Loving You,../lyrics/tessannechin/lovingyou.html,In Between Words,2010,TESSANNE CHIN
Messenger,../lyrics/tessannechin/messenger.html,In Between Words,2010,TESSANNE CHIN
You And Me,../lyrics/tessannechin/youandme.html,In Between Words,2010,TESSANNE CHIN
,,In Between Words,2010,TESSANNE CHIN
Tumbling Down,../lyrics/tessannechin/tumblingdown.html,Count On My Love,2014,TESSANNE CHIN
Everything Reminds Me Of You,../lyrics/tessannechin/everythingremindsmeofyou.html,Count On My Love,2014,TESSANNE CHIN
Count On My Love,../lyrics/tessannechin/countonmylove.html,Count On My Love,2014,TESSANNE CHIN
Always Tomorrow,../lyrics/tessannechin/alwaystomorrow.html,Count On My Love,2014,TESSANNE CHIN
Lifeline,../lyrics/tessannechin/lifeline.html,Count On My Love,2014,TESSANNE CHIN
I Heart U,../lyrics/tessannechin/iheartu.html,Count On My Love,2014,TESSANNE CHIN
Loudest Silence,../lyrics/tessannechin/loudestsilence.html,Count On My Love,2014,TESSANNE CHIN
Heaven Knows,../lyrics/tessannechin/heavenknows.html,Count On My Love,2014,TESSANNE CHIN
People Change,../lyrics/tessannechin/peoplechange.html,Count On My Love,2014,TESSANNE CHIN
One Step Closer,../lyrics/tessannechin/onestepcloser.html,Count On My Love,2014,TESSANNE CHIN
Fire,../lyrics/tessannechin/fire.html,,,TESSANNE CHIN
Love Suicide,../lyrics/tessannechin/lovesuicide.html,,,TESSANNE CHIN
