song,link,album,year,artist
Song Without An Ending,../lyrics/thethe/songwithoutanending.html,Burning Blue Soul,1981,THE THE
Time Again For The Golden Sunset,../lyrics/thethe/timeagainforthegoldensunset.html,Burning Blue Soul,1981,THE THE
Icing Up,../lyrics/thethe/icingup.html,Burning Blue Soul,1981,THE THE
Like A Sun Rising Up From My Garden,../lyrics/thethe/likeasunrisingupfrommygarden.html,Burning Blue Soul,1981,THE THE
Bugle Boy,../lyrics/thethe/bugleboy.html,Burning Blue Soul,1981,THE THE
Delirious,../lyrics/thethe/delirious.html,Burning Blue Soul,1981,THE THE
Another Boy Drowning,../lyrics/thethe/anotherboydrowning.html,Burning Blue Soul,1981,THE THE
,,Burning Blue Soul,1981,THE THE
I've Been Waitin' For Tomorrow (All Of My Life),../lyrics/thethe/ivebeenwaitinfortomorrowallofmylife.html,Soul Mining,1983,THE THE
This Is The Day,../lyrics/thethe/thisistheday.html,Soul Mining,1983,THE THE
The Sinking Feeling,../lyrics/thethe/thesinkingfeeling.html,Soul Mining,1983,THE THE
Uncertain Smile,../lyrics/thethe/uncertainsmile.html,Soul Mining,1983,THE THE
Soul Mining,../lyrics/thethe/soulmining.html,Soul Mining,1983,THE THE
The Twilight Hour,../lyrics/thethe/thetwilighthour.html,Soul Mining,1983,THE THE
Giant,../lyrics/thethe/giant.html,Soul Mining,1983,THE THE
Perfect,../lyrics/thethe/perfect.html,Soul Mining,1983,THE THE
,,Soul Mining,1983,THE THE
Infected,../lyrics/thethe/infected.html,Infected,1986,THE THE
Out Of The Blue (Into The Fire),../lyrics/thethe/outoftheblueintothefire.html,Infected,1986,THE THE
Heartland,../lyrics/thethe/heartland.html,Infected,1986,THE THE
Angels Of Deception,../lyrics/thethe/angelsofdeception.html,Infected,1986,THE THE
Sweet Bird Of Truth,../lyrics/thethe/sweetbirdoftruth.html,Infected,1986,THE THE
Slow Train To Dawn,../lyrics/thethe/slowtraintodawn.html,Infected,1986,THE THE
Twilight Of A Champion,../lyrics/thethe/twilightofachampion.html,Infected,1986,THE THE
The Mercy Beat,../lyrics/thethe/themercybeat.html,Infected,1986,THE THE
The Nature Of Virtue,../lyrics/thethe/thenatureofvirtue.html,Infected,1986,THE THE
,,Infected,1986,THE THE
Good Morning Beautiful,../lyrics/thethe/goodmorningbeautiful.html,Mind Bomb,1989,THE THE
Armageddon Days Are Here (Again),../lyrics/thethe/armageddondaysarehereagain.html,Mind Bomb,1989,THE THE
The Violence Of Truth,../lyrics/thethe/theviolenceoftruth.html,Mind Bomb,1989,THE THE
Kingdom Of Rain,../lyrics/thethe/kingdomofrain.html,Mind Bomb,1989,THE THE
The Beat(en) Generation,../lyrics/thethe/thebeatengeneration.html,Mind Bomb,1989,THE THE
August & September,../lyrics/thethe/augustseptember.html,Mind Bomb,1989,THE THE
Gravitate To Me,../lyrics/thethe/gravitatetome.html,Mind Bomb,1989,THE THE
Beyond Love,../lyrics/thethe/beyondlove.html,Mind Bomb,1989,THE THE
,,Mind Bomb,1989,THE THE
True Happiness This Way Lies,../lyrics/thethe/truehappinessthiswaylies.html,Dusk,1993,THE THE
Love Is Stronger Than Death,../lyrics/thethe/loveisstrongerthandeath.html,Dusk,1993,THE THE
