song,link,album,year,artist
Untitled,../lyrics/thousandfootkrutch/untitled.html,Set It Off,2001,THOUSAND FOOT KRUTCH
Puppet,../lyrics/thousandfootkrutch/puppet.html,Set It Off,2001,THOUSAND FOOT KRUTCH
Supafly,../lyrics/thousandfootkrutch/supafly.html,Set It Off,2001,THOUSAND FOOT KRUTCH
When In Doubt,../lyrics/thousandfootkrutch/whenindoubt.html,Set It Off,2001,THOUSAND FOOT KRUTCH
Rhime Animal,../lyrics/thousandfootkrutch/rhimeanimal.html,Set It Off,2001,THOUSAND FOOT KRUTCH
Unbelievable,../lyrics/thousandfootkrutch/unbelievable.html,Set It Off,2001,THOUSAND FOOT KRUTCH
Up Comes Down,../lyrics/thousandfootkrutch/upcomesdown.html,Set It Off,2001,THOUSAND FOOT KRUTCH
Come Along,../lyrics/thousandfootkrutch/comealong.html,Set It Off,2001,THOUSAND FOOT KRUTCH
Small Town,../lyrics/thousandfootkrutch/smalltown.html,Set It Off,2001,THOUSAND FOOT KRUTCH
Set It Off,../lyrics/thousandfootkrutch/setitoff.html,Set It Off,2001,THOUSAND FOOT KRUTCH
All The Way Live,../lyrics/thousandfootkrutch/allthewaylive.html,Set It Off,2001,THOUSAND FOOT KRUTCH
Lift It,../lyrics/thousandfootkrutch/liftit.html,Set It Off,2001,THOUSAND FOOT KRUTCH
Brother John,../lyrics/thousandfootkrutch/brotherjohn.html,Set It Off,2001,THOUSAND FOOT KRUTCH
Breather,../lyrics/thousandfootkrutch/breather.html,Set It Off,2001,THOUSAND FOOT KRUTCH
Sweet Unknown,../lyrics/thousandfootkrutch/sweetunknown.html,Set It Off,2001,THOUSAND FOOT KRUTCH
Moment Of The Day,../lyrics/thousandfootkrutch/momentoftheday.html,Set It Off,2001,THOUSAND FOOT KRUTCH
The Alternative Song,../lyrics/thousandfootkrutch/thealternativesong.html,Set It Off,2001,THOUSAND FOOT KRUTCH
,,Set It Off,2001,THOUSAND FOOT KRUTCH
Phenomenon,../lyrics/thousandfootkrutch/phenomenon.html,Phenomenon,2003,THOUSAND FOOT KRUTCH
Step To Me,../lyrics/thousandfootkrutch/steptome.html,Phenomenon,2003,THOUSAND FOOT KRUTCH
Last Words,../lyrics/thousandfootkrutch/lastwords.html,Phenomenon,2003,THOUSAND FOOT KRUTCH
This Is A Call,../lyrics/thousandfootkrutch/thisisacall.html,Phenomenon,2003,THOUSAND FOOT KRUTCH
Rawkfist,../lyrics/thousandfootkrutch/rawkfist.html,Phenomenon,2003,THOUSAND FOOT KRUTCH
"Faith, Love And Happiness",../lyrics/thousandfootkrutch/faithloveandhappiness.html,Phenomenon,2003,THOUSAND FOOT KRUTCH
