song,link,album,year,artist
No Average Angel,../lyrics/tiffanygiardina/noaverageangel.html,No Average Angel,2009,TIFFANY GIARDINA
Sparks Fly,../lyrics/tiffanygiardina/sparksfly.html,No Average Angel,2009,TIFFANY GIARDINA
Onto You,../lyrics/tiffanygiardina/ontoyou.html,No Average Angel,2009,TIFFANY GIARDINA
Make My Day,../lyrics/tiffanygiardina/makemyday.html,No Average Angel,2009,TIFFANY GIARDINA
Eternal Flame,../lyrics/tiffanygiardina/eternalflame.html,No Average Angel,2009,TIFFANY GIARDINA
You Haven't Asked Me Yet,../lyrics/tiffanygiardina/youhaventaskedmeyet.html,No Average Angel,2009,TIFFANY GIARDINA
Candy,../lyrics/tiffanygiardina/candy.html,No Average Angel,2009,TIFFANY GIARDINA
Don't Want To Let It Go,../lyrics/tiffanygiardina/dontwanttoletitgo.html,No Average Angel,2009,TIFFANY GIARDINA
Road To Anywhere,../lyrics/tiffanygiardina/roadtoanywhere.html,No Average Angel,2009,TIFFANY GIARDINA
Falling Down,../lyrics/tiffanygiardina/fallingdown.html,No Average Angel,2009,TIFFANY GIARDINA
Summertime,../lyrics/tiffanygiardina/summertime.html,No Average Angel,2009,TIFFANY GIARDINA
This Is My Life,../lyrics/tiffanygiardina/thisismylife.html,No Average Angel,2009,TIFFANY GIARDINA
Lollipop,../lyrics/tiffanygiardina/lollipop.html,No Average Angel,2009,TIFFANY GIARDINA
Hurry Up And Save Me,../lyrics/tiffanygiardina/hurryupandsaveme.html,No Average Angel,2009,TIFFANY GIARDINA
,,No Average Angel,2009,TIFFANY GIARDINA
I'll See You Around,../lyrics/tiffanygiardina/illseeyouaround.html,Paper Made Hearts,2010,TIFFANY GIARDINA
Cardboard Cutout,../lyrics/tiffanygiardina/cardboardcutout.html,Paper Made Hearts,2010,TIFFANY GIARDINA
Lost In Your Blue Eyes,../lyrics/tiffanygiardina/lostinyourblueeyes.html,Paper Made Hearts,2010,TIFFANY GIARDINA
Not That Girl,../lyrics/tiffanygiardina/notthatgirl.html,Paper Made Hearts,2010,TIFFANY GIARDINA
Seven Days In,../lyrics/tiffanygiardina/sevendaysin.html,Paper Made Hearts,2010,TIFFANY GIARDINA
Move On,../lyrics/tiffanygiardina/moveon.html,Paper Made Hearts,2010,TIFFANY GIARDINA
Last Song,../lyrics/tiffanygiardina/lastsong.html,Paper Made Hearts,2010,TIFFANY GIARDINA
I'm Not Crazy,../lyrics/tiffanygiardina/imnotcrazy.html,,,TIFFANY GIARDINA
Life Is A Fairytale,../lyrics/tiffanygiardina/lifeisafairytale.html,,,TIFFANY GIARDINA
Secrets,../lyrics/tiffanygiardina/secrets.html,,,TIFFANY GIARDINA
