song,link,album,year,artist
Welcome To The Club,../lyrics/timmcgraw/welcometotheclub.html,Tim McGraw,1993,TIM MCGRAW
Two Steppin Mind,../lyrics/timmcgraw/twosteppinmind.html,Tim McGraw,1993,TIM MCGRAW
Clay Blaker,../lyrics/timmcgraw/clayblaker.html,Tim McGraw,1993,TIM MCGRAW
You Can Take It With You,../lyrics/timmcgraw/youcantakeitwithyou.html,Tim McGraw,1993,TIM MCGRAW
Ain't No Angels,../lyrics/timmcgraw/aintnoangels.html,Tim McGraw,1993,TIM MCGRAW
Memory Lane,../lyrics/timmcgraw/memorylane.html,Tim McGraw,1993,TIM MCGRAW
Tears In The Rain,../lyrics/timmcgraw/tearsintherain.html,Tim McGraw,1993,TIM MCGRAW
What She Left Behind,../lyrics/timmcgraw/whatsheleftbehind.html,Tim McGraw,1993,TIM MCGRAW
What Room Was The Holiday In,../lyrics/timmcgraw/whatroomwastheholidayin.html,Tim McGraw,1993,TIM MCGRAW
I Keep It Under My Hat,../lyrics/timmcgraw/ikeepitundermyhat.html,Tim McGraw,1993,TIM MCGRAW
,,Tim McGraw,1993,TIM MCGRAW
It Doesn't Get Any Countrier Than This,../lyrics/timmcgraw/itdoesntgetanycountrierthanthis.html,Not A Moment To Soon,1994,TIM MCGRAW
Give It To Me Strait,../lyrics/timmcgraw/giveittomestrait.html,Not A Moment To Soon,1994,TIM MCGRAW
Wouldn't Want It Any Other Way,../lyrics/timmcgraw/wouldntwantitanyotherway.html,Not A Moment To Soon,1994,TIM MCGRAW
Down On The Farm,../lyrics/timmcgraw/downonthefarm.html,Not A Moment To Soon,1994,TIM MCGRAW
Not A Moment Too Soon,../lyrics/timmcgraw/notamomenttoosoon.html,Not A Moment To Soon,1994,TIM MCGRAW
Indian Outlaw,../lyrics/timmcgraw/indianoutlaw.html,Not A Moment To Soon,1994,TIM MCGRAW
Refried Dreams,../lyrics/timmcgraw/refrieddreams.html,Not A Moment To Soon,1994,TIM MCGRAW
Don't Take The Girl,../lyrics/timmcgraw/donttakethegirl.html,Not A Moment To Soon,1994,TIM MCGRAW
40 Days And 40 Nights,../lyrics/timmcgraw/40daysand40nights.html,Not A Moment To Soon,1994,TIM MCGRAW
Ain't That Just Like A Dream,../lyrics/timmcgraw/aintthatjustlikeadream.html,Not A Moment To Soon,1994,TIM MCGRAW
,,Not A Moment To Soon,1994,TIM MCGRAW
All I Want Is A Life,../lyrics/timmcgraw/alliwantisalife.html,All I Want,1995,TIM MCGRAW
She Never Let's It Go To Her Heart,../lyrics/timmcgraw/sheneverletsitgotoherheart.html,All I Want,1995,TIM MCGRAW
Can't Be Really Gone,../lyrics/timmcgraw/cantbereallygone.html,All I Want,1995,TIM MCGRAW
Maybe We Should Just Sleep On It,../lyrics/timmcgraw/maybeweshouldjustsleeponit.html,All I Want,1995,TIM MCGRAW
I Didn't Ask And She Didn't Say,../lyrics/timmcgraw/ididntaskandshedidntsay.html,All I Want,1995,TIM MCGRAW
Renegade,../lyrics/timmcgraw/renegade.html,All I Want,1995,TIM MCGRAW
"I Like It, I Love It",../lyrics/timmcgraw/ilikeitiloveit.html,All I Want,1995,TIM MCGRAW
The Great Divide,../lyrics/timmcgraw/thegreatdivide.html,All I Want,1995,TIM MCGRAW
