song,link,album,year,artist
Alive In The Summer Time,../lyrics/timmcmorris/aliveinthesummertime.html,Alive,2014,TIM MCMORRIS
Shape The World,../lyrics/timmcmorris/shapetheworld.html,Alive,2014,TIM MCMORRIS
Give Our Dreams Their Wings To Fly,../lyrics/timmcmorris/giveourdreamstheirwingstofly.html,Alive,2014,TIM MCMORRIS
Wonderful,../lyrics/timmcmorris/wonderful.html,Alive,2014,TIM MCMORRIS
Big Dreams To Take Over The World,../lyrics/timmcmorris/bigdreamstotakeovertheworld.html,Alive,2014,TIM MCMORRIS
It's A Beautiful Day,../lyrics/timmcmorris/itsabeautifulday.html,Alive,2014,TIM MCMORRIS
We're Going Up,../lyrics/timmcmorris/weregoingup.html,Alive,2014,TIM MCMORRIS
Love On Fire,../lyrics/timmcmorris/loveonfire.html,Alive,2014,TIM MCMORRIS
Life Is Beautiful,../lyrics/timmcmorris/lifeisbeautiful.html,Alive,2014,TIM MCMORRIS
Fall In Love Again,../lyrics/timmcmorris/fallinloveagain.html,Alive,2014,TIM MCMORRIS
She's Fire Walking,../lyrics/timmcmorris/shesfirewalking.html,Alive,2014,TIM MCMORRIS
Superhero,../lyrics/timmcmorris/superhero.html,Alive,2014,TIM MCMORRIS
New Year's Song,../lyrics/timmcmorris/newyearssong.html,Alive,2014,TIM MCMORRIS
,,Alive,2014,TIM MCMORRIS
All I Ever Want Is You,../lyrics/timmcmorris/allieverwantisyou.html,I'd Choose You Again,2015,TIM MCMORRIS
Be My Valentine,../lyrics/timmcmorris/bemyvalentine.html,I'd Choose You Again,2015,TIM MCMORRIS
So Alive,../lyrics/timmcmorris/soalive.html,I'd Choose You Again,2015,TIM MCMORRIS
Make It Last,../lyrics/timmcmorris/makeitlast.html,I'd Choose You Again,2015,TIM MCMORRIS
You've Got My Heart,../lyrics/timmcmorris/youvegotmyheart.html,I'd Choose You Again,2015,TIM MCMORRIS
Overwhelmed,../lyrics/timmcmorris/overwhelmed.html,I'd Choose You Again,2015,TIM MCMORRIS
A Beautiful Life,../lyrics/timmcmorris/abeautifullife.html,,,TIM MCMORRIS
Close My Eyes,../lyrics/timmcmorris/closemyeyes.html,,,TIM MCMORRIS
Cross It Slow,../lyrics/timmcmorris/crossitslow.html,,,TIM MCMORRIS
Every Day Is Mother's Day To Me,../lyrics/timmcmorris/everydayismothersdaytome.html,,,TIM MCMORRIS
Just Feel The Beat,../lyrics/timmcmorris/justfeelthebeat.html,,,TIM MCMORRIS
Live And Be Free,../lyrics/timmcmorris/liveandbefree.html,,,TIM MCMORRIS
Lyrical Sobriety,../lyrics/timmcmorris/lyricalsobriety.html,,,TIM MCMORRIS
Made To Be Free,../lyrics/timmcmorris/madetobefree.html,,,TIM MCMORRIS
Mission Control,../lyrics/timmcmorris/missioncontrol.html,,,TIM MCMORRIS
O Holy Night,../lyrics/timmcmorris/oholynight.html,,,TIM MCMORRIS
On Top Of The World,../lyrics/timmcmorris/ontopoftheworld.html,,,TIM MCMORRIS
Out Of Control,../lyrics/timmcmorris/outofcontrol.html,,,TIM MCMORRIS
Simple Little Things Of Life,../lyrics/timmcmorris/simplelittlethingsoflife.html,,,TIM MCMORRIS
Straight To The Top,../lyrics/timmcmorris/straighttothetop.html,,,TIM MCMORRIS
That's Life For Me (C'est La Vie),../lyrics/timmcmorris/thatslifeformecestlavie.html,,,TIM MCMORRIS
Turn It Around,../lyrics/timmcmorris/turnitaround.html,,,TIM MCMORRIS
We Can Change The World,../lyrics/timmcmorris/wecanchangetheworld.html,,,TIM MCMORRIS
