song,link,album,year,artist
Home,../lyrics/timbertimbre/home.html,Cedar Shakes,2006,TIMBER TIMBRE
Mercy,../lyrics/timbertimbre/mercy.html,Cedar Shakes,2006,TIMBER TIMBRE
Cedar Shakes,../lyrics/timbertimbre/cedarshakes.html,Cedar Shakes,2006,TIMBER TIMBRE
As Angels Do,../lyrics/timbertimbre/asangelsdo.html,Cedar Shakes,2006,TIMBER TIMBRE
Black Creek Drive,../lyrics/timbertimbre/blackcreekdrive.html,Cedar Shakes,2006,TIMBER TIMBRE
It's Only Dark,../lyrics/timbertimbre/itsonlydark.html,Cedar Shakes,2006,TIMBER TIMBRE
I'm A Long Way,../lyrics/timbertimbre/imalongway.html,Cedar Shakes,2006,TIMBER TIMBRE
Each Good House,../lyrics/timbertimbre/eachgoodhouse.html,Cedar Shakes,2006,TIMBER TIMBRE
,,Cedar Shakes,2006,TIMBER TIMBRE
There Is A Cure,../lyrics/timbertimbre/thereisacure.html,Medicinals,2007,TIMBER TIMBRE
Devil's Dress,../lyrics/timbertimbre/devilsdress.html,Medicinals,2007,TIMBER TIMBRE
Like A Mountain,../lyrics/timbertimbre/likeamountain.html,Medicinals,2007,TIMBER TIMBRE
Beat The Dead Horse,../lyrics/timbertimbre/beatthedeadhorse.html,Medicinals,2007,TIMBER TIMBRE
Under Your Spell,../lyrics/timbertimbre/underyourspell.html,Medicinals,2007,TIMBER TIMBRE
It Comes Back To Haunt Us,../lyrics/timbertimbre/itcomesbacktohauntus.html,Medicinals,2007,TIMBER TIMBRE
Werewolf,../lyrics/timbertimbre/werewolf.html,Medicinals,2007,TIMBER TIMBRE
Oh Messiah,../lyrics/timbertimbre/ohmessiah.html,Medicinals,2007,TIMBER TIMBRE
Patron Saint Hunter,../lyrics/timbertimbre/patronsainthunter.html,Medicinals,2007,TIMBER TIMBRE
,,Medicinals,2007,TIMBER TIMBRE
Demon Host,../lyrics/timbertimbre/demonhost.html,Timber Timbre,2009,TIMBER TIMBRE
Lay Down In The Tall Grass,../lyrics/timbertimbre/laydowninthetallgrass.html,Timber Timbre,2009,TIMBER TIMBRE
Until The Night Is Over,../lyrics/timbertimbre/untilthenightisover.html,Timber Timbre,2009,TIMBER TIMBRE
Magic Arrow,../lyrics/timbertimbre/magicarrow.html,Timber Timbre,2009,TIMBER TIMBRE
We'll Find Out,../lyrics/timbertimbre/wellfindout.html,Timber Timbre,2009,TIMBER TIMBRE
I Get Low,../lyrics/timbertimbre/igetlow.html,Timber Timbre,2009,TIMBER TIMBRE
Trouble Comes Knocking,../lyrics/timbertimbre/troublecomesknocking.html,Timber Timbre,2009,TIMBER TIMBRE
No Bold Villain,../lyrics/timbertimbre/noboldvillain.html,Timber Timbre,2009,TIMBER TIMBRE
,,Timber Timbre,2009,TIMBER TIMBRE
Bad Ritual,../lyrics/timbertimbre/badritual.html,Creep On Creepin' On,2011,TIMBER TIMBRE
Creep On Creepin' On,../lyrics/timbertimbre/creeponcreepinon.html,Creep On Creepin' On,2011,TIMBER TIMBRE
Black Water,../lyrics/timbertimbre/blackwater.html,Creep On Creepin' On,2011,TIMBER TIMBRE
Woman,../lyrics/timbertimbre/woman.html,Creep On Creepin' On,2011,TIMBER TIMBRE
Too Old To Die Young,../lyrics/timbertimbre/toooldtodieyoung.html,Creep On Creepin' On,2011,TIMBER TIMBRE
Lonesome Hunter,../lyrics/timbertimbre/lonesomehunter.html,Creep On Creepin' On,2011,TIMBER TIMBRE
Do I Have Power,../lyrics/timbertimbre/doihavepower.html,Creep On Creepin' On,2011,TIMBER TIMBRE
,,Creep On Creepin' On,2011,TIMBER TIMBRE
Beat The Drum Slowly,../lyrics/timbertimbre/beatthedrumslowly.html,Hot Dreams,2014,TIMBER TIMBRE
Hot Dreams,../lyrics/timbertimbre/hotdreams.html,Hot Dreams,2014,TIMBER TIMBRE
Curtains!?,../lyrics/timbertimbre/curtains.html,Hot Dreams,2014,TIMBER TIMBRE
Bring Me Simple Men,../lyrics/timbertimbre/bringmesimplemen.html,Hot Dreams,2014,TIMBER TIMBRE
Grand Canyon,../lyrics/timbertimbre/grandcanyon.html,Hot Dreams,2014,TIMBER TIMBRE
This Low Commotion,../lyrics/timbertimbre/thislowcommotion.html,Hot Dreams,2014,TIMBER TIMBRE
The New Tomorrow,../lyrics/timbertimbre/thenewtomorrow.html,Hot Dreams,2014,TIMBER TIMBRE
Run From Me,../lyrics/timbertimbre/runfromme.html,Hot Dreams,2014,TIMBER TIMBRE
,,Hot Dreams,2014,TIMBER TIMBRE
Sewer Blues,../lyrics/timbertimbre/sewerblues.html,"Sincerely, Future Pollution",2017,TIMBER TIMBRE
