song,link,album,year,artist
Strength In Numbers,../lyrics/timesofgrace/strengthinnumbers.html,The Hymn Of A Broken Man,2011,TIMES OF GRACE
Fight For Life,../lyrics/timesofgrace/fightforlife.html,The Hymn Of A Broken Man,2011,TIMES OF GRACE
Willing,../lyrics/timesofgrace/willing.html,The Hymn Of A Broken Man,2011,TIMES OF GRACE
Where The Spirit Leads Me,../lyrics/timesofgrace/wherethespiritleadsme.html,The Hymn Of A Broken Man,2011,TIMES OF GRACE
Until The End Of Days,../lyrics/timesofgrace/untiltheendofdays.html,The Hymn Of A Broken Man,2011,TIMES OF GRACE
Live In Love,../lyrics/timesofgrace/liveinlove.html,The Hymn Of A Broken Man,2011,TIMES OF GRACE
Hymn Of A Broken Man,../lyrics/timesofgrace/hymnofabrokenman.html,The Hymn Of A Broken Man,2011,TIMES OF GRACE
The Forgotten One,../lyrics/timesofgrace/theforgottenone.html,The Hymn Of A Broken Man,2011,TIMES OF GRACE
Hope Remains,../lyrics/timesofgrace/hoperemains.html,The Hymn Of A Broken Man,2011,TIMES OF GRACE
The End Of Eternity,../lyrics/timesofgrace/theendofeternity.html,The Hymn Of A Broken Man,2011,TIMES OF GRACE
Worlds Apart,../lyrics/timesofgrace/worldsapart.html,The Hymn Of A Broken Man,2011,TIMES OF GRACE
Fall From Grace,../lyrics/timesofgrace/fallfromgrace.html,The Hymn Of A Broken Man,2011,TIMES OF GRACE
