song,link,album,year,artist
Woman's Work,../lyrics/tinaarena/womanswork.html,Strong As Steel,1990,TINA ARENA
I Need Your Body,../lyrics/tinaarena/ineedyourbody.html,Strong As Steel,1990,TINA ARENA
Close To My Heart,../lyrics/tinaarena/closetomyheart.html,Strong As Steel,1990,TINA ARENA
For The Sake Of Talking,../lyrics/tinaarena/forthesakeoftalking.html,Strong As Steel,1990,TINA ARENA
Rumour Has It,../lyrics/tinaarena/rumourhasit.html,Strong As Steel,1990,TINA ARENA
Images Of Love,../lyrics/tinaarena/imagesoflove.html,Strong As Steel,1990,TINA ARENA
Strong As Steel,../lyrics/tinaarena/strongassteel.html,Strong As Steel,1990,TINA ARENA
The Machine's Breaking Down,../lyrics/tinaarena/themachinesbreakingdown.html,Strong As Steel,1990,TINA ARENA
I'll Be Here,../lyrics/tinaarena/illbehere.html,Strong As Steel,1990,TINA ARENA
Stagefright,../lyrics/tinaarena/stagefright.html,Strong As Steel,1990,TINA ARENA
I Believe,../lyrics/tinaarena/ibelieve.html,Strong As Steel,1990,TINA ARENA
Wouldn't Change A Thing,../lyrics/tinaarena/wouldntchangeathing.html,Strong As Steel,1990,TINA ARENA
Best For You,../lyrics/tinaarena/bestforyou.html,Strong As Steel,1990,TINA ARENA
On The Line,../lyrics/tinaarena/ontheline.html,Strong As Steel,1990,TINA ARENA
You Make Me Feel Good,../lyrics/tinaarena/youmakemefeelgood.html,Strong As Steel,1990,TINA ARENA
,,Strong As Steel,1990,TINA ARENA
Chains,../lyrics/tinaarena/chains.html,Don't Ask,1994,TINA ARENA
Heaven Help My Heart,../lyrics/tinaarena/heavenhelpmyheart.html,Don't Ask,1994,TINA ARENA
Sorrento Moon (I Remember),../lyrics/tinaarena/sorrentomooniremember.html,Don't Ask,1994,TINA ARENA
Wasn't It Good,../lyrics/tinaarena/wasntitgood.html,Don't Ask,1994,TINA ARENA
Message,../lyrics/tinaarena/message.html,Don't Ask,1994,TINA ARENA
Show Me Heaven,../lyrics/tinaarena/showmeheaven.html,Don't Ask,1994,TINA ARENA
Love Is The Answer,../lyrics/tinaarena/loveistheanswer.html,Don't Ask,1994,TINA ARENA
