song,link,album,year,artist
The Last Night On Earth,../lyrics/tinashe/thelastnightonearth.html,In Case We Die,2012,TINASHE
My High,../lyrics/tinashe/myhigh.html,In Case We Die,2012,TINASHE
Let You Love Me,../lyrics/tinashe/letyouloveme.html,In Case We Die,2012,TINASHE
That,../lyrics/tinashe/that.html,In Case We Die,2012,TINASHE
The Will To Survive,../lyrics/tinashe/thewilltosurvive.html,In Case We Die,2012,TINASHE
Boss,../lyrics/tinashe/boss.html,In Case We Die,2012,TINASHE
I Tried,../lyrics/tinashe/itried.html,In Case We Die,2012,TINASHE
Another Season,../lyrics/tinashe/anotherseason.html,In Case We Die,2012,TINASHE
This Feeling,../lyrics/tinashe/thisfeeling.html,In Case We Die,2012,TINASHE
Stumble,../lyrics/tinashe/stumble.html,In Case We Die,2012,TINASHE
Crossing The Cosmo,../lyrics/tinashe/crossingthecosmo.html,In Case We Die,2012,TINASHE
Biding My Time,../lyrics/tinashe/bidingmytime.html,In Case We Die,2012,TINASHE
Chainless,../lyrics/tinashe/chainless.html,In Case We Die,2012,TINASHE
,,In Case We Die,2012,TINASHE
Fear Not,../lyrics/tinashe/fearnot.html,Reverie,2012,TINASHE
Stargazing,../lyrics/tinashe/stargazing.html,Reverie,2012,TINASHE
Yours,../lyrics/tinashe/yours.html,Reverie,2012,TINASHE
Slow,../lyrics/tinashe/slow.html,Reverie,2012,TINASHE
Another Me,../lyrics/tinashe/anotherme.html,Reverie,2012,TINASHE
Come When I Call,../lyrics/tinashe/comewhenicall.html,Reverie,2012,TINASHE
Illusions,../lyrics/tinashe/illusions.html,Reverie,2012,TINASHE
Reverie,../lyrics/tinashe/reverie.html,Reverie,2012,TINASHE
I'm Selfish,../lyrics/tinashe/imselfish.html,Reverie,2012,TINASHE
Ecstasy,../lyrics/tinashe/ecstasy.html,Reverie,2012,TINASHE
Who Am I Working For?,../lyrics/tinashe/whoamiworkingfor.html,Reverie,2012,TINASHE
Let You Love Me (xxyyxx Remix),../lyrics/tinashe/letyoulovemexxyyxxremix.html,Reverie,2012,TINASHE
,,Reverie,2012,TINASHE
Black Water,../lyrics/tinashe/blackwater.html,Black Water,2013,TINASHE
Secret Weapon,../lyrics/tinashe/secretweapon.html,Black Water,2013,TINASHE
Midnight Sun,../lyrics/tinashe/midnightsun.html,Black Water,2013,TINASHE
1 For Me,../lyrics/tinashe/1forme.html,Black Water,2013,TINASHE
Fugitive,../lyrics/tinashe/fugitive.html,Black Water,2013,TINASHE
Stunt,../lyrics/tinashe/stunt.html,Black Water,2013,TINASHE
Just A Taste,../lyrics/tinashe/justataste.html,Black Water,2013,TINASHE
Middle Of Nowhere,../lyrics/tinashe/middleofnowhere.html,Black Water,2013,TINASHE
Ain't Ready...,../lyrics/tinashe/aintready.html,Black Water,2013,TINASHE
Vulnerable,../lyrics/tinashe/vulnerable.html,Black Water,2013,TINASHE
,,Black Water,2013,TINASHE
Aquarius,../lyrics/tinashe/aquarius.html,Aquarius,2014,TINASHE
Bet,../lyrics/tinashe/bet.html,Aquarius,2014,TINASHE
Cold Sweat,../lyrics/tinashe/coldsweat.html,Aquarius,2014,TINASHE
Nightfall (Interlude),../lyrics/tinashe/nightfallinterlude.html,Aquarius,2014,TINASHE
2 On,../lyrics/tinashe/2on.html,Aquarius,2014,TINASHE
How Many Times,../lyrics/tinashe/howmanytimes.html,Aquarius,2014,TINASHE
What Is There To Lose (Interlude),../lyrics/tinashe/whatistheretoloseinterlude.html,Aquarius,2014,TINASHE
Pretend,../lyrics/tinashe/pretend.html,Aquarius,2014,TINASHE
All Hands On Deck,../lyrics/tinashe/allhandsondeck.html,Aquarius,2014,TINASHE
Indigo Child (Interlude),../lyrics/tinashe/indigochildinterlude.html,Aquarius,2014,TINASHE
Far Side Of The Moon,../lyrics/tinashe/farsideofthemoon.html,Aquarius,2014,TINASHE
Feels Like Vegas,../lyrics/tinashe/feelslikevegas.html,Aquarius,2014,TINASHE
Thug Cry,../lyrics/tinashe/thugcry.html,Aquarius,2014,TINASHE
Wildfire,../lyrics/tinashe/wildfire.html,Aquarius,2014,TINASHE
Deep In The Night (Interlude),../lyrics/tinashe/deepinthenightinterlude.html,Aquarius,2014,TINASHE
Bated Breath,../lyrics/tinashe/batedbreath.html,Aquarius,2014,TINASHE
Watch Me Work,../lyrics/tinashe/watchmework.html,Aquarius,2014,TINASHE
,,Aquarius,2014,TINASHE
Dreams Are Real,../lyrics/tinashe/dreamsarereal.html,Amethyst,2015,TINASHE
Wrong,../lyrics/tinashe/wrong.html,Amethyst,2015,TINASHE
Something To Feel,../lyrics/tinashe/somethingtofeel.html,Amethyst,2015,TINASHE
Looking 4 It,../lyrics/tinashe/looking4it.html,Amethyst,2015,TINASHE
Wanderer,../lyrics/tinashe/wanderer.html,Amethyst,2015,TINASHE
Worth It,../lyrics/tinashe/worthit.html,Amethyst,2015,TINASHE
Just The Way I Like You,../lyrics/tinashe/justthewayilikeyou.html,Amethyst,2015,TINASHE
,,Amethyst,2015,TINASHE
Lucid Dreaming,../lyrics/tinashe/luciddreaming.html,Nightride,2016,TINASHE
C'est La Vie,../lyrics/tinashe/cestlavie.html,Nightride,2016,TINASHE
Sunburn,../lyrics/tinashe/sunburn.html,Nightride,2016,TINASHE
Sacrifices,../lyrics/tinashe/sacrifices.html,Nightride,2016,TINASHE
Company,../lyrics/tinashe/company.html,Nightride,2016,TINASHE
Soul Glitch,../lyrics/tinashe/soulglitch.html,Nightride,2016,TINASHE
You Don't Know Me,../lyrics/tinashe/youdontknowme.html,Nightride,2016,TINASHE
Spacetime,../lyrics/tinashe/spacetime.html,Nightride,2016,TINASHE
High Speed Chase (Interlude),../lyrics/tinashe/highspeedchaseinterlude.html,Nightride,2016,TINASHE
Ride Of Your Life,../lyrics/tinashe/rideofyourlife.html,Nightride,2016,TINASHE
Party Favors,../lyrics/tinashe/partyfavors511721.html,Nightride,2016,TINASHE
You Can Stay Here Tonight (Interlude),../lyrics/tinashe/youcanstayheretonightinterlude.html,Nightride,2016,TINASHE
Touch Pass,../lyrics/tinashe/touchpass.html,Nightride,2016,TINASHE
Ghetto Boy,../lyrics/tinashe/ghettoboy.html,Nightride,2016,TINASHE
,,Nightride,2016,TINASHE
Energy,../lyrics/tinashe/energy.html,Joyride,2017,TINASHE
Joyride,../lyrics/tinashe/joyride.html,Joyride,2017,TINASHE
Party Favors,../lyrics/tinashe/partyfavors.html,Joyride,2017,TINASHE
Player,../lyrics/tinashe/player.html,Joyride,2017,TINASHE
Pour Your Love On Me,../lyrics/tinashe/pouryourloveonme.html,Joyride,2017,TINASHE
Superlove,../lyrics/tinashe/superlove.html,Joyride,2017,TINASHE
2 On (Remix),../lyrics/tinashe/2onremix.html,,,TINASHE
All Hands On Deck (Remix),../lyrics/tinashe/allhandsondeckremix.html,,,TINASHE
Boss (Remix),../lyrics/tinashe/bossremix.html,,,TINASHE
Bullet,../lyrics/tinashe/bullet.html,,,TINASHE
Can't Say No,../lyrics/tinashe/cantsayno.html,,,TINASHE
Days In The West,../lyrics/tinashe/daysinthewest.html,,,TINASHE
Fuckin' Wit Me,../lyrics/tinashe/fuckinwitme.html,,,TINASHE
Painted Faces,../lyrics/tinashe/paintedfaces.html,,,TINASHE
Pretend (Remix),../lyrics/tinashe/pretendremix.html,,,TINASHE
Sex With Me (Remix),../lyrics/tinashe/sexwithmeremix.html,,,TINASHE
The Leap,../lyrics/tinashe/theleap.html,,,TINASHE
Up We Go,../lyrics/tinashe/upwego.html,,,TINASHE
