song,link,album,year,artist
Mickey,../lyrics/tonibasil/mickey.html,Word Of Mouth,1982,TONI BASIL
Rock On,../lyrics/tonibasil/rockon.html,Word Of Mouth,1982,TONI BASIL
Shopping From A To Z,../lyrics/tonibasil/shoppingfromatoz.html,Word Of Mouth,1982,TONI BASIL
You Gotta Problem,../lyrics/tonibasil/yougottaproblem.html,Word Of Mouth,1982,TONI BASIL
Be Stiff,../lyrics/tonibasil/bestiff.html,Word Of Mouth,1982,TONI BASIL
Nobody,../lyrics/tonibasil/nobody.html,Word Of Mouth,1982,TONI BASIL
Little Red Book,../lyrics/tonibasil/littleredbook.html,Word Of Mouth,1982,TONI BASIL
Space Girls,../lyrics/tonibasil/spacegirls.html,Word Of Mouth,1982,TONI BASIL
,,Word Of Mouth,1982,TONI BASIL
Over My Head,../lyrics/tonibasil/overmyhead.html,Toni Basil,1983,TONI BASIL
Street Beat,../lyrics/tonibasil/streetbeat.html,Toni Basil,1983,TONI BASIL
Suspense,../lyrics/tonibasil/suspense.html,Toni Basil,1983,TONI BASIL
