song,link,album,year,artist
Midnight,../lyrics/tormiller/midnight.html,Headlights,2015,TOR MILLER
Now And Again,../lyrics/tormiller/nowandagain.html,Headlights,2015,TOR MILLER
Headlights,../lyrics/tormiller/headlights.html,Headlights,2015,TOR MILLER
Hold The Phone,../lyrics/tormiller/holdthephone.html,Headlights,2015,TOR MILLER
,,Headlights,2015,TOR MILLER
Surrender,../lyrics/tormiller/surrender.html,American English,2016,TOR MILLER
Midnight,../lyrics/tormiller/midnight.html,American English,2016,TOR MILLER
Always,../lyrics/tormiller/always.html,American English,2016,TOR MILLER
Carter & Cash,../lyrics/tormiller/cartercash.html,American English,2016,TOR MILLER
Washington Square Park,../lyrics/tormiller/washingtonsquarepark.html,American English,2016,TOR MILLER
Headlights,../lyrics/tormiller/headlights.html,American English,2016,TOR MILLER
Chelsea,../lyrics/tormiller/chelsea.html,American English,2016,TOR MILLER
Crust Punk Queen,../lyrics/tormiller/crustpunkqueen.html,American English,2016,TOR MILLER
Rag N Bone,../lyrics/tormiller/ragnbone.html,American English,2016,TOR MILLER
All Fall Down,../lyrics/tormiller/allfalldown.html,American English,2016,TOR MILLER
Baby Blue,../lyrics/tormiller/babyblue.html,American English,2016,TOR MILLER
The Dirt,../lyrics/tormiller/thedirt.html,American English,2016,TOR MILLER
Stampede,../lyrics/tormiller/stampede.html,American English,2016,TOR MILLER
