song,link,album,year,artist
The Big Picture,../lyrics/toriamos/thebigpicture.html,Y Kant Tori Read,1988,TORI AMOS
Cool On Your Island,../lyrics/toriamos/coolonyourisland.html,Y Kant Tori Read,1988,TORI AMOS
Fayth,../lyrics/toriamos/fayth.html,Y Kant Tori Read,1988,TORI AMOS
Fire On The Side,../lyrics/toriamos/fireontheside.html,Y Kant Tori Read,1988,TORI AMOS
Pirates,../lyrics/toriamos/pirates.html,Y Kant Tori Read,1988,TORI AMOS
Floating City,../lyrics/toriamos/floatingcity.html,Y Kant Tori Read,1988,TORI AMOS
Heart Attack At 23,../lyrics/toriamos/heartattackat23.html,Y Kant Tori Read,1988,TORI AMOS
On The Boundary,../lyrics/toriamos/ontheboundary.html,Y Kant Tori Read,1988,TORI AMOS
You Go To My Head,../lyrics/toriamos/yougotomyhead.html,Y Kant Tori Read,1988,TORI AMOS
Etienne Trilogy,../lyrics/toriamos/etiennetrilogy.html,Y Kant Tori Read,1988,TORI AMOS
,,Y Kant Tori Read,1988,TORI AMOS
Crucify,../lyrics/toriamos/crucify.html,Little Earthquakes,1992,TORI AMOS
Girl,../lyrics/toriamos/girl.html,Little Earthquakes,1992,TORI AMOS
Silent All These Years,../lyrics/toriamos/silentalltheseyears.html,Little Earthquakes,1992,TORI AMOS
Precious Things,../lyrics/toriamos/preciousthings.html,Little Earthquakes,1992,TORI AMOS
Winter,../lyrics/toriamos/winter.html,Little Earthquakes,1992,TORI AMOS
Happy Phantom,../lyrics/toriamos/happyphantom.html,Little Earthquakes,1992,TORI AMOS
China,../lyrics/toriamos/china.html,Little Earthquakes,1992,TORI AMOS
Leather,../lyrics/toriamos/leather.html,Little Earthquakes,1992,TORI AMOS
Mother,../lyrics/toriamos/mother.html,Little Earthquakes,1992,TORI AMOS
Tear In Your Hand,../lyrics/toriamos/tearinyourhand.html,Little Earthquakes,1992,TORI AMOS
Me And A Gun,../lyrics/toriamos/meandagun.html,Little Earthquakes,1992,TORI AMOS
Little Earthquakes,../lyrics/toriamos/littleearthquakes.html,Little Earthquakes,1992,TORI AMOS
Smells Like Teen Spirit,../lyrics/toriamos/smellsliketeenspirit.html,Little Earthquakes,1992,TORI AMOS
,,Little Earthquakes,1992,TORI AMOS
Pretty Good Year,../lyrics/toriamos/prettygoodyear.html,Under The Pink,1994,TORI AMOS
God,../lyrics/toriamos/god.html,Under The Pink,1994,TORI AMOS
Bells For Her,../lyrics/toriamos/bellsforher.html,Under The Pink,1994,TORI AMOS
Past The Mission,../lyrics/toriamos/pastthemission.html,Under The Pink,1994,TORI AMOS
Baker Baker,../lyrics/toriamos/bakerbaker.html,Under The Pink,1994,TORI AMOS
The Wrong Band,../lyrics/toriamos/thewrongband.html,Under The Pink,1994,TORI AMOS
The Waitress,../lyrics/toriamos/thewaitress.html,Under The Pink,1994,TORI AMOS
Cornflake Girl,../lyrics/toriamos/cornflakegirl.html,Under The Pink,1994,TORI AMOS
Icicle,../lyrics/toriamos/icicle.html,Under The Pink,1994,TORI AMOS
Cloud On My Tongue,../lyrics/toriamos/cloudonmytongue.html,Under The Pink,1994,TORI AMOS
Space Dog,../lyrics/toriamos/spacedog.html,Under The Pink,1994,TORI AMOS
"Yes, Anastasia",../lyrics/toriamos/yesanastasia.html,Under The Pink,1994,TORI AMOS
,,Under The Pink,1994,TORI AMOS
