song,link,album,year,artist
That's The Thing About A Memory,../lyrics/tracybyrd/thatsthethingaboutamemory.html,Tracy Byrd,1993,TRACY BYRD
Back In The Swing Of Things,../lyrics/tracybyrd/backintheswingofthings.html,Tracy Byrd,1993,TRACY BYRD
Someone To Give My Love To,../lyrics/tracybyrd/someonetogivemyloveto.html,Tracy Byrd,1993,TRACY BYRD
Holdin' Heaven,../lyrics/tracybyrd/holdinheaven.html,Tracy Byrd,1993,TRACY BYRD
Why,../lyrics/tracybyrd/why.html,Tracy Byrd,1993,TRACY BYRD
An Out Of Control Raging Fire,../lyrics/tracybyrd/anoutofcontrolragingfire.html,Tracy Byrd,1993,TRACY BYRD
Hat Trick,../lyrics/tracybyrd/hattrick.html,Tracy Byrd,1993,TRACY BYRD
Why Don't That Telephone Ring,../lyrics/tracybyrd/whydontthattelephonering.html,Tracy Byrd,1993,TRACY BYRD
Edge Of A Memory,../lyrics/tracybyrd/edgeofamemory.html,Tracy Byrd,1993,TRACY BYRD
Talk To Me Texas,../lyrics/tracybyrd/talktometexas.html,Tracy Byrd,1993,TRACY BYRD
,,Tracy Byrd,1993,TRACY BYRD
The First Step,../lyrics/tracybyrd/thefirststep.html,No Ordinary Man,1994,TRACY BYRD
Lifestyles Of The Not So Rich And Famous,../lyrics/tracybyrd/lifestylesofthenotsorichandfamous.html,No Ordinary Man,1994,TRACY BYRD
No Ordinary Man,../lyrics/tracybyrd/noordinaryman.html,No Ordinary Man,1994,TRACY BYRD
Anybody Else's Heart But Mine,../lyrics/tracybyrd/anybodyelsesheartbutmine.html,No Ordinary Man,1994,TRACY BYRD
Watermelon Crawl,../lyrics/tracybyrd/watermeloncrawl.html,No Ordinary Man,1994,TRACY BYRD
The Keeper Of The Stars,../lyrics/tracybyrd/thekeeperofthestars.html,No Ordinary Man,1994,TRACY BYRD
You Never Know Just How Good You've Got It,../lyrics/tracybyrd/youneverknowjusthowgoodyouvegotit.html,No Ordinary Man,1994,TRACY BYRD
Redneck Roses,../lyrics/tracybyrd/redneckroses.html,No Ordinary Man,1994,TRACY BYRD
Right About Now,../lyrics/tracybyrd/rightaboutnow.html,No Ordinary Man,1994,TRACY BYRD
Pink Flamingos,../lyrics/tracybyrd/pinkflamingos.html,No Ordinary Man,1994,TRACY BYRD
,,No Ordinary Man,1994,TRACY BYRD
Walking To Jerusalem,../lyrics/tracybyrd/walkingtojerusalem.html,Love Lessons,1995,TRACY BYRD
Love Lessons,../lyrics/tracybyrd/lovelessons.html,Love Lessons,1995,TRACY BYRD
4 To 1 In Atlanta,../lyrics/tracybyrd/4to1inatlanta.html,Love Lessons,1995,TRACY BYRD
Heaven In My Woman's Eyes,../lyrics/tracybyrd/heaveninmywomanseyes.html,Love Lessons,1995,TRACY BYRD
Honky-Tonk Dancing Machine,../lyrics/tracybyrd/honkytonkdancingmachine.html,Love Lessons,1995,TRACY BYRD
You Lied To Me,../lyrics/tracybyrd/youliedtome.html,Love Lessons,1995,TRACY BYRD
Down On The Bottom,../lyrics/tracybyrd/downonthebottom.html,Love Lessons,1995,TRACY BYRD
Don't Need That Heartache,../lyrics/tracybyrd/dontneedthatheartache.html,Love Lessons,1995,TRACY BYRD
Have A Good One,../lyrics/tracybyrd/haveagoodone.html,Love Lessons,1995,TRACY BYRD
Walkin' In,../lyrics/tracybyrd/walkinin.html,Love Lessons,1995,TRACY BYRD
,,Love Lessons,1995,TRACY BYRD
Big Love,../lyrics/tracybyrd/biglove.html,Big Love,1996,TRACY BYRD
Cowgirl,../lyrics/tracybyrd/cowgirl.html,Big Love,1996,TRACY BYRD
Good Ol' Fashioned Love,../lyrics/tracybyrd/goodolfashionedlove.html,Big Love,1996,TRACY BYRD
Don't Take Her She's All I Got,../lyrics/tracybyrd/donttakehershesalligot.html,Big Love,1996,TRACY BYRD
If I Stay,../lyrics/tracybyrd/ifistay.html,Big Love,1996,TRACY BYRD
Don't Love Make A Diamond Shine,../lyrics/tracybyrd/dontlovemakeadiamondshine.html,Big Love,1996,TRACY BYRD
Tucson Too Soon,../lyrics/tracybyrd/tucsontoosoon.html,Big Love,1996,TRACY BYRD
