song,link,album,year,artist
One Day,../lyrics/tradingyesterday/oneday.html,The Beauty And The Tragedy,2004,TRADING YESTERDAY
The Beauty And The Tragedy,../lyrics/tradingyesterday/thebeautyandthetragedy.html,The Beauty And The Tragedy,2004,TRADING YESTERDAY
What I'm Dreaming Of,../lyrics/tradingyesterday/whatimdreamingof.html,The Beauty And The Tragedy,2004,TRADING YESTERDAY
Nothing But Love,../lyrics/tradingyesterday/nothingbutlove.html,The Beauty And The Tragedy,2004,TRADING YESTERDAY
She Is The Sunlight,../lyrics/tradingyesterday/sheisthesunlight.html,The Beauty And The Tragedy,2004,TRADING YESTERDAY
World On Fire,../lyrics/tradingyesterday/worldonfire.html,The Beauty And The Tragedy,2004,TRADING YESTERDAY
Love Song Requiem,../lyrics/tradingyesterday/lovesongrequiem.html,The Beauty And The Tragedy,2004,TRADING YESTERDAY
Desert Lands,../lyrics/tradingyesterday/desertlands.html,The Beauty And The Tragedy,2004,TRADING YESTERDAY
Elizabeth,../lyrics/tradingyesterday/elizabeth.html,The Beauty And The Tragedy,2004,TRADING YESTERDAY
Shattered,../lyrics/tradingyesterday/shattered.html,The Beauty And The Tragedy,2004,TRADING YESTERDAY
Beautiful,../lyrics/tradingyesterday/beautiful.html,The Beauty And The Tragedy,2004,TRADING YESTERDAY
For You Only,../lyrics/tradingyesterday/foryouonly.html,The Beauty And The Tragedy,2004,TRADING YESTERDAY
,,The Beauty And The Tragedy,2004,TRADING YESTERDAY
Revolution,../lyrics/tradingyesterday/revolution.html,More Than This,2006,TRADING YESTERDAY
One Day,../lyrics/tradingyesterday/oneday.html,More Than This,2006,TRADING YESTERDAY
She Is The Sunlight,../lyrics/tradingyesterday/sheisthesunlight.html,More Than This,2006,TRADING YESTERDAY
Under My Skin,../lyrics/tradingyesterday/undermyskin.html,More Than This,2006,TRADING YESTERDAY
May I,../lyrics/tradingyesterday/mayi.html,More Than This,2006,TRADING YESTERDAY
My Last Goodbye,../lyrics/tradingyesterday/mylastgoodbye.html,More Than This,2006,TRADING YESTERDAY
Love Song Requiem,../lyrics/tradingyesterday/lovesongrequiem.html,More Than This,2006,TRADING YESTERDAY
Come Back To Me,../lyrics/tradingyesterday/comebacktome.html,More Than This,2006,TRADING YESTERDAY
For You Only,../lyrics/tradingyesterday/foryouonly208078.html,More Than This,2006,TRADING YESTERDAY
World On Fire,../lyrics/tradingyesterday/worldonfire.html,More Than This,2006,TRADING YESTERDAY
Change My Name,../lyrics/tradingyesterday/changemyname.html,More Than This,2006,TRADING YESTERDAY
The Beauty & The Tragedy,../lyrics/tradingyesterday/thebeautythetragedy.html,More Than This,2006,TRADING YESTERDAY
Shattered,../lyrics/tradingyesterday/shattered.html,More Than This,2006,TRADING YESTERDAY
Just A Little Girl,../lyrics/tradingyesterday/justalittlegirl.html,More Than This,2006,TRADING YESTERDAY
