song,link,album,year,artist
Everything Right Now,../lyrics/travisgarland/everythingrightnow.html,Last Man Standing,2011,TRAVIS GARLAND
Last Man Standing,../lyrics/travisgarland/lastmanstanding.html,Last Man Standing,2011,TRAVIS GARLAND
Anybody,../lyrics/travisgarland/anybody.html,Last Man Standing,2011,TRAVIS GARLAND
Too Much (Overkill),../lyrics/travisgarland/toomuchoverkill.html,Last Man Standing,2011,TRAVIS GARLAND
R.I.P.,../lyrics/travisgarland/rip.html,Last Man Standing,2011,TRAVIS GARLAND
,,Last Man Standing,2011,TRAVIS GARLAND
Fall In Lust,../lyrics/travisgarland/fallinlust.html,Fashionably Late,2012,TRAVIS GARLAND
Abby Lee,../lyrics/travisgarland/abbylee.html,Fashionably Late,2012,TRAVIS GARLAND
Didn't Stand A Chance,../lyrics/travisgarland/didntstandachance.html,Fashionably Late,2012,TRAVIS GARLAND
Feel,../lyrics/travisgarland/feel.html,Fashionably Late,2012,TRAVIS GARLAND
,,Fashionably Late,2012,TRAVIS GARLAND
Where To Land,../lyrics/travisgarland/wheretoland.html,Travis Garland,2013,TRAVIS GARLAND
Easy,../lyrics/travisgarland/easy.html,Travis Garland,2013,TRAVIS GARLAND
Abby Lee,../lyrics/travisgarland/abbylee.html,Travis Garland,2013,TRAVIS GARLAND
Clouds,../lyrics/travisgarland/clouds.html,Travis Garland,2013,TRAVIS GARLAND
Pullin My Hair,../lyrics/travisgarland/pullinmyhair.html,Travis Garland,2013,TRAVIS GARLAND
You Made Your Bed (So Lay In It),../lyrics/travisgarland/youmadeyourbedsolayinit.html,Travis Garland,2013,TRAVIS GARLAND
Neighbor,../lyrics/travisgarland/neighbor.html,Travis Garland,2013,TRAVIS GARLAND
Other People,../lyrics/travisgarland/otherpeople.html,Travis Garland,2013,TRAVIS GARLAND
Modern Life,../lyrics/travisgarland/modernlife.html,Travis Garland,2013,TRAVIS GARLAND
AllSheWannaDo,../lyrics/travisgarland/allshewannado.html,Travis Garland,2013,TRAVIS GARLAND
Homewrecker,../lyrics/travisgarland/homewrecker.html,Travis Garland,2013,TRAVIS GARLAND
Blue Electric Roses,../lyrics/travisgarland/blueelectricroses.html,Travis Garland,2013,TRAVIS GARLAND
Chariots Of Fire,../lyrics/travisgarland/chariotsoffire.html,Travis Garland,2013,TRAVIS GARLAND
1 Of 1,../lyrics/travisgarland/1of1.html,Travis Garland,2013,TRAVIS GARLAND
,,Travis Garland,2013,TRAVIS GARLAND
Motel Pool,../lyrics/travisgarland/motelpool.html,Motel Pool,2013,TRAVIS GARLAND
Let Me Show You,../lyrics/travisgarland/letmeshowyou.html,Motel Pool,2013,TRAVIS GARLAND
An Education,../lyrics/travisgarland/aneducation.html,Motel Pool,2013,TRAVIS GARLAND
Mrs. Garland,../lyrics/travisgarland/mrsgarland.html,Motel Pool,2013,TRAVIS GARLAND
A Thousand Goodbye's,../lyrics/travisgarland/athousandgoodbyes.html,,,TRAVIS GARLAND
Airplanes,../lyrics/travisgarland/airplanes.html,,,TRAVIS GARLAND
All About You,../lyrics/travisgarland/allaboutyou.html,,,TRAVIS GARLAND
Beautiful Nightmare,../lyrics/travisgarland/beautifulnightmare.html,,,TRAVIS GARLAND
Believe,../lyrics/travisgarland/believe.html,,,TRAVIS GARLAND
Bodies,../lyrics/travisgarland/bodies.html,,,TRAVIS GARLAND
Broken,../lyrics/travisgarland/broken.html,,,TRAVIS GARLAND
Dead And Gone,../lyrics/travisgarland/deadandgone.html,,,TRAVIS GARLAND
From Adam (Interlude),../lyrics/travisgarland/fromadaminterlude.html,,,TRAVIS GARLAND
Fuckin' Perfect,../lyrics/travisgarland/fuckinperfect.html,,,TRAVIS GARLAND
Glow Stick,../lyrics/travisgarland/glowstick.html,,,TRAVIS GARLAND
Heart Speaks First,../lyrics/travisgarland/heartspeaksfirst.html,,,TRAVIS GARLAND
I Want It All,../lyrics/travisgarland/iwantitall.html,,,TRAVIS GARLAND
Let Me Know,../lyrics/travisgarland/letmeknow.html,,,TRAVIS GARLAND
Mr. Rogers,../lyrics/travisgarland/mrrogers.html,,,TRAVIS GARLAND
One Dance / Turn Me On,../lyrics/travisgarland/onedanceturnmeon.html,,,TRAVIS GARLAND
Paint,../lyrics/travisgarland/paint.html,,,TRAVIS GARLAND
Saving My Life,../lyrics/travisgarland/savingmylife.html,,,TRAVIS GARLAND
Second Try,../lyrics/travisgarland/secondtry.html,,,TRAVIS GARLAND
Stranded,../lyrics/travisgarland/stranded.html,,,TRAVIS GARLAND
Stranger,../lyrics/travisgarland/stranger.html,,,TRAVIS GARLAND
Sunday Morning,../lyrics/travisgarland/sundaymorning.html,,,TRAVIS GARLAND
This Is What You Came For / With You,../lyrics/travisgarland/thisiswhatyoucameforwithyou.html,,,TRAVIS GARLAND
Twilight,../lyrics/travisgarland/twilight.html,,,TRAVIS GARLAND
Uncomplicated,../lyrics/travisgarland/uncomplicated.html,,,TRAVIS GARLAND
When You Learn How To Love,../lyrics/travisgarland/whenyoulearnhowtolove.html,,,TRAVIS GARLAND
Wolves,../lyrics/travisgarland/wolves.html,,,TRAVIS GARLAND
Your Song,../lyrics/travisgarland/yoursong.html,,,TRAVIS GARLAND
Your Way Or The Highway,../lyrics/travisgarland/yourwayorthehighway.html,,,TRAVIS GARLAND
