song,link,album,year,artist
Leave It Alone,../lyrics/tremonti/leaveitalone.html,All I Was,2012,TREMONTI
So You're Afraid,../lyrics/tremonti/soyoureafraid.html,All I Was,2012,TREMONTI
Wish You Well,../lyrics/tremonti/wishyouwell.html,All I Was,2012,TREMONTI
Brains,../lyrics/tremonti/brains.html,All I Was,2012,TREMONTI
The Things I've Seen,../lyrics/tremonti/thethingsiveseen.html,All I Was,2012,TREMONTI
You Waste Your Time,../lyrics/tremonti/youwasteyourtime.html,All I Was,2012,TREMONTI
New Way Out,../lyrics/tremonti/newwayout.html,All I Was,2012,TREMONTI
Giving Up,../lyrics/tremonti/givingup.html,All I Was,2012,TREMONTI
Proof,../lyrics/tremonti/proof.html,All I Was,2012,TREMONTI
All I Was,../lyrics/tremonti/alliwas.html,All I Was,2012,TREMONTI
Doesn't Matter,../lyrics/tremonti/doesntmatter.html,All I Was,2012,TREMONTI
Decay,../lyrics/tremonti/decay.html,All I Was,2012,TREMONTI
,,All I Was,2012,TREMONTI
Radical Change,../lyrics/tremonti/radicalchange.html,Cauterize,2015,TREMONTI
Flying Monkeys,../lyrics/tremonti/flyingmonkeys.html,Cauterize,2015,TREMONTI
Cauterize,../lyrics/tremonti/cauterize.html,Cauterize,2015,TREMONTI
Arm Yourself,../lyrics/tremonti/armyourself.html,Cauterize,2015,TREMONTI
Dark Trip,../lyrics/tremonti/darktrip.html,Cauterize,2015,TREMONTI
Another Heart,../lyrics/tremonti/anotherheart.html,Cauterize,2015,TREMONTI
Fall Again,../lyrics/tremonti/fallagain.html,Cauterize,2015,TREMONTI
Tie The Noose,../lyrics/tremonti/tiethenoose.html,Cauterize,2015,TREMONTI
Sympathy,../lyrics/tremonti/sympathy.html,Cauterize,2015,TREMONTI
Providence,../lyrics/tremonti/providence.html,Cauterize,2015,TREMONTI
,,Cauterize,2015,TREMONTI
My Last Mistake,../lyrics/tremonti/mylastmistake.html,Dust,2016,TREMONTI
The Cage,../lyrics/tremonti/thecage.html,Dust,2016,TREMONTI
Once Dead,../lyrics/tremonti/oncedead.html,Dust,2016,TREMONTI
Dust,../lyrics/tremonti/dust.html,Dust,2016,TREMONTI
Betray Me,../lyrics/tremonti/betrayme.html,Dust,2016,TREMONTI
Tore My Heart Out,../lyrics/tremonti/toremyheartout.html,Dust,2016,TREMONTI
Catching Fire,../lyrics/tremonti/catchingfire.html,Dust,2016,TREMONTI
Never Wrong,../lyrics/tremonti/neverwrong.html,Dust,2016,TREMONTI
Rising Storm,../lyrics/tremonti/risingstorm.html,Dust,2016,TREMONTI
Unable To See,../lyrics/tremonti/unabletosee.html,Dust,2016,TREMONTI
All That I Got,../lyrics/tremonti/allthatigot.html,,,TREMONTI
Gone,../lyrics/tremonti/gone.html,,,TREMONTI
