song,link,album,year,artist
Tonk For The Money,../lyrics/trinidadjames/tonkforthemoney.html,Don't Be S.A.F.E,2012,TRINIDAD JAMES
Females Welcomed,../lyrics/trinidadjames/femaleswelcomed.html,Don't Be S.A.F.E,2012,TRINIDAD JAMES
Gold On My Macbook,../lyrics/trinidadjames/goldonmymacbook.html,Don't Be S.A.F.E,2012,TRINIDAD JAMES
Team Vacation,../lyrics/trinidadjames/teamvacation.html,Don't Be S.A.F.E,2012,TRINIDAD JAMES
One More Molly,../lyrics/trinidadjames/onemoremolly.html,Don't Be S.A.F.E,2012,TRINIDAD JAMES
All Gold Everything,../lyrics/trinidadjames/allgoldeverything.html,Don't Be S.A.F.E,2012,TRINIDAD JAMES
Sneaky Vs Selfish,../lyrics/trinidadjames/sneakyvsselfish.html,Don't Be S.A.F.E,2012,TRINIDAD JAMES
Madden On Gamecube,../lyrics/trinidadjames/maddenongamecube.html,Don't Be S.A.F.E,2012,TRINIDAD JAMES
Givin No Fucks,../lyrics/trinidadjames/givinnofucks.html,Don't Be S.A.F.E,2012,TRINIDAD JAMES
Southside,../lyrics/trinidadjames/southside.html,Don't Be S.A.F.E,2012,TRINIDAD JAMES
,,Don't Be S.A.F.E,2012,TRINIDAD JAMES
WutEL$e,../lyrics/trinidadjames/wutele.html,10 PC Mild,2013,TRINIDAD JAMES
Material Thing$ Hard To Deal With,../lyrics/trinidadjames/materialthinghardtodealwith.html,10 PC Mild,2013,TRINIDAD JAMES
$hut Up!!!,../lyrics/trinidadjames/hutup.html,10 PC Mild,2013,TRINIDAD JAMES
Hip$ter $trip Club,../lyrics/trinidadjames/hiptertripclub.html,10 PC Mild,2013,TRINIDAD JAMES
Quez,../lyrics/trinidadjames/quez.html,10 PC Mild,2013,TRINIDAD JAMES
HomeGirl$,../lyrics/trinidadjames/homegirl.html,10 PC Mild,2013,TRINIDAD JAMES
Jumpin Off Texa$,../lyrics/trinidadjames/jumpinofftexa.html,10 PC Mild,2013,TRINIDAD JAMES
Bino$ Vs. Bree$,../lyrics/trinidadjames/binovsbree.html,10 PC Mild,2013,TRINIDAD JAMES
Ro$enberg$,../lyrics/trinidadjames/roenberg.html,10 PC Mild,2013,TRINIDAD JAMES
Ea$tside,../lyrics/trinidadjames/eatside.html,10 PC Mild,2013,TRINIDAD JAMES
,,10 PC Mild,2013,TRINIDAD JAMES
Morning Wood,../lyrics/trinidadjames/morningwood.html,The Wake Up,2015,TRINIDAD JAMES
Get Dre$$ed,../lyrics/trinidadjames/getdreed.html,The Wake Up,2015,TRINIDAD JAMES
Don't Ever Lose Your Joy,../lyrics/trinidadjames/donteverloseyourjoy.html,The Wake Up,2015,TRINIDAD JAMES
Have A Good Day,../lyrics/trinidadjames/haveagoodday.html,The Wake Up,2015,TRINIDAD JAMES
,,The Wake Up,2015,TRINIDAD JAMES
Jermone N Da House,../lyrics/trinidadjames/jermonendahouse.html,No One Is Safe,2015,TRINIDAD JAMES
H.O.M.E,../lyrics/trinidadjames/home.html,No One Is Safe,2015,TRINIDAD JAMES
ALLAU$,../lyrics/trinidadjames/allau.html,No One Is Safe,2015,TRINIDAD JAMES
Definition Of A Fuck Nigga,../lyrics/trinidadjames/definitionofafucknigga.html,No One Is Safe,2015,TRINIDAD JAMES
Only N Atlanta,../lyrics/trinidadjames/onlynatlanta.html,No One Is Safe,2015,TRINIDAD JAMES
Talk That $hit Trinidad,../lyrics/trinidadjames/talkthathittrinidad.html,No One Is Safe,2015,TRINIDAD JAMES
$hroom Party,../lyrics/trinidadjames/hroomparty.html,No One Is Safe,2015,TRINIDAD JAMES
T Jame$ Expre$$,../lyrics/trinidadjames/tjameexpre.html,No One Is Safe,2015,TRINIDAD JAMES
Fuck That Stre$$,../lyrics/trinidadjames/fuckthatstre.html,No One Is Safe,2015,TRINIDAD JAMES
My Rule$,../lyrics/trinidadjames/myrule.html,No One Is Safe,2015,TRINIDAD JAMES
,,No One Is Safe,2015,TRINIDAD JAMES
$till Aware,../lyrics/trinidadjames/tillaware.html,Trappy Mother's Day,2016,TRINIDAD JAMES
$till Hustlin,../lyrics/trinidadjames/tillhustlin.html,Trappy Mother's Day,2016,TRINIDAD JAMES
,,Trappy Mother's Day,2016,TRINIDAD JAMES
Taylor Swift,../lyrics/trinidadjames/taylorswift.html,The Wake Up 2,2016,TRINIDAD JAMES
Meek N Nicki,../lyrics/trinidadjames/meeknnicki.html,The Wake Up 2,2016,TRINIDAD JAMES
S.M.B.A.L,../lyrics/trinidadjames/smbal.html,The Wake Up 2,2016,TRINIDAD JAMES
Henny Cup$,../lyrics/trinidadjames/hennycup.html,The Wake Up 2,2016,TRINIDAD JAMES
A Lobster Pizza Bitch,../lyrics/trinidadjames/alobsterpizzabitch.html,The Wake Up 2,2016,TRINIDAD JAMES
Ooooo Child Freestyle,../lyrics/trinidadjames/ooooochildfreestyle.html,The Wake Up 2,2016,TRINIDAD JAMES
Never,../lyrics/trinidadjames/never.html,The Wake Up 2,2016,TRINIDAD JAMES
#868,../lyrics/trinidadjames/868.html,,,TRINIDAD JAMES
All Gold Everything (Remix),../lyrics/trinidadjames/allgoldeverythingremix.html,,,TRINIDAD JAMES
Females Welcomed (Remix),../lyrics/trinidadjames/femaleswelcomedremix.html,,,TRINIDAD JAMES
Just A Lil Thick (She Juicy),../lyrics/trinidadjames/justalilthickshejuicy.html,,,TRINIDAD JAMES
Palm Trees,../lyrics/trinidadjames/palmtrees.html,,,TRINIDAD JAMES
She Might Be A Lesbian,../lyrics/trinidadjames/shemightbealesbian.html,,,TRINIDAD JAMES
Shut Up,../lyrics/trinidadjames/shutup.html,,,TRINIDAD JAMES
