song,link,album,year,artist
Wicked,../lyrics/tylershaw/wicked.html,Yesterday,2015,TYLER SHAW
It Happens All The Time,../lyrics/tylershaw/ithappensallthetime.html,Yesterday,2015,TYLER SHAW
Dizzy,../lyrics/tylershaw/dizzy.html,Yesterday,2015,TYLER SHAW
Life Without You,../lyrics/tylershaw/lifewithoutyou.html,Yesterday,2015,TYLER SHAW
House Of Cards,../lyrics/tylershaw/houseofcards.html,Yesterday,2015,TYLER SHAW
One Wish,../lyrics/tylershaw/onewish.html,Yesterday,2015,TYLER SHAW
Yesterday,../lyrics/tylershaw/yesterday.html,Yesterday,2015,TYLER SHAW
By My Side,../lyrics/tylershaw/bymyside.html,Yesterday,2015,TYLER SHAW
Showtime,../lyrics/tylershaw/showtime.html,Yesterday,2015,TYLER SHAW
Don't Be,../lyrics/tylershaw/dontbe.html,Yesterday,2015,TYLER SHAW
Kiss Goodnight,../lyrics/tylershaw/kissgoodnight.html,Yesterday,2015,TYLER SHAW
Criminal,../lyrics/tylershaw/criminal.html,Yesterday,2015,TYLER SHAW
Let's Just Pretend,../lyrics/tylershaw/letsjustpretend.html,Yesterday,2015,TYLER SHAW
