song,link,album,year,artist
Boogie,../lyrics/ufo/boogie.html,UFO 1,1970,UFO
C'mon Everybody,../lyrics/ufo/cmoneverybody.html,UFO 1,1970,UFO
Shake It About,../lyrics/ufo/shakeitabout.html,UFO 1,1970,UFO
(Come Away) Melinda,../lyrics/ufo/comeawaymelinda.html,UFO 1,1970,UFO
Timothy,../lyrics/ufo/timothy.html,UFO 1,1970,UFO
Follow You Home,../lyrics/ufo/followyouhome.html,UFO 1,1970,UFO
Treacle People,../lyrics/ufo/treaclepeople.html,UFO 1,1970,UFO
Who Do You Love,../lyrics/ufo/whodoyoulove.html,UFO 1,1970,UFO
Evil,../lyrics/ufo/evil.html,UFO 1,1970,UFO
,,UFO 1,1970,UFO
Silver Bird,../lyrics/ufo/silverbird.html,UFO 2: Flying,1971,UFO
Star Storm,../lyrics/ufo/starstorm.html,UFO 2: Flying,1971,UFO
Prince Kajuku,../lyrics/ufo/princekajuku.html,UFO 2: Flying,1971,UFO
Flying,../lyrics/ufo/flying.html,UFO 2: Flying,1971,UFO
Boogie For George,../lyrics/ufo/boogieforgeorge.html,UFO 2: Flying,1971,UFO
,,UFO 2: Flying,1971,UFO
Oh My,../lyrics/ufo/ohmy.html,Phenomenon,1974,UFO
Crystal Light,../lyrics/ufo/crystallight.html,Phenomenon,1974,UFO
Doctor Doctor,../lyrics/ufo/doctordoctor.html,Phenomenon,1974,UFO
Space Child,../lyrics/ufo/spacechild.html,Phenomenon,1974,UFO
Rock Bottom,../lyrics/ufo/rockbottom.html,Phenomenon,1974,UFO
Too Young To Know,../lyrics/ufo/tooyoungtoknow.html,Phenomenon,1974,UFO
Time On My Hands,../lyrics/ufo/timeonmyhands.html,Phenomenon,1974,UFO
Built For Comfort,../lyrics/ufo/builtforcomfort.html,Phenomenon,1974,UFO
Queen Of The Deep,../lyrics/ufo/queenofthedeep.html,Phenomenon,1974,UFO
,,Phenomenon,1974,UFO
Let It Roll,../lyrics/ufo/letitroll.html,Force It,1975,UFO
Shoot Shoot,../lyrics/ufo/shootshoot.html,Force It,1975,UFO
High Flyer,../lyrics/ufo/highflyer.html,Force It,1975,UFO
Love Lost Love,../lyrics/ufo/lovelostlove.html,Force It,1975,UFO
Out In The Street,../lyrics/ufo/outinthestreet.html,Force It,1975,UFO
Mother Mary,../lyrics/ufo/mothermary.html,Force It,1975,UFO
Too Much Of Nothing,../lyrics/ufo/toomuchofnothing.html,Force It,1975,UFO
Dance Your Life Away,../lyrics/ufo/danceyourlifeaway.html,Force It,1975,UFO
This Kid's / Between The Walls,../lyrics/ufo/thiskidsbetweenthewalls.html,Force It,1975,UFO
,,Force It,1975,UFO
Natural Thing,../lyrics/ufo/naturalthing.html,No Heavy Petting,1976,UFO
I'm A Loser,../lyrics/ufo/imaloser.html,No Heavy Petting,1976,UFO
Can You Roll Her,../lyrics/ufo/canyourollher.html,No Heavy Petting,1976,UFO
Belladonna,../lyrics/ufo/belladonna.html,No Heavy Petting,1976,UFO
Reasons Love,../lyrics/ufo/reasonslove.html,No Heavy Petting,1976,UFO
Highway Lady,../lyrics/ufo/highwaylady.html,No Heavy Petting,1976,UFO
On With The Action,../lyrics/ufo/onwiththeaction.html,No Heavy Petting,1976,UFO
A Fool In Love,../lyrics/ufo/afoolinlove.html,No Heavy Petting,1976,UFO
Martian Landscape,../lyrics/ufo/martianlandscape.html,No Heavy Petting,1976,UFO
,,No Heavy Petting,1976,UFO
Too Hot To Handle,../lyrics/ufo/toohottohandle.html,Lights Out,1977,UFO
Just Another Suicide,../lyrics/ufo/justanothersuicide.html,Lights Out,1977,UFO
Try Me,../lyrics/ufo/tryme.html,Lights Out,1977,UFO
Lights Out,../lyrics/ufo/lightsout.html,Lights Out,1977,UFO
Gettin' Ready,../lyrics/ufo/gettinready.html,Lights Out,1977,UFO
Alone Again Or,../lyrics/ufo/aloneagainor.html,Lights Out,1977,UFO
Electric Phase,../lyrics/ufo/electricphase.html,Lights Out,1977,UFO
Love To Love,../lyrics/ufo/lovetolove.html,Lights Out,1977,UFO
,,Lights Out,1977,UFO
Only You Can Rock Me,../lyrics/ufo/onlyyoucanrockme.html,Obsession,1978,UFO
Pack It Up (And Go),../lyrics/ufo/packitupandgo.html,Obsession,1978,UFO
Ain't No Body,../lyrics/ufo/aintnobody.html,Obsession,1978,UFO
Looking Out For No. 1,../lyrics/ufo/lookingoutforno1.html,Obsession,1978,UFO
Hot 'N' Ready,../lyrics/ufo/hotnready.html,Obsession,1978,UFO
Cherry,../lyrics/ufo/cherry.html,Obsession,1978,UFO
You Don't Fool Me,../lyrics/ufo/youdontfoolme.html,Obsession,1978,UFO
One More For The Rodeo,../lyrics/ufo/onemorefortherodeo.html,Obsession,1978,UFO
Born To Lose,../lyrics/ufo/borntolose.html,Obsession,1978,UFO
,,Obsession,1978,UFO
Lettin' Go,../lyrics/ufo/lettingo.html,No Place To Run,1980,UFO
Mystery Train,../lyrics/ufo/mysterytrain.html,No Place To Run,1980,UFO
This Fire Burns Tonight,../lyrics/ufo/thisfireburnstonight.html,No Place To Run,1980,UFO
Gone In The Night,../lyrics/ufo/goneinthenight.html,No Place To Run,1980,UFO
Young Blood,../lyrics/ufo/youngblood.html,No Place To Run,1980,UFO
No Place To Run,../lyrics/ufo/noplacetorun.html,No Place To Run,1980,UFO
Take It Or Leave It,../lyrics/ufo/takeitorleaveit.html,No Place To Run,1980,UFO
Money Money,../lyrics/ufo/moneymoney.html,No Place To Run,1980,UFO
Any Day,../lyrics/ufo/anyday.html,No Place To Run,1980,UFO
,,No Place To Run,1980,UFO
Chains Chains,../lyrics/ufo/chainschains.html,"The Wild, The Willing And The Innocent",1981,UFO
Long Gone,../lyrics/ufo/longgone.html,"The Wild, The Willing And The Innocent",1981,UFO
"The Wild, The Willing And The Innocent",../lyrics/ufo/thewildthewillingandtheinnocent.html,"The Wild, The Willing And The Innocent",1981,UFO
It's Killing Me,../lyrics/ufo/itskillingme.html,"The Wild, The Willing And The Innocent",1981,UFO
Makin' Moves,../lyrics/ufo/makinmoves.html,"The Wild, The Willing And The Innocent",1981,UFO
Lonely Heart,../lyrics/ufo/lonelyheart.html,"The Wild, The Willing And The Innocent",1981,UFO
Couldn't Get It Right,../lyrics/ufo/couldntgetitright.html,"The Wild, The Willing And The Innocent",1981,UFO
Profession Of Violence,../lyrics/ufo/professionofviolence.html,"The Wild, The Willing And The Innocent",1981,UFO
,,"The Wild, The Willing And The Innocent",1981,UFO
The Writer,../lyrics/ufo/thewriter.html,Mechanix,1982,UFO
Somethin' Else,../lyrics/ufo/somethinelse.html,Mechanix,1982,UFO
Back Into My Life,../lyrics/ufo/backintomylife.html,Mechanix,1982,UFO
You'll Get Love,../lyrics/ufo/youllgetlove.html,Mechanix,1982,UFO
Doing It All For You,../lyrics/ufo/doingitallforyou.html,Mechanix,1982,UFO
We Belong To The Night,../lyrics/ufo/webelongtothenight.html,Mechanix,1982,UFO
Let It Rain,../lyrics/ufo/letitrain.html,Mechanix,1982,UFO
Terri,../lyrics/ufo/terri.html,Mechanix,1982,UFO
Feel It,../lyrics/ufo/feelit.html,Mechanix,1982,UFO
Dreaming,../lyrics/ufo/dreaming.html,Mechanix,1982,UFO
,,Mechanix,1982,UFO
Blinded By A Lie,../lyrics/ufo/blindedbyalie.html,Making Contact,1983,UFO
Diesel In The Dust,../lyrics/ufo/dieselinthedust.html,Making Contact,1983,UFO
A Fool For Love,../lyrics/ufo/afoolforlove.html,Making Contact,1983,UFO
You And Me,../lyrics/ufo/youandme.html,Making Contact,1983,UFO
When It's Time To Rock,../lyrics/ufo/whenitstimetorock.html,Making Contact,1983,UFO
The Way The Wild Wind Blows,../lyrics/ufo/thewaythewildwindblows.html,Making Contact,1983,UFO
Call My Name,../lyrics/ufo/callmyname.html,Making Contact,1983,UFO
All Over You,../lyrics/ufo/alloveryou.html,Making Contact,1983,UFO
No Getaway,../lyrics/ufo/nogetaway.html,Making Contact,1983,UFO
"Push, It's Love",../lyrics/ufo/pushitslove.html,Making Contact,1983,UFO
,,Making Contact,1983,UFO
This Time,../lyrics/ufo/thistime.html,Misdemeanor,1985,UFO
One Heart,../lyrics/ufo/oneheart.html,Misdemeanor,1985,UFO
Night Run,../lyrics/ufo/nightrun.html,Misdemeanor,1985,UFO
The Only Ones,../lyrics/ufo/theonlyones.html,Misdemeanor,1985,UFO
Meanstreets,../lyrics/ufo/meanstreets.html,Misdemeanor,1985,UFO
Name Of Love,../lyrics/ufo/nameoflove.html,Misdemeanor,1985,UFO
Blue,../lyrics/ufo/blue.html,Misdemeanor,1985,UFO
Dream The Dream,../lyrics/ufo/dreamthedream.html,Misdemeanor,1985,UFO
Heaven's Gate,../lyrics/ufo/heavensgate.html,Misdemeanor,1985,UFO
Wreckless,../lyrics/ufo/wreckless.html,Misdemeanor,1985,UFO
,,Misdemeanor,1985,UFO
Between A Rock And A Hard Place,../lyrics/ufo/betweenarockandahardplace.html,Ain't Misbehavin',1988,UFO
Another Saturday Night,../lyrics/ufo/anothersaturdaynight.html,Ain't Misbehavin',1988,UFO
At War With The World,../lyrics/ufo/atwarwiththeworld.html,Ain't Misbehavin',1988,UFO
Hunger In The Night,../lyrics/ufo/hungerinthenight.html,Ain't Misbehavin',1988,UFO
Easy Money,../lyrics/ufo/easymoney.html,Ain't Misbehavin',1988,UFO
"Rock Boyz, Rock",../lyrics/ufo/rockboyzrock.html,Ain't Misbehavin',1988,UFO
Lonely Cities (Of The Heart),../lyrics/ufo/lonelycitiesoftheheart.html,Ain't Misbehavin',1988,UFO
,,Ain't Misbehavin',1988,UFO
Borderline,../lyrics/ufo/borderline.html,High Stakes & Dangerous Men,1992,UFO
Primed For Time,../lyrics/ufo/primedfortime.html,High Stakes & Dangerous Men,1992,UFO
She's The One,../lyrics/ufo/shestheone.html,High Stakes & Dangerous Men,1992,UFO
Ain't Life Sweet,../lyrics/ufo/aintlifesweet.html,High Stakes & Dangerous Men,1992,UFO
Don't Want To Lose You,../lyrics/ufo/dontwanttoloseyou.html,High Stakes & Dangerous Men,1992,UFO
Burnin' Fire,../lyrics/ufo/burninfire.html,High Stakes & Dangerous Men,1992,UFO
Running Up The Highway,../lyrics/ufo/runningupthehighway.html,High Stakes & Dangerous Men,1992,UFO
Back Door Man,../lyrics/ufo/backdoorman.html,High Stakes & Dangerous Men,1992,UFO
One Of Those Nights,../lyrics/ufo/oneofthosenights.html,High Stakes & Dangerous Men,1992,UFO
Revolution,../lyrics/ufo/revolution.html,High Stakes & Dangerous Men,1992,UFO
Love Deadly Love,../lyrics/ufo/lovedeadlylove.html,High Stakes & Dangerous Men,1992,UFO
Let The Good Time Roll,../lyrics/ufo/letthegoodtimeroll.html,High Stakes & Dangerous Men,1992,UFO
,,High Stakes & Dangerous Men,1992,UFO
Self-Made Man,../lyrics/ufo/selfmademan.html,Walk On Water,1995,UFO
Venus,../lyrics/ufo/venus.html,Walk On Water,1995,UFO
Pushed To The Limit,../lyrics/ufo/pushedtothelimit.html,Walk On Water,1995,UFO
Stopped By A Bullet,../lyrics/ufo/stoppedbyabullet.html,Walk On Water,1995,UFO
Darker Days,../lyrics/ufo/darkerdays.html,Walk On Water,1995,UFO
Running On Empty,../lyrics/ufo/runningonempty.html,Walk On Water,1995,UFO
"Knock, Knock",../lyrics/ufo/knockknock.html,Walk On Water,1995,UFO
Dreaming Of Summer,../lyrics/ufo/dreamingofsummer.html,Walk On Water,1995,UFO
,,Walk On Water,1995,UFO
Love Is Forever,../lyrics/ufo/loveisforever.html,Covenant,2000,UFO
Unraveled,../lyrics/ufo/unraveled.html,Covenant,2000,UFO
Miss The Lights,../lyrics/ufo/missthelights.html,Covenant,2000,UFO
Midnight Train,../lyrics/ufo/midnighttrain.html,Covenant,2000,UFO
Fool's Gold,../lyrics/ufo/foolsgold.html,Covenant,2000,UFO
In The Middle Of Madness,../lyrics/ufo/inthemiddleofmadness.html,Covenant,2000,UFO
The Smell Of Money,../lyrics/ufo/thesmellofmoney.html,Covenant,2000,UFO
Rise Again,../lyrics/ufo/riseagain.html,Covenant,2000,UFO
Serenade,../lyrics/ufo/serenade.html,Covenant,2000,UFO
Cowboy Joe,../lyrics/ufo/cowboyjoe.html,Covenant,2000,UFO
The World And His Dog,../lyrics/ufo/theworldandhisdog.html,Covenant,2000,UFO
Mother Mary,../lyrics/ufo/mothermary.html,Covenant,2000,UFO
This Kid's / Between The Walls,../lyrics/ufo/thiskidsbetweenthewalls.html,Covenant,2000,UFO
Let It Roll,../lyrics/ufo/letitroll.html,Covenant,2000,UFO
Out In The Street,../lyrics/ufo/outinthestreet.html,Covenant,2000,UFO
Venus,../lyrics/ufo/venus.html,Covenant,2000,UFO
Pushed To The Limit,../lyrics/ufo/pushedtothelimit.html,Covenant,2000,UFO
Love To Love,../lyrics/ufo/lovetolove.html,Covenant,2000,UFO
,,Covenant,2000,UFO
Outlaw Man,../lyrics/ufo/outlawman.html,Sharks,2002,UFO
Quicksilver Rider,../lyrics/ufo/quicksilverrider.html,Sharks,2002,UFO
Serenity,../lyrics/ufo/serenity.html,Sharks,2002,UFO
Deadman Walking,../lyrics/ufo/deadmanwalking.html,Sharks,2002,UFO
Shadow Dancer,../lyrics/ufo/shadowdancer.html,Sharks,2002,UFO
Someone's Gonna Have To Pay,../lyrics/ufo/someonesgonnahavetopay.html,Sharks,2002,UFO
Sea Of Faith,../lyrics/ufo/seaoffaith.html,Sharks,2002,UFO
Fighting Man,../lyrics/ufo/fightingman.html,Sharks,2002,UFO
Perfect View,../lyrics/ufo/perfectview.html,Sharks,2002,UFO
Crossing Over,../lyrics/ufo/crossingover.html,Sharks,2002,UFO
,,Sharks,2002,UFO
When Daylight Goes To Town,../lyrics/ufo/whendaylightgoestotown.html,You Are Here,2004,UFO
Black Cold Coffee,../lyrics/ufo/blackcoldcoffee.html,You Are Here,2004,UFO
The Wild One,../lyrics/ufo/thewildone.html,You Are Here,2004,UFO
Give It Up,../lyrics/ufo/giveitup.html,You Are Here,2004,UFO
Call Me,../lyrics/ufo/callme.html,You Are Here,2004,UFO
Slipping Away,../lyrics/ufo/slippingaway.html,You Are Here,2004,UFO
The Spark That Is Us,../lyrics/ufo/thesparkthatisus.html,You Are Here,2004,UFO
Sympathy,../lyrics/ufo/sympathy.html,You Are Here,2004,UFO
Mr. Freeze,../lyrics/ufo/mrfreeze.html,You Are Here,2004,UFO
Jello Man,../lyrics/ufo/jelloman.html,You Are Here,2004,UFO
Baby Blue,../lyrics/ufo/babyblue.html,You Are Here,2004,UFO
Swallow,../lyrics/ufo/swallow.html,You Are Here,2004,UFO
Messing Up The Bed,../lyrics/ufo/messingupthebed.html,You Are Here,2004,UFO
,,You Are Here,2004,UFO
Hard Being Me,../lyrics/ufo/hardbeingme.html,The Monkey Puzzle,2006,UFO
Heavenly Body,../lyrics/ufo/heavenlybody.html,The Monkey Puzzle,2006,UFO
Some Other Guy,../lyrics/ufo/someotherguy.html,The Monkey Puzzle,2006,UFO
Who's Fooling Who?,../lyrics/ufo/whosfoolingwho.html,The Monkey Puzzle,2006,UFO
