song,link,album,year,artist
Carry You,../lyrics/unionj/carryyou.html,Union J,2013,UNION J
Beautiful Life,../lyrics/unionj/beautifullife.html,Union J,2013,UNION J
Loving You Is Easy,../lyrics/unionj/lovingyouiseasy.html,Union J,2013,UNION J
Last Goodbye,../lyrics/unionj/lastgoodbye.html,Union J,2013,UNION J
Beethoven,../lyrics/unionj/beethoven.html,Union J,2013,UNION J
Head In The Clouds,../lyrics/unionj/headintheclouds.html,Union J,2013,UNION J
Where Are You Now,../lyrics/unionj/whereareyounow.html,Union J,2013,UNION J
Save The Last Dance,../lyrics/unionj/savethelastdance.html,Union J,2013,UNION J
Amaze Me,../lyrics/unionj/amazeme.html,Union J,2013,UNION J
Skyscraper,../lyrics/unionj/skyscraper.html,Union J,2013,UNION J
Lucky Ones,../lyrics/unionj/luckyones.html,Union J,2013,UNION J
,,Union J,2013,UNION J
Tonight (We Live Forever),../lyrics/unionj/tonightweliveforever.html,You Got It All - The Album,2014,UNION J
You Got It All,../lyrics/unionj/yougotitall.html,You Got It All - The Album,2014,UNION J
All About A Girl,../lyrics/unionj/allaboutagirl.html,You Got It All - The Album,2014,UNION J
One More Time,../lyrics/unionj/onemoretime.html,You Got It All - The Album,2014,UNION J
Together,../lyrics/unionj/together.html,You Got It All - The Album,2014,UNION J
I Can't Make You Love Me,../lyrics/unionj/icantmakeyouloveme.html,You Got It All - The Album,2014,UNION J
She's In My Head,../lyrics/unionj/shesinmyhead.html,You Got It All - The Album,2014,UNION J
Midnight Train,../lyrics/unionj/midnighttrain.html,You Got It All - The Album,2014,UNION J
I Love To Watch You Sleep,../lyrics/unionj/ilovetowatchyousleep.html,You Got It All - The Album,2014,UNION J
Central Park,../lyrics/unionj/centralpark.html,You Got It All - The Album,2014,UNION J
Girl Like You,../lyrics/unionj/girllikeyou.html,You Got It All - The Album,2014,UNION J
Yolo,../lyrics/unionj/yolo.html,You Got It All - The Album,2014,UNION J
Get It Right,../lyrics/unionj/getitright.html,You Got It All - The Album,2014,UNION J
Song For You And I,../lyrics/unionj/songforyouandi.html,You Got It All - The Album,2014,UNION J
It's Beginning To Look A Lot Like Christmas,../lyrics/unionj/itsbeginningtolookalotlikechristmas.html,You Got It All - The Album,2014,UNION J
Love Story,../lyrics/unionj/lovestory.html,,,UNION J
Run,../lyrics/unionj/run.html,,,UNION J
Smile,../lyrics/unionj/smile.html,,,UNION J
Touch,../lyrics/unionj/touch.html,,,UNION J
