song,link,album,year,artist
The Greatest,../lyrics/vado/thegreatest.html,Slime Flu,2010,VADO
Celebration,../lyrics/vado/celebration.html,Slime Flu,2010,VADO
Rugby Down,../lyrics/vado/rugbydown.html,Slime Flu,2010,VADO
Snapped,../lyrics/vado/snapped.html,Slime Flu,2010,VADO
,,Slime Flu,2010,VADO
The Awards,../lyrics/vado/theawards.html,Slime Flu 3,2013,VADO
Back Again,../lyrics/vado/backagain.html,Slime Flu 3,2013,VADO
My Team Go,../lyrics/vado/myteamgo.html,Slime Flu 3,2013,VADO
No Turning Back,../lyrics/vado/noturningback.html,Slime Flu 3,2013,VADO
Bad Bitches Everywhere,../lyrics/vado/badbitcheseverywhere.html,Slime Flu 3,2013,VADO
Kill 'Em Wit,../lyrics/vado/killemwit.html,Slime Flu 3,2013,VADO
Right Now,../lyrics/vado/rightnow.html,Slime Flu 3,2013,VADO
Full Clip,../lyrics/vado/fullclip.html,Slime Flu 3,2013,VADO
Gotta Get Mine,../lyrics/vado/gottagetmine.html,Slime Flu 3,2013,VADO
Sleep On Me,../lyrics/vado/sleeponme.html,Slime Flu 3,2013,VADO
i55,../lyrics/vado/i55.html,Slime Flu 3,2013,VADO
What U Like,../lyrics/vado/whatulike.html,Slime Flu 3,2013,VADO
You Ain't Good,../lyrics/vado/youaintgood.html,Slime Flu 3,2013,VADO
When I Die,../lyrics/vado/whenidie.html,Slime Flu 3,2013,VADO
Off Hiatus,../lyrics/vado/offhiatus.html,Slime Flu 3,2013,VADO
Badman,../lyrics/vado/badman.html,Slime Flu 3,2013,VADO
14 Bricks,../lyrics/vado/14bricks.html,Slime Flu 3,2013,VADO
,,Slime Flu 3,2013,VADO
Intro,../lyrics/vado/intro.html,V Day,2013,VADO
My Medicine,../lyrics/vado/mymedicine.html,V Day,2013,VADO
Tell Me,../lyrics/vado/tellme.html,V Day,2013,VADO
My Valentine,../lyrics/vado/myvalentine.html,V Day,2013,VADO
Can't Explain,../lyrics/vado/cantexplain.html,V Day,2013,VADO
She Got It,../lyrics/vado/shegotit.html,V Day,2013,VADO
Motivated,../lyrics/vado/motivated.html,V Day,2013,VADO
,,V Day,2013,VADO
White Collar (Intro),../lyrics/vado/whitecollarintro.html,4,2013,VADO
American Gangster,../lyrics/vado/americangangster.html,4,2013,VADO
Kopy,../lyrics/vado/kopy.html,4,2013,VADO
Heard You,../lyrics/vado/heardyou.html,4,2013,VADO
Straight For The Summer,../lyrics/vado/straightforthesummer.html,4,2013,VADO
Boy,../lyrics/vado/boy.html,4,2013,VADO
Pardon Me,../lyrics/vado/pardonme.html,4,2013,VADO
My Condolences,../lyrics/vado/mycondolences.html,4,2013,VADO
Fast Lane,../lyrics/vado/fastlane.html,4,2013,VADO
In The Air,../lyrics/vado/intheair.html,4,2013,VADO
God Hour,../lyrics/vado/godhour.html,4,2013,VADO
,,4,2013,VADO
Week Ago,../lyrics/vado/weekago.html,Sinatra,2014,VADO
Look Me In My Eyes,../lyrics/vado/lookmeinmyeyes.html,Sinatra,2014,VADO
Be Like,../lyrics/vado/belike.html,Sinatra,2014,VADO
2 Fingers,../lyrics/vado/2fingers.html,Sinatra,2014,VADO
Pimpin,../lyrics/vado/pimpin.html,Sinatra,2014,VADO
I Need,../lyrics/vado/ineed.html,Sinatra,2014,VADO
Check 'em Out,../lyrics/vado/checkemout.html,,,VADO
Hands Down,../lyrics/vado/handsdown.html,,,VADO
Large On The Streets,../lyrics/vado/largeonthestreets.html,,,VADO
My Bae,../lyrics/vado/mybae.html,,,VADO
On His Own,../lyrics/vado/onhisown.html,,,VADO
Respect The Jux,../lyrics/vado/respectthejux.html,,,VADO
Wake Up,../lyrics/vado/wakeup.html,,,VADO
We Da Wave,../lyrics/vado/wedawave.html,,,VADO
We Go Hard,../lyrics/vado/wegohard.html,,,VADO
What Lies Beneath,../lyrics/vado/whatliesbeneath.html,,,VADO
Womens Threats,../lyrics/vado/womensthreats.html,,,VADO
You Already,../lyrics/vado/youalready.html,,,VADO
