song,link,album,year,artist
I Waited For You,../lyrics/valora/iwaitedforyou.html,I Waited For You,2012,VALORA
Extreme,../lyrics/valora/extreme.html,I Waited For You,2012,VALORA
Live,../lyrics/valora/live.html,I Waited For You,2012,VALORA
Forgotten,../lyrics/valora/forgotten.html,I Waited For You,2012,VALORA
You Make It Ok,../lyrics/valora/youmakeitok.html,I Waited For You,2012,VALORA
I Like What You're Doing,../lyrics/valora/ilikewhatyouredoing.html,I Waited For You,2012,VALORA
Better When You Don't Know Better,../lyrics/valora/betterwhenyoudontknowbetter.html,I Waited For You,2012,VALORA
Irreversible,../lyrics/valora/irreversible.html,I Waited For You,2012,VALORA
Life Hungover,../lyrics/valora/lifehungover.html,I Waited For You,2012,VALORA
No Matter What,../lyrics/valora/nomatterwhat.html,I Waited For You,2012,VALORA
Summer Stay,../lyrics/valora/summerstay.html,I Waited For You,2012,VALORA
Can You Save Me Now,../lyrics/valora/canyousavemenow.html,,,VALORA
Electric Angel,../lyrics/valora/electricangel.html,,,VALORA
Let's Be Bad,../lyrics/valora/letsbebad.html,,,VALORA
React,../lyrics/valora/react.html,,,VALORA
