song,link,album,year,artist
I Don't Wanna Miss A Thing,../lyrics/anneliesevanderpol/idontwannamissathing.html,Vanities: A New Musical,2009,"VAN DER POL, ANNELIESE"
I Can't Imagine,../lyrics/anneliesevanderpol/icantimagine.html,Vanities: A New Musical,2009,"VAN DER POL, ANNELIESE"
An Organized Life,../lyrics/anneliesevanderpol/anorganizedlife.html,Vanities: A New Musical,2009,"VAN DER POL, ANNELIESE"
Cute Boys With Short Haircuts,../lyrics/anneliesevanderpol/cuteboyswithshorthaircuts.html,Vanities: A New Musical,2009,"VAN DER POL, ANNELIESE"
Friendship Isn't What It Used To Be,../lyrics/anneliesevanderpol/friendshipisntwhatitusedtobe.html,Vanities: A New Musical,2009,"VAN DER POL, ANNELIESE"
A Day In The Sun,../lyrics/anneliesevanderpol/adayinthesun.html,,,"VAN DER POL, ANNELIESE"
Alone In The Hallways,../lyrics/anneliesevanderpol/aloneinthehallways.html,,,"VAN DER POL, ANNELIESE"
Candle On The Water,../lyrics/anneliesevanderpol/candleonthewater.html,,,"VAN DER POL, ANNELIESE"
Friends,../lyrics/anneliesevanderpol/friends.html,,,"VAN DER POL, ANNELIESE"
Let's Stick Together,../lyrics/anneliesevanderpol/letssticktogether.html,,,"VAN DER POL, ANNELIESE"
Over It,../lyrics/anneliesevanderpol/overit.html,,,"VAN DER POL, ANNELIESE"
