song,link,album,year,artist
Crush,../lyrics/paulvandyk/crush.html,Reflections,2003,"VAN DYK, PAUL"
Time Of Our Lives,../lyrics/paulvandyk/timeofourlives.html,Reflections,2003,"VAN DYK, PAUL"
Like A Friend,../lyrics/paulvandyk/likeafriend.html,Reflections,2003,"VAN DYK, PAUL"
Homage,../lyrics/paulvandyk/homage.html,Reflections,2003,"VAN DYK, PAUL"
Knowledge,../lyrics/paulvandyk/knowledge.html,Reflections,2003,"VAN DYK, PAUL"
That's Life,../lyrics/paulvandyk/thatslife.html,Reflections,2003,"VAN DYK, PAUL"
Spellbound,../lyrics/paulvandyk/spellbound.html,Reflections,2003,"VAN DYK, PAUL"
Kaleidoscope,../lyrics/paulvandyk/kaleidoscope.html,Reflections,2003,"VAN DYK, PAUL"
,,Reflections,2003,"VAN DYK, PAUL"
Haunted,../lyrics/paulvandyk/haunted.html,In Between,2007,"VAN DYK, PAUL"
White Lies,../lyrics/paulvandyk/whitelies.html,In Between,2007,"VAN DYK, PAUL"
Complicated,../lyrics/paulvandyk/complicated.html,In Between,2007,"VAN DYK, PAUL"
Get Back,../lyrics/paulvandyk/getback.html,In Between,2007,"VAN DYK, PAUL"
Another Sunday,../lyrics/paulvandyk/anothersunday.html,In Between,2007,"VAN DYK, PAUL"
Talk In Grey,../lyrics/paulvandyk/talkingrey.html,In Between,2007,"VAN DYK, PAUL"
Stormy Skies,../lyrics/paulvandyk/stormyskies.html,In Between,2007,"VAN DYK, PAUL"
New York City,../lyrics/paulvandyk/newyorkcity.html,In Between,2007,"VAN DYK, PAUL"
Castaway,../lyrics/paulvandyk/castaway.html,In Between,2007,"VAN DYK, PAUL"
Let Go,../lyrics/paulvandyk/letgo.html,In Between,2007,"VAN DYK, PAUL"
Fall With Me,../lyrics/paulvandyk/fallwithme.html,In Between,2007,"VAN DYK, PAUL"
,,In Between,2007,"VAN DYK, PAUL"
The Ocean,../lyrics/paulvandyk/theocean.html,Evolution,2012,"VAN DYK, PAUL"
Eternity,../lyrics/paulvandyk/eternity.html,Evolution,2012,"VAN DYK, PAUL"
I Don't Deserve You,../lyrics/paulvandyk/idontdeserveyou.html,Evolution,2012,"VAN DYK, PAUL"
The Sun After Heartbreak,../lyrics/paulvandyk/thesunafterheartbreak.html,Evolution,2012,"VAN DYK, PAUL"
All The Way,../lyrics/paulvandyk/alltheway.html,Evolution,2012,"VAN DYK, PAUL"
If You Want My Love,../lyrics/paulvandyk/ifyouwantmylove.html,Evolution,2012,"VAN DYK, PAUL"
Lost In Berlin,../lyrics/paulvandyk/lostinberlin.html,Evolution,2012,"VAN DYK, PAUL"
Everywhere,../lyrics/paulvandyk/everywhere.html,Evolution,2012,"VAN DYK, PAUL"
We Come Together,../lyrics/paulvandyk/wecometogether.html,Evolution,2012,"VAN DYK, PAUL"
Heart Stops Beating,../lyrics/paulvandyk/heartstopsbeating.html,Evolution,2012,"VAN DYK, PAUL"
Open My Eyes,../lyrics/paulvandyk/openmyeyes.html,Evolution,2012,"VAN DYK, PAUL"
Everyone Needs Love,../lyrics/paulvandyk/everyoneneedslove.html,,,"VAN DYK, PAUL"
Faithless Bring My Family Back,../lyrics/paulvandyk/faithlessbringmyfamilyback.html,,,"VAN DYK, PAUL"
For An Angel (Found A Lover),../lyrics/paulvandyk/foranangelfoundalover.html,,,"VAN DYK, PAUL"
In Your Arms,../lyrics/paulvandyk/inyourarms.html,,,"VAN DYK, PAUL"
Lights,../lyrics/paulvandyk/lights.html,,,"VAN DYK, PAUL"
One And One,../lyrics/paulvandyk/oneandone.html,,,"VAN DYK, PAUL"
Only In A Dream,../lyrics/paulvandyk/onlyinadream.html,,,"VAN DYK, PAUL"
Tell Me Why (The Riddle),../lyrics/paulvandyk/tellmewhytheriddle.html,,,"VAN DYK, PAUL"
The Other Side,../lyrics/paulvandyk/theotherside.html,,,"VAN DYK, PAUL"
Together We Will Conquer,../lyrics/paulvandyk/togetherwewillconquer.html,,,"VAN DYK, PAUL"
We Are Alive,../lyrics/paulvandyk/wearealive.html,,,"VAN DYK, PAUL"
What We're Livin For,../lyrics/paulvandyk/whatwerelivinfor.html,,,"VAN DYK, PAUL"
