song,link,album,year,artist
Carlene,../lyrics/philvassar/carlene.html,Phil Vassar,2000,"VASSAR, PHIL"
Just Another Day In Paradise,../lyrics/philvassar/justanotherdayinparadise.html,Phil Vassar,2000,"VASSAR, PHIL"
That's When I Love You,../lyrics/philvassar/thatswheniloveyou.html,Phil Vassar,2000,"VASSAR, PHIL"
Rose Bouquet,../lyrics/philvassar/rosebouquet.html,Phil Vassar,2000,"VASSAR, PHIL"
Joe & Rosalita,../lyrics/philvassar/joerosalita.html,Phil Vassar,2000,"VASSAR, PHIL"
Six-Pack Summer,../lyrics/philvassar/sixpacksummer.html,Phil Vassar,2000,"VASSAR, PHIL"
Lucky As Me,../lyrics/philvassar/luckyasme.html,Phil Vassar,2000,"VASSAR, PHIL"
Like I Never Loved Before,../lyrics/philvassar/likeineverlovedbefore.html,Phil Vassar,2000,"VASSAR, PHIL"
Didn't You Know She's Gone,../lyrics/philvassar/didntyouknowshesgone.html,Phil Vassar,2000,"VASSAR, PHIL"
Somewhere In Between,../lyrics/philvassar/somewhereinbetween.html,Phil Vassar,2000,"VASSAR, PHIL"
Drive Away,../lyrics/philvassar/driveaway.html,Phil Vassar,2000,"VASSAR, PHIL"
,,Phil Vassar,2000,"VASSAR, PHIL"
American Child,../lyrics/philvassar/americanchild.html,American Child,2002,"VASSAR, PHIL"
Forgettin's So Long,../lyrics/philvassar/forgettinssolong.html,American Child,2002,"VASSAR, PHIL"
Time's Wastin',../lyrics/philvassar/timeswastin.html,American Child,2002,"VASSAR, PHIL"
I'm Already Gone,../lyrics/philvassar/imalreadygone.html,American Child,2002,"VASSAR, PHIL"
Athens Grease,../lyrics/philvassar/athensgrease.html,American Child,2002,"VASSAR, PHIL"
"Baby, You're Right",../lyrics/philvassar/babyyoureright.html,American Child,2002,"VASSAR, PHIL"
Ultimate Love,../lyrics/philvassar/ultimatelove.html,American Child,2002,"VASSAR, PHIL"
Stand Still,../lyrics/philvassar/standstill.html,American Child,2002,"VASSAR, PHIL"
Someone You Love,../lyrics/philvassar/someoneyoulove.html,American Child,2002,"VASSAR, PHIL"
Houston,../lyrics/philvassar/houston.html,American Child,2002,"VASSAR, PHIL"
I Thought I Never Would Forget,../lyrics/philvassar/ithoughtineverwouldforget.html,American Child,2002,"VASSAR, PHIL"
I'll Be The One,../lyrics/philvassar/illbetheone.html,American Child,2002,"VASSAR, PHIL"
,,American Child,2002,"VASSAR, PHIL"
Good Ole Days,../lyrics/philvassar/goodoledays.html,Shaken Not Stirred,2004,"VASSAR, PHIL"
In A Real Love,../lyrics/philvassar/inareallove.html,Shaken Not Stirred,2004,"VASSAR, PHIL"
What Happens In Vegas,../lyrics/philvassar/whathappensinvegas.html,Shaken Not Stirred,2004,"VASSAR, PHIL"
I'll Take That As A Yes (The Hot Tub Song),../lyrics/philvassar/illtakethatasayesthehottubsong.html,Shaken Not Stirred,2004,"VASSAR, PHIL"
Erase,../lyrics/philvassar/erase.html,Shaken Not Stirred,2004,"VASSAR, PHIL"
Here To Forget,../lyrics/philvassar/heretoforget.html,Shaken Not Stirred,2004,"VASSAR, PHIL"
I Miss The Innocence,../lyrics/philvassar/imisstheinnocence.html,Shaken Not Stirred,2004,"VASSAR, PHIL"
Amazing Grace,../lyrics/philvassar/amazinggrace.html,Shaken Not Stirred,2004,"VASSAR, PHIL"
Nobody Knows Me Like You,../lyrics/philvassar/nobodyknowsmelikeyou.html,Shaken Not Stirred,2004,"VASSAR, PHIL"
Dancin' With Dreams,../lyrics/philvassar/dancinwithdreams.html,Shaken Not Stirred,2004,"VASSAR, PHIL"
Gone By Dawn,../lyrics/philvassar/gonebydawn.html,Shaken Not Stirred,2004,"VASSAR, PHIL"
Black And Whites,../lyrics/philvassar/blackandwhites.html,Shaken Not Stirred,2004,"VASSAR, PHIL"
,,Shaken Not Stirred,2004,"VASSAR, PHIL"
This Is My Life,../lyrics/philvassar/thisismylife.html,Prayer Of A Common Man,2008,"VASSAR, PHIL"
Around Here Somewhere,../lyrics/philvassar/aroundheresomewhere.html,Prayer Of A Common Man,2008,"VASSAR, PHIL"
My Chevrolet,../lyrics/philvassar/mychevrolet.html,Prayer Of A Common Man,2008,"VASSAR, PHIL"
Love Is A Beautiful Thing,../lyrics/philvassar/loveisabeautifulthing.html,Prayer Of A Common Man,2008,"VASSAR, PHIL"
Prayer Of A Common Man,../lyrics/philvassar/prayerofacommonman.html,Prayer Of A Common Man,2008,"VASSAR, PHIL"
I Would,../lyrics/philvassar/iwould.html,Prayer Of A Common Man,2008,"VASSAR, PHIL"
