song,link,album,year,artist
Better Life,../lyrics/vega4/betterlife.html,Better Life,2001,VEGA4
Hearing Voices,../lyrics/vega4/hearingvoices.html,Better Life,2001,VEGA4
Summertime,../lyrics/vega4/summertime.html,Better Life,2001,VEGA4
30000 Dreams,../lyrics/vega4/30000dreams.html,Better Life,2001,VEGA4
,,Better Life,2001,VEGA4
Drifting Away Violently,../lyrics/vega4/driftingawayviolently.html,Satellites,2001,VEGA4
Sing,../lyrics/vega4/sing.html,Satellites,2001,VEGA4
Radio Song,../lyrics/vega4/radiosong.html,Satellites,2001,VEGA4
The Caterpillar Song,../lyrics/vega4/thecaterpillarsong.html,Satellites,2001,VEGA4
Love Breaks Down,../lyrics/vega4/lovebreaksdown.html,Satellites,2001,VEGA4
Better Life,../lyrics/vega4/betterlife.html,Satellites,2001,VEGA4
The Love You Had,../lyrics/vega4/theloveyouhad.html,Satellites,2001,VEGA4
Satellite,../lyrics/vega4/satellite.html,Satellites,2001,VEGA4
Shoot Up Hill,../lyrics/vega4/shootuphill.html,Satellites,2001,VEGA4
Burn & Fade,../lyrics/vega4/burnfade.html,Satellites,2001,VEGA4
Hallelujah,../lyrics/vega4/hallelujah.html,Satellites,2001,VEGA4
,,Satellites,2001,VEGA4
You And Me,../lyrics/vega4/youandme.html,You And Others,2006,VEGA4
Traffic Jam,../lyrics/vega4/trafficjam.html,You And Others,2006,VEGA4
Tearing Me Apart,../lyrics/vega4/tearingmeapart.html,You And Others,2006,VEGA4
Life Is Beautiful,../lyrics/vega4/lifeisbeautiful.html,You And Others,2006,VEGA4
You,../lyrics/vega4/you.html,You And Others,2006,VEGA4
Let Go,../lyrics/vega4/letgo.html,You And Others,2006,VEGA4
Bullets,../lyrics/vega4/bullets.html,You And Others,2006,VEGA4
Paper Cuts,../lyrics/vega4/papercuts.html,You And Others,2006,VEGA4
If This Is It,../lyrics/vega4/ifthisisit.html,You And Others,2006,VEGA4
A Billion Tons Of Light,../lyrics/vega4/abilliontonsoflight.html,You And Others,2006,VEGA4
Boomerang,../lyrics/vega4/boomerang.html,You And Others,2006,VEGA4
