song,link,album,year,artist
Forced Doors On The 14th Floor,../lyrics/versaemerge/forceddoorsonthe14thfloor.html,Cities Built On Sand,2007,VERSAEMERGE
The Blank Static Screen,../lyrics/versaemerge/theblankstaticscreen.html,Cities Built On Sand,2007,VERSAEMERGE
Cities Built On Sand,../lyrics/versaemerge/citiesbuiltonsand.html,Cities Built On Sand,2007,VERSAEMERGE
Ennui,../lyrics/versaemerge/ennui.html,Cities Built On Sand,2007,VERSAEMERGE
,,Cities Built On Sand,2007,VERSAEMERGE
In Pursuing Design,../lyrics/versaemerge/inpursuingdesign.html,Perceptions,2008,VERSAEMERGE
Consider The Sea,../lyrics/versaemerge/considerthesea.html,Perceptions,2008,VERSAEMERGE
The Reification Of Notion,../lyrics/versaemerge/thereificationofnotion.html,Perceptions,2008,VERSAEMERGE
The Authors,../lyrics/versaemerge/theauthors.html,Perceptions,2008,VERSAEMERGE
Clocks,../lyrics/versaemerge/clocks.html,Perceptions,2008,VERSAEMERGE
New Frontier,../lyrics/versaemerge/newfrontier.html,Perceptions,2008,VERSAEMERGE
,,Perceptions,2008,VERSAEMERGE
The Hider,../lyrics/versaemerge/thehider.html,VersaEmerge,2009,VERSAEMERGE
Past Praying For,../lyrics/versaemerge/pastprayingfor.html,VersaEmerge,2009,VERSAEMERGE
Moments Between Sleep,../lyrics/versaemerge/momentsbetweensleep.html,VersaEmerge,2009,VERSAEMERGE
Whisperer,../lyrics/versaemerge/whisperer.html,VersaEmerge,2009,VERSAEMERGE
Clocks,../lyrics/versaemerge/clocks169934.html,VersaEmerge,2009,VERSAEMERGE
,,VersaEmerge,2009,VERSAEMERGE
Figure It Out,../lyrics/versaemerge/figureitout.html,Fixed At Zero,2010,VERSAEMERGE
Mind Reader,../lyrics/versaemerge/mindreader.html,Fixed At Zero,2010,VERSAEMERGE
Fixed At Zero,../lyrics/versaemerge/fixedatzero.html,Fixed At Zero,2010,VERSAEMERGE
You'll Never Know,../lyrics/versaemerge/youllneverknow.html,Fixed At Zero,2010,VERSAEMERGE
Stranger,../lyrics/versaemerge/stranger.html,Fixed At Zero,2010,VERSAEMERGE
Redesign Me,../lyrics/versaemerge/redesignme.html,Fixed At Zero,2010,VERSAEMERGE
Fire (Aim Your Arrows High),../lyrics/versaemerge/fireaimyourarrowshigh.html,Fixed At Zero,2010,VERSAEMERGE
Up There,../lyrics/versaemerge/upthere.html,Fixed At Zero,2010,VERSAEMERGE
Your Own LoV.E.,../lyrics/versaemerge/yourownlove.html,Fixed At Zero,2010,VERSAEMERGE
Mythology,../lyrics/versaemerge/mythology.html,Fixed At Zero,2010,VERSAEMERGE
Lost Tree,../lyrics/versaemerge/losttree.html,Fixed At Zero,2010,VERSAEMERGE
Father Sky,../lyrics/versaemerge/fathersky.html,Fixed At Zero,2010,VERSAEMERGE
Let Down,../lyrics/versaemerge/letdown.html,Fixed At Zero,2010,VERSAEMERGE
,,Fixed At Zero,2010,VERSAEMERGE
Burn,../lyrics/versaemerge/burn.html,Another Atmosphere,2013,VERSAEMERGE
No Consequences,../lyrics/versaemerge/noconsequences.html,Another Atmosphere,2013,VERSAEMERGE
Future,../lyrics/versaemerge/future.html,Another Atmosphere,2013,VERSAEMERGE
Domesticated,../lyrics/versaemerge/domesticated.html,Another Atmosphere,2013,VERSAEMERGE
Bones,../lyrics/versaemerge/bones.html,Another Atmosphere,2013,VERSAEMERGE
Catastrophe,../lyrics/versaemerge/catastrophe.html,Another Atmosphere,2013,VERSAEMERGE
American Boy,../lyrics/versaemerge/americanboy.html,,,VERSAEMERGE
Paint It Black,../lyrics/versaemerge/paintitblack.html,,,VERSAEMERGE
Santa Baby,../lyrics/versaemerge/santababy.html,,,VERSAEMERGE
