song,link,album,year,artist
Hollow,../lyrics/wagewar/hollow.html,Blueprints,2015,WAGE WAR
Twenty One,../lyrics/wagewar/twentyone.html,Blueprints,2015,WAGE WAR
Alive,../lyrics/wagewar/alive.html,Blueprints,2015,WAGE WAR
Blueprints,../lyrics/wagewar/blueprints.html,Blueprints,2015,WAGE WAR
Youngblood,../lyrics/wagewar/youngblood.html,Blueprints,2015,WAGE WAR
The River,../lyrics/wagewar/theriver.html,Blueprints,2015,WAGE WAR
Deadlocked,../lyrics/wagewar/deadlocked.html,Blueprints,2015,WAGE WAR
Enemy,../lyrics/wagewar/enemy.html,Blueprints,2015,WAGE WAR
Spineless,../lyrics/wagewar/spineless.html,Blueprints,2015,WAGE WAR
Basic Hate,../lyrics/wagewar/basichate.html,Blueprints,2015,WAGE WAR
Desperate,../lyrics/wagewar/desperate.html,Blueprints,2015,WAGE WAR
The Aftermath,../lyrics/wagewar/theaftermath.html,,,WAGE WAR
