song,link,album,year,artist
Sold Out,../lyrics/wakefield/soldout.html,American Made,2003,WAKEFIELD
Un-Sweet Sixteen,../lyrics/wakefield/unsweetsixteen.html,American Made,2003,WAKEFIELD
Say You Will,../lyrics/wakefield/sayyouwill.html,American Made,2003,WAKEFIELD
Heaven's Coming,../lyrics/wakefield/heavenscoming.html,American Made,2003,WAKEFIELD
Girls Rock Boys,../lyrics/wakefield/girlsrockboys.html,American Made,2003,WAKEFIELD
Honesty,../lyrics/wakefield/honesty.html,American Made,2003,WAKEFIELD
Positive Reinforcement,../lyrics/wakefield/positivereinforcement.html,American Made,2003,WAKEFIELD
L7 (Medication),../lyrics/wakefield/l7medication.html,American Made,2003,WAKEFIELD
Give Me A Reason,../lyrics/wakefield/givemeareason.html,American Made,2003,WAKEFIELD
Goodbye,../lyrics/wakefield/goodbye.html,American Made,2003,WAKEFIELD
Infamous,../lyrics/wakefield/infamous.html,American Made,2003,WAKEFIELD
,,American Made,2003,WAKEFIELD
Without You (Which Side Are You On?),../lyrics/wakefield/withoutyouwhichsideareyouon.html,Which Side Are You On?,2005,WAKEFIELD
Take Off,../lyrics/wakefield/takeoff.html,Which Side Are You On?,2005,WAKEFIELD
C'mon Baby,../lyrics/wakefield/cmonbaby.html,Which Side Are You On?,2005,WAKEFIELD
Quietly Complaining,../lyrics/wakefield/quietlycomplaining.html,Which Side Are You On?,2005,WAKEFIELD
Only One,../lyrics/wakefield/onlyone.html,Which Side Are You On?,2005,WAKEFIELD
Clean 1145,../lyrics/wakefield/clean1145.html,Which Side Are You On?,2005,WAKEFIELD
Asleep On Broken Teeth,../lyrics/wakefield/asleeponbrokenteeth.html,Which Side Are You On?,2005,WAKEFIELD
Hors D'Oeuvres Avant Le Coup D'etat (Picture Frame),../lyrics/wakefield/horsdoeuvresavantlecoupdetatpictureframe.html,Which Side Are You On?,2005,WAKEFIELD
Girl With A Beat,../lyrics/wakefield/girlwithabeat.html,Which Side Are You On?,2005,WAKEFIELD
After School Special,../lyrics/wakefield/afterschoolspecial.html,Which Side Are You On?,2005,WAKEFIELD
Around,../lyrics/wakefield/around.html,Which Side Are You On?,2005,WAKEFIELD
Shrine,../lyrics/wakefield/shrine.html,Which Side Are You On?,2005,WAKEFIELD
Another Girl,../lyrics/wakefield/anothergirl.html,,,WAKEFIELD
Decisions,../lyrics/wakefield/decisions.html,,,WAKEFIELD
Dedicated,../lyrics/wakefield/dedicated.html,,,WAKEFIELD
Fall To Pieces,../lyrics/wakefield/falltopieces.html,,,WAKEFIELD
In The End,../lyrics/wakefield/intheend.html,,,WAKEFIELD
Keep Your Pants On,../lyrics/wakefield/keepyourpantson.html,,,WAKEFIELD
Loser (With A Coupon),../lyrics/wakefield/loserwithacoupon.html,,,WAKEFIELD
Miss U,../lyrics/wakefield/missu.html,,,WAKEFIELD
Suffragette City,../lyrics/wakefield/suffragettecity.html,,,WAKEFIELD
What's Up Now,../lyrics/wakefield/whatsupnow.html,,,WAKEFIELD
Wild One,../lyrics/wakefield/wildone.html,,,WAKEFIELD
