song,link,album,year,artist
Sign Of Satan,../lyrics/warlock/signofsatan.html,Burning The Witches,1984,WARLOCK
After The Bomb,../lyrics/warlock/afterthebomb.html,Burning The Witches,1984,WARLOCK
Dark Fade,../lyrics/warlock/darkfade.html,Burning The Witches,1984,WARLOCK
Homicide Rocker,../lyrics/warlock/homiciderocker.html,Burning The Witches,1984,WARLOCK
Without You,../lyrics/warlock/withoutyou.html,Burning The Witches,1984,WARLOCK
Metal Racer,../lyrics/warlock/metalracer.html,Burning The Witches,1984,WARLOCK
Burning The Witches,../lyrics/warlock/burningthewitches.html,Burning The Witches,1984,WARLOCK
Hateful Guy,../lyrics/warlock/hatefulguy.html,Burning The Witches,1984,WARLOCK
Holding Me,../lyrics/warlock/holdingme.html,Burning The Witches,1984,WARLOCK
,,Burning The Witches,1984,WARLOCK
Hellbound,../lyrics/warlock/hellbound.html,Hellbound,1985,WARLOCK
All Night,../lyrics/warlock/allnight.html,Hellbound,1985,WARLOCK
Earthshaker Rock,../lyrics/warlock/earthshakerrock.html,Hellbound,1985,WARLOCK
Wrathchild,../lyrics/warlock/wrathchild.html,Hellbound,1985,WARLOCK
Down And Out,../lyrics/warlock/downandout.html,Hellbound,1985,WARLOCK
Out Of Control,../lyrics/warlock/outofcontrol.html,Hellbound,1985,WARLOCK
Time To Die,../lyrics/warlock/timetodie.html,Hellbound,1985,WARLOCK
Shout It Out,../lyrics/warlock/shoutitout.html,Hellbound,1985,WARLOCK
Catch My Heart,../lyrics/warlock/catchmyheart.html,Hellbound,1985,WARLOCK
,,Hellbound,1985,WARLOCK
Mr. Gold,../lyrics/warlock/mrgold.html,True As Steel,1986,WARLOCK
Fight For Rock,../lyrics/warlock/fightforrock.html,True As Steel,1986,WARLOCK
Love In The Danger Zone,../lyrics/warlock/loveinthedangerzone.html,True As Steel,1986,WARLOCK
Speed Of Sound,../lyrics/warlock/speedofsound.html,True As Steel,1986,WARLOCK
Midnite In China,../lyrics/warlock/midniteinchina.html,True As Steel,1986,WARLOCK
"Vorwarts, All Right !",../lyrics/warlock/vorwartsallright.html,True As Steel,1986,WARLOCK
True As Steel,../lyrics/warlock/trueassteel.html,True As Steel,1986,WARLOCK
Lady In A Rock'n' Roll Hell,../lyrics/warlock/ladyinarocknrollhell.html,True As Steel,1986,WARLOCK
Love Song,../lyrics/warlock/lovesong.html,True As Steel,1986,WARLOCK
Igloo On The Moon (Reckless),../lyrics/warlock/iglooonthemoonreckless.html,True As Steel,1986,WARLOCK
,,True As Steel,1986,WARLOCK
All We Are,../lyrics/warlock/allweare.html,Triumph And Agony,1987,WARLOCK
Three Minute Warning,../lyrics/warlock/threeminutewarning.html,Triumph And Agony,1987,WARLOCK
I Rule The Ruins,../lyrics/warlock/iruletheruins.html,Triumph And Agony,1987,WARLOCK
Kiss Of Death,../lyrics/warlock/kissofdeath.html,Triumph And Agony,1987,WARLOCK
Make Time For Love,../lyrics/warlock/maketimeforlove.html,Triumph And Agony,1987,WARLOCK
East Meets West,../lyrics/warlock/eastmeetswest.html,Triumph And Agony,1987,WARLOCK
Touch Of Evil,../lyrics/warlock/touchofevil.html,Triumph And Agony,1987,WARLOCK
Metal Tango,../lyrics/warlock/metaltango.html,Triumph And Agony,1987,WARLOCK
"Cold, Cold World",../lyrics/warlock/coldcoldworld.html,Triumph And Agony,1987,WARLOCK
Fur Immer,../lyrics/warlock/furimmer.html,Triumph And Agony,1987,WARLOCK
,,Triumph And Agony,1987,WARLOCK
Burning The Witches,../lyrics/warlock/burningthewitches.html,Earthshaker Rock,1999,WARLOCK
Metal Racer,../lyrics/warlock/metalracer.html,Earthshaker Rock,1999,WARLOCK
Hellbound,../lyrics/warlock/hellbound.html,Earthshaker Rock,1999,WARLOCK
Earthshaker Rock,../lyrics/warlock/earthshakerrock.html,Earthshaker Rock,1999,WARLOCK
Time To Die,../lyrics/warlock/timetodie.html,Earthshaker Rock,1999,WARLOCK
Love In The Danger Zone,../lyrics/warlock/loveinthedangerzone.html,Earthshaker Rock,1999,WARLOCK
True As Steel,../lyrics/warlock/trueassteel.html,Earthshaker Rock,1999,WARLOCK
All We Are,../lyrics/warlock/allweare.html,Earthshaker Rock,1999,WARLOCK
Three Minute Warning,../lyrics/warlock/threeminutewarning.html,Earthshaker Rock,1999,WARLOCK
I Rule The Ruins,../lyrics/warlock/iruletheruins.html,Earthshaker Rock,1999,WARLOCK
Metal Tango,../lyrics/warlock/metaltango.html,Earthshaker Rock,1999,WARLOCK
Fur Immer,../lyrics/warlock/furimmer.html,Earthshaker Rock,1999,WARLOCK
Hellraiser,../lyrics/warlock/hellraiser.html,Earthshaker Rock,1999,WARLOCK
Angels With Dirty Faces,../lyrics/warlock/angelswithdirtyfaces.html,Earthshaker Rock,1999,WARLOCK
Under The Gun,../lyrics/warlock/underthegun.html,Earthshaker Rock,1999,WARLOCK
Something Wicked This Way Comes,../lyrics/warlock/somethingwickedthiswaycomes.html,Earthshaker Rock,1999,WARLOCK
