song,link,album,year,artist
What About Today?,../lyrics/lewiswatson/whatabouttoday.html,It's Got Four Sad Songs On It BTW,2012,"WATSON, LEWIS"
Windows,../lyrics/lewiswatson/windows.html,It's Got Four Sad Songs On It BTW,2012,"WATSON, LEWIS"
Bones,../lyrics/lewiswatson/bones.html,It's Got Four Sad Songs On It BTW,2012,"WATSON, LEWIS"
Nothing,../lyrics/lewiswatson/nothing.html,It's Got Four Sad Songs On It BTW,2012,"WATSON, LEWIS"
,,It's Got Four Sad Songs On It BTW,2012,"WATSON, LEWIS"
Once Before,../lyrics/lewiswatson/oncebefore.html,Another Four Sad Songs,2012,"WATSON, LEWIS"
Sink Or Swim,../lyrics/lewiswatson/sinkorswim.html,Another Four Sad Songs,2012,"WATSON, LEWIS"
Even If,../lyrics/lewiswatson/evenif.html,Another Four Sad Songs,2012,"WATSON, LEWIS"
Lamplight,../lyrics/lewiswatson/lamplight.html,Another Four Sad Songs,2012,"WATSON, LEWIS"
,,Another Four Sad Songs,2012,"WATSON, LEWIS"
Into The Wild,../lyrics/lewiswatson/intothewild.html,The Wild,2013,"WATSON, LEWIS"
It Could Be Better,../lyrics/lewiswatson/itcouldbebetter.html,The Wild,2013,"WATSON, LEWIS"
Little Darling,../lyrics/lewiswatson/littledarling.html,The Wild,2013,"WATSON, LEWIS"
Hold On,../lyrics/lewiswatson/holdon.html,The Wild,2013,"WATSON, LEWIS"
,,The Wild,2013,"WATSON, LEWIS"
Calling,../lyrics/lewiswatson/calling.html,Four More Songs,2013,"WATSON, LEWIS"
Songs That We Wrote When We Were Drunk,../lyrics/lewiswatson/songsthatwewrotewhenweweredrunk.html,Four More Songs,2013,"WATSON, LEWIS"
Close (Demo),../lyrics/lewiswatson/closedemo.html,Four More Songs,2013,"WATSON, LEWIS"
Made Up Love Song #43,../lyrics/lewiswatson/madeuplovesong43.html,Four More Songs,2013,"WATSON, LEWIS"
,,Four More Songs,2013,"WATSON, LEWIS"
Even If,../lyrics/lewiswatson/evenif.html,Some Songs With Some Friends,2013,"WATSON, LEWIS"
Droplets,../lyrics/lewiswatson/droplets.html,Some Songs With Some Friends,2013,"WATSON, LEWIS"
The Peaks,../lyrics/lewiswatson/thepeaks.html,Some Songs With Some Friends,2013,"WATSON, LEWIS"
Colorblind,../lyrics/lewiswatson/colorblind.html,Some Songs With Some Friends,2013,"WATSON, LEWIS"
,,Some Songs With Some Friends,2013,"WATSON, LEWIS"
Stones Around The Sun,../lyrics/lewiswatson/stonesaroundthesun.html,The Morning,2014,"WATSON, LEWIS"
Holding On,../lyrics/lewiswatson/holdingon.html,The Morning,2014,"WATSON, LEWIS"
Into The Wild,../lyrics/lewiswatson/intothewild.html,The Morning,2014,"WATSON, LEWIS"
Outgrow,../lyrics/lewiswatson/outgrow.html,The Morning,2014,"WATSON, LEWIS"
Ghost,../lyrics/lewiswatson/ghost.html,The Morning,2014,"WATSON, LEWIS"
Stay,../lyrics/lewiswatson/stay.html,The Morning,2014,"WATSON, LEWIS"
Windows,../lyrics/lewiswatson/windows.html,The Morning,2014,"WATSON, LEWIS"
Close,../lyrics/lewiswatson/close.html,The Morning,2014,"WATSON, LEWIS"
Halo,../lyrics/lewiswatson/halo.html,The Morning,2014,"WATSON, LEWIS"
Sink Or Swim,../lyrics/lewiswatson/sinkorswim.html,The Morning,2014,"WATSON, LEWIS"
Castle Street,../lyrics/lewiswatson/castlestreet.html,The Morning,2014,"WATSON, LEWIS"
,,The Morning,2014,"WATSON, LEWIS"
Maybe We're Home,../lyrics/lewiswatson/maybewerehome.html,Midnight,2017,"WATSON, LEWIS"
Little Light,../lyrics/lewiswatson/littlelight.html,Midnight,2017,"WATSON, LEWIS"
Deep The Water,../lyrics/lewiswatson/deepthewater.html,Midnight,2017,"WATSON, LEWIS"
La Song,../lyrics/lewiswatson/lasong.html,Midnight,2017,"WATSON, LEWIS"
Hello Hello,../lyrics/lewiswatson/hellohello.html,Midnight,2017,"WATSON, LEWIS"
Forever,../lyrics/lewiswatson/forever.html,Midnight,2017,"WATSON, LEWIS"
#3,../lyrics/lewiswatson/3.html,,,"WATSON, LEWIS"
Home,../lyrics/lewiswatson/home.html,,,"WATSON, LEWIS"
Nothing At All,../lyrics/lewiswatson/nothingatall.html,,,"WATSON, LEWIS"
Over The Atlantic (Demo),../lyrics/lewiswatson/overtheatlanticdemo.html,,,"WATSON, LEWIS"
When The Water Meets The Mountain,../lyrics/lewiswatson/whenthewatermeetsthemountain.html,,,"WATSON, LEWIS"
